K2-069,4127,190,190,-1,-1,-1,0.551,0.071,0.071,0.491,0.065,0.065,4.786,0.060,0.060,-1,-1,-1,7.066,-1,-1,-1,0.059,0.002,0.002,-1,-1,-1,0.207,0.032,0.032,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-070,5622,268,268,-1,-1,-1,0.940,0.100,0.100,0.930,0.140,0.140,4.478,0.096,0.096,-1,-1,-1,13.979,-1,-1,-1,0.111,0.004,0.004,-1,-1,-1,0.258,0.042,0.042,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-071,4006,133,133,-1,-1,-1,0.477,0.063,0.063,0.426,0.049,0.049,4.852,0.062,0.062,-1,-1,-1,6.985,-1,-1,-1,0.056,0.002,0.002,-1,-1,-1,0.192,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-072b,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,5.577,-1,-1,-1,0.037,0.005,0.005,-1,-1,-1,0.067,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-072c,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,15.187,-1,-1,-1,0.072,0.009,0.009,-1,-1,-1,0.077,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-072d,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,7.760,-1,-1,-1,0.046,0.006,0.006,-1,-1,-1,0.065,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-072e,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,24.167,-1,-1,-1,0.098,0.012,0.012,-1,-1,-1,0.073,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-073,5922,76,76,-1,-1,-1,1.050,0.030,0.030,1.060,0.070,0.070,4.409,0.057,0.057,-1,-1,-1,7.495,-1,-1,-1,0.076,0.001,0.001,-1,-1,-1,0.219,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-074,6060,86,86,-1,-1,-1,0.960,0.030,0.030,0.980,0.060,0.060,4.444,0.058,0.058,-1,-1,-1,19.567,-1,-1,-1,0.140,0.002,0.002,-1,-1,-1,0.206,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-075b,5995,94,94,-1,-1,-1,1.160,0.060,0.060,1.560,0.150,0.150,4.118,0.069,0.069,-1,-1,-1,7.814,-1,-1,-1,0.081,0.001,0.001,-1,-1,-1,0.238,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
