Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,Mp_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag
Kepler-224d,5018,100.0,100.0,-0.33,0.1,0.1,0.728,,,0.676,0.038,0.038,4.639,0.15,0.15,3.324,0.437,0.437,,,,,,,,,,0.205,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,23,44.23,47,21,27.4,15.88,13.7,0.1297,0.12,2454967.31602,0.00182,11.349393,3.4e-05,2014ApJ...784...45R,0.01,0.0009711475455905472,16.58104781753818,15.20104781753818,14.75904781753818,13.533047817538181,17.181047817538182,16.04695218246182,13.99095218246182,14.42295218246182,0.08891302782655108,667.1977957516455,0.02720425699145484,,1.0,,0.03116324029350201,28.282781125353054,-0.1669521824618183,0.1669521824618183,16.34696605659072,16.448883342587642,15.470328050255485,15.19722181753818,15.090553423755797,14.148515457888891,15.20104781753818,15.88,14.653499815088903,13.84547609123091,15.88,14.159377490260319
Kepler-224e,5018,100.0,100.0,-0.33,0.1,0.1,0.728,,,0.676,0.038,0.038,4.639,0.15,0.15,3.324,0.437,0.437,,,,,,,,,,0.176,0.013,0.013,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,23,44.23,47,21,27.4,15.88,13.7,0.0769,0.08,2454974.62463,0.00283,18.643577,8.7e-05,2014ApJ...784...45R,0.62,0.0007158183550794239,16.58104781753818,15.20104781753818,14.75904781753818,13.533047817538181,17.181047817538182,16.04695218246182,13.99095218246182,14.42295218246182,0.12378550816517168,565.4606666191414,0.021738188451001582,,1.0,,0.026754781910518798,39.37553944013468,-0.1669521824618183,0.1669521824618183,16.34696605659072,16.448883342587642,15.470328050255485,15.19722181753818,15.090553423755797,14.148515457888891,15.20104781753818,15.88,14.653499815088903,13.84547609123091,15.88,14.159377490260319
Kepler-225b,3682,150.0,150.0,-0.11,0.15,0.15,0.508,,,0.48,0.02,0.02,4.783,0.2,0.2,6.486,0.433,0.433,,,,,,,,,,0.107,0.006,0.006,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,28,46.55,47,27,25.5,16.42,13.25,0.1257,0.06,2454968.27658,0.0036,6.738975,4.1e-05,2014ApJ...784...45R,0.45,0.0005247542532107269,17.688234854984056,15.240234854984054,14.157234854984054,12.143234854984053,18.859234854984056,17.526765145015947,13.686765145015947,14.296765145015947,0.05571305641984115,521.1457596252486,0.00581216240705488,,1.0,,0.02290751521249581,24.95853879365268,-1.1067651450159453,1.106765145015947,17.334046929008146,17.581547445342583,15.778654016646334,14.753735854984054,14.236893886072137,13.431157924401106,15.240234854984054,16.42,14.39230885742765,13.468382572507974,16.42,14.117778104309703
Kepler-225c,3682,150.0,150.0,-0.11,0.15,0.15,0.508,,,0.48,0.02,0.02,4.783,0.2,0.2,6.486,0.433,0.433,,,,,,,,,,0.164,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,28,46.55,47,27,25.5,16.42,13.25,0.1366,0.15,2455010.7935,0.00216,18.794234,7.6e-05,2014ApJ...784...45R,0.32,0.0012327531133160723,17.688234854984056,15.240234854984054,14.157234854984054,12.143234854984053,18.859234854984056,17.526765145015947,13.686765145015947,14.296765145015947,0.1103851979746513,370.23909886973297,0.019593956693935866,,1.0,,0.03511058406401227,49.450764738769664,-1.1067651450159453,1.106765145015947,17.334046929008146,17.581547445342583,15.778654016646334,14.753735854984054,14.236893886072137,13.431157924401106,15.240234854984054,16.42,14.39230885742765,13.468382572507974,16.42,14.117778104309703
Kepler-226b,5571,200.0,200.0,-0.14,0.5,0.5,0.902,,,0.802,0.318,0.318,4.586,0.3,0.3,2.467,0.851,0.851,,,,,,,,,,0.138,0.055,0.055,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,30.27,47,52,51.6,15.61,13.63,0.1082,0.04,2454969.09337,0.00284,3.940997,2e-05,2014ApJ...784...45R,0.15,0.000312665758998093,16.13195429881524,15.039954298815243,14.669954298815243,13.736954298815242,16.35895429881524,15.503045701184758,13.891045701184758,14.215045701184758,0.04717871402905173,1107.593991087115,0.014419952960852614,,1.0,,0.017682357280580353,12.649551844677433,0.10695429881524099,-0.10695429881524099,15.522323574516296,16.079451725181684,15.280156501031573,15.090344298815243,15.029748443892965,14.071499051045677,15.039954298815243,15.61,14.520355583545502,13.76052285059238,15.61,13.95332545114039
Kepler-226c,5571,200.0,200.0,-0.14,0.5,0.5,0.902,,,0.802,0.318,0.318,4.586,0.3,0.3,2.467,0.851,0.851,,,,,,,,,,0.203,0.08,0.08,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,30.27,47,52,51.6,15.61,13.63,0.1271,0.08,2455004.80599,0.00148,5.349555,1.4e-05,2014ApJ...784...45R,0.25,0.0006765723200248065,16.13195429881524,15.039954298815243,14.669954298815243,13.736954298815242,16.35895429881524,15.503045701184758,13.891045701184758,14.215045701184758,0.057838958946640304,1000.330260694256,0.026814849526949805,,1.0,,0.026011003825781243,15.507775591067794,0.10695429881524099,-0.10695429881524099,15.522323574516296,16.079451725181684,15.280156501031573,15.090344298815243,15.029748443892965,14.071499051045677,15.039954298815243,15.61,14.520355583545502,13.76052285059238,15.61,13.95332545114039
Kepler-226d,5571,200.0,200.0,-0.14,0.5,0.5,0.902,,,0.802,0.318,0.318,4.586,0.3,0.3,2.467,0.851,0.851,,,,,,,,,,0.109,0.044,0.044,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,30.27,47,52,51.6,15.61,13.63,0.1541,0.02,2454965.80333,0.00751,8.109044,9.4e-05,2014ApJ...784...45R,0.06,0.00019506311083051578,16.13195429881524,15.039954298815243,14.669954298815243,13.736954298815242,16.35895429881524,15.503045701184758,13.891045701184758,14.215045701184758,0.0763229475195478,870.8153451512444,0.006209573071501487,,1.0,,0.013966499591183032,20.463700663663886,0.10695429881524099,-0.10695429881524099,15.522323574516296,16.079451725181684,15.280156501031573,15.090344298815243,15.029748443892965,14.071499051045677,15.039954298815243,15.61,14.520355583545502,13.76052285059238,15.61,13.95332545114039
Kepler-227b,5854,200.0,200.0,0.14,0.5,0.5,1.092,,,1.091,0.547,0.547,4.401,0.3,0.3,1.186,0.451,0.451,,,,,,,,,,0.277,0.14,0.14,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,44.22,48,8,29.9,15.51,13.64,0.1297,0.06,2455003.53899,0.0024,9.488015,3.9e-05,2014ApJ...784...45R,0.82,0.0006807394565684754,15.93580681931188,14.99180681931188,14.659806819311878,13.873806819311879,16.00280681931188,15.276193180688121,13.886193180688121,14.15319318068812,0.09032285114272764,981.0690432352997,0.042352675546180225,,1.0,,0.026090984200839863,17.80230741295207,0.2338068193118783,-0.2338068193118783,15.09609006164612,15.932110373968253,15.218164398555608,15.070810819311879,15.034531026565764,14.06765299905032,14.99180681931188,15.51,14.486504362491774,13.76309659034406,15.51,13.87732698576027
Kepler-227c,5854,200.0,200.0,0.14,0.5,0.5,1.092,,,1.091,0.547,0.547,4.401,0.3,0.3,1.186,0.451,0.451,,,,,,,,,,0.271,0.136,0.136,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,44.22,48,8,29.9,15.51,13.64,0.188,0.08,2454995.51038,0.00535,54.418694,0.00046,2014ApJ...784...45R,0.07,0.0006515683304858059,15.93580681931188,14.99180681931188,14.659806819311878,13.873806819311879,16.00280681931188,15.276193180688121,13.886193180688121,14.15319318068812,0.28940951557920885,548.0775183425009,0.041010480136495144,,1.0,,0.025525836528619505,57.04156920858499,0.2338068193118783,-0.2338068193118783,15.09609006164612,15.932110373968253,15.218164398555608,15.070810819311879,15.034531026565764,14.06765299905032,14.99180681931188,15.51,14.486504362491774,13.76309659034406,15.51,13.87732698576027
Kepler-228b,6043,200.0,200.0,-0.07,0.5,0.5,1.097,,,1.014,0.465,0.465,4.467,0.3,0.3,1.484,0.447,0.447,,,,,,,,,,0.136,0.063,0.063,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,45,8.67,48,13,28.8,15.9,14.13,0.097,0.02,2455012.5536,0.0054,2.566546,2.6e-05,2014ApJ...784...45R,0.45,0.00018996465070519157,16.259497457467234,15.395497457467233,15.087497457467233,14.367497457467232,16.273497457467233,15.662502542532769,14.38550254253277,14.62250254253277,0.03783625070372865,1508.5191313112823,0.013687380821221295,,1.0,,0.013782766438752111,8.023679044688407,0.2374974574672315,-0.2374974574672315,15.166105884959942,16.309610821332416,15.618199636323482,15.492573457467232,15.471651177674488,14.499297704772756,15.395497457467233,15.9,14.899063939921296,14.257751271266386,15.9,14.268882150804904
Kepler-228c,6043,200.0,200.0,-0.07,0.5,0.5,1.097,,,1.014,0.465,0.465,4.467,0.3,0.3,1.484,0.447,0.447,,,,,,,,,,0.241,0.111,0.111,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,45,8.67,48,13,28.8,15.9,14.13,0.1301,0.07,2455005.97678,0.0023,4.134444,1.8e-05,2014ApJ...784...45R,0.15,0.0005965255664796836,16.259497457467234,15.395497457467233,15.087497457467233,14.367497457467232,16.273497457467233,15.662502542532769,14.38550254253277,14.62250254253277,0.051994028598447095,1286.8506172989414,0.03451159863269063,,1.0,,0.024423872880435724,11.02602371944791,0.2374974574672315,-0.2374974574672315,15.166105884959942,16.309610821332416,15.618199636323482,15.492573457467232,15.471651177674488,14.499297704772756,15.395497457467233,15.9,14.899063939921296,14.257751271266386,15.9,14.268882150804904
Kepler-228d,6043,200.0,200.0,-0.07,0.5,0.5,1.097,,,1.014,0.465,0.465,4.467,0.3,0.3,1.484,0.447,0.447,,,,,,,,,,0.36,0.165,0.165,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,45,8.67,48,13,28.8,15.9,14.13,0.1913,0.15,2455004.20123,0.00184,11.094286,3.6e-05,2014ApJ...784...45R,0.46,0.0013310671891972761,16.259497457467234,15.395497457467233,15.087497457467233,14.367497457467232,16.273497457467233,15.662502542532769,14.38550254253277,14.62250254253277,0.10040183054991475,926.0491854067428,0.06226833043317501,,1.0,,0.03648379351434382,21.291540489563324,0.2374974574672315,-0.2374974574672315,15.166105884959942,16.309610821332416,15.618199636323482,15.492573457467232,15.471651177674488,14.499297704772756,15.395497457467233,15.9,14.899063939921296,14.257751271266386,15.9,14.268882150804904
Kepler-229b,5120,200.0,200.0,-0.11,0.5,0.5,0.827,,,0.728,0.257,0.257,4.633,0.3,0.3,3.026,0.944,0.944,,,,,,,,,,0.196,0.07,0.07,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,59.88,48,22,32.8,16.08,13.78,0.11,0.1,2455004.29884,0.0018,6.252972,2.1e-05,2014ApJ...784...45R,0.11,0.0007654560690099062,16.727893136615855,15.420893136615854,14.997893136615856,13.846893136615856,17.229893136615853,16.013106863384145,14.073106863384142,14.478106863384141,0.06234945707513268,843.6311563683364,0.025466170868958908,,1.0,,0.0276668767483774,18.416398571090742,0.06689313661585317,-0.06689313661585672,16.328642111104767,16.630764566269722,15.68487466913942,15.431374136615855,15.336863773921557,14.390565312067052,15.420893136615854,16.08,14.880830899946591,13.92655343169207,16.08,14.371061304202271
Kepler-229c,5120,200.0,200.0,-0.11,0.5,0.5,0.827,,,0.728,0.257,0.257,4.633,0.3,0.3,3.026,0.944,0.944,,,,,,,,,,0.439,0.155,0.155,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,59.88,48,22,32.8,16.08,13.78,0.1478,0.49,2455006.62165,0.00062,16.068638,1.9e-05,2014ApJ...784...45R,0.0,0.0038400525581960133,16.727893136615855,15.420893136615854,14.997893136615856,13.846893136615856,17.229893136615853,16.013106863384145,14.073106863384142,14.478106863384141,0.11697536205315512,615.9163733755242,0.08336352561385779,,1.0,,0.06196815761498815,34.551461899220776,0.06689313661585317,-0.06689313661585672,16.328642111104767,16.630764566269722,15.68487466913942,15.431374136615855,15.336863773921557,14.390565312067052,15.420893136615854,16.08,14.880830899946591,13.92655343169207,16.08,14.371061304202271
Kepler-229d,5120,200.0,200.0,-0.11,0.5,0.5,0.827,,,0.728,0.257,0.257,4.633,0.3,0.3,3.026,0.944,0.944,,,,,,,,,,0.343,0.123,0.123,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,59.88,48,22,32.8,16.08,13.78,0.2092,0.22,2454998.02365,0.00316,41.194912,0.000248,2014ApJ...784...45R,0.8,0.0023442092113428368,16.727893136615855,15.420893136615854,14.997893136615856,13.846893136615856,17.229893136615853,16.013106863384145,14.073106863384142,14.478106863384141,0.21911430909140045,450.02182710606985,0.057992595165820775,,1.0,,0.04841703430966045,64.72063492058587,0.06689313661585317,-0.06689313661585672,16.328642111104767,16.630764566269722,15.68487466913942,15.431374136615855,15.336863773921557,14.390565312067052,15.420893136615854,16.08,14.880830899946591,13.92655343169207,16.08,14.371061304202271
Kepler-230b,5588,200.0,200.0,-0.29,0.5,0.5,0.863,,,0.817,0.415,0.415,4.551,0.3,0.3,2.234,0.791,0.791,,,,,,,,,,0.38,0.194,0.194,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,2,52.45,48,30,21.1,15.28,13.29,0.241,0.18,2455027.13742,0.00198,32.625555,0.000126,2014ApJ...784...45R,0.91,0.002284514752158128,15.814062220376098,14.722062220376097,14.352062220376096,13.419062220376096,16.041062220376098,15.150937779623902,13.538937779623902,13.862937779623902,0.19024593576725768,558.3969399850239,0.06742147425539508,,1.0,,0.04779659770483803,50.07220768126556,0.12906222037609716,-0.12906222037609716,15.313625921822204,15.73839719279662,14.959031607535678,14.772452220376096,14.711856365453817,13.75360697260653,14.722062220376097,15.28,14.202463505106355,13.41446888981195,15.28,13.63278917047706
Kepler-230c,5588,200.0,200.0,-0.29,0.5,0.5,0.863,,,0.817,0.415,0.415,4.551,0.3,0.3,2.234,0.791,0.791,,,,,,,,,,0.182,0.093,0.093,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,2,52.45,48,30,21.1,15.28,13.29,0.2514,0.06,2455026.83073,0.00941,91.773242,0.001618,2014ApJ...784...45R,0.03,0.0005240461679396525,15.814062220376098,14.722062220376097,14.352062220376096,13.419062220376096,16.041062220376098,15.150937779623902,13.538937779623902,13.862937779623902,0.3791003320325017,395.5702676211471,0.022836693967484268,,1.0,,0.022892054690211897,99.77816598821201,0.12906222037609716,-0.12906222037609716,15.313625921822204,15.73839719279662,14.959031607535678,14.772452220376096,14.711856365453817,13.75360697260653,14.722062220376097,15.28,14.202463505106355,13.41446888981195,15.28,13.63278917047706
Kepler-231b,3767,150.0,150.0,-0.1,0.15,0.15,0.526,,,0.49,0.021,0.021,4.779,0.2,0.2,6.303,0.44,0.44,,,,,,,,,,0.154,0.011,0.011,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,35,53.61,50,31,54.9,15.88,12.58,0.06,0.09,2454969.28185,0.00148,10.065275,2.7e-05,2014ApJ...784...45R,0.82,0.0010430861244603792,17.16804781753818,14.72004781753818,13.63704781753818,11.62304781753818,18.33904781753818,16.83695218246182,12.99695218246182,13.60695218246182,0.07364651405517256,468.5445175342064,0.01786245198581173,,1.0,,0.0322968438776977,32.31911974470417,-0.9569521824618175,0.9569521824618192,17.039523874207323,17.01349229036594,15.243210998033781,14.23354881753818,13.716706848626263,12.910970886955232,14.72004781753818,15.88,13.872121819981777,12.78847609123091,15.88,13.59519471867558
Kepler-231c,3767,150.0,150.0,-0.1,0.15,0.15,0.526,,,0.49,0.021,0.021,4.779,0.2,0.2,6.303,0.44,0.44,,,,,,,,,,0.172,0.017,0.017,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,35,53.61,50,31,54.9,15.88,12.58,0.1337,0.11,2455019.76907,0.00327,19.271566,9.9e-05,2014ApJ...784...45R,0.87,0.0013011747303944957,17.16804781753818,14.72004781753818,13.63704781753818,11.62304781753818,18.33904781753818,16.83695218246182,12.99695218246182,13.60695218246182,0.11355678876955236,377.3291929078742,0.021015545699531738,,1.0,,0.036071799655610415,49.83338995947322,-0.9569521824618175,0.9569521824618192,17.039523874207323,17.01349229036594,15.243210998033781,14.23354881753818,13.716706848626263,12.910970886955232,14.72004781753818,15.88,13.872121819981777,12.78847609123091,15.88,13.59519471867558
Kepler-232b,5847,200.0,200.0,0.08,0.5,0.5,1.065,,,0.968,0.46,0.46,4.495,0.3,0.3,1.657,0.52,0.52,,,,,,,,,,0.275,0.131,0.131,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,15.88,51,7,18.3,15.55,13.76,0.1322,0.1,2455004.01551,0.00139,4.431222,1.1e-05,2014ApJ...784...45R,0.35,0.0008522864025254189,15.974155739099034,15.030155739099035,14.698155739099034,13.912155739099035,16.041155739099032,15.397844260900966,14.007844260900965,14.274844260900965,0.05391861463457738,1194.633551393702,0.04190374125297635,,1.0,,0.02919394462085278,11.977516462440818,0.1521557390990349,-0.1521557390990349,15.119548832468025,15.973617810202581,15.256954156759592,15.109159739099034,15.07287994635292,14.106001918837475,15.030155739099035,15.55,14.52485328227893,13.883922130450483,15.55,13.91604271638019
Kepler-232c,5847,200.0,200.0,0.08,0.5,0.5,1.065,,,0.968,0.46,0.46,4.495,0.3,0.3,1.657,0.52,0.52,,,,,,,,,,0.342,0.166,0.166,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,15.88,51,7,18.3,15.55,13.76,0.1088,0.11,2454966.85018,0.00219,11.379349,4.4e-05,2014ApJ...784...45R,0.92,0.0013181729161650653,15.974155739099034,15.030155739099035,14.698155739099034,13.912155739099035,16.041155739099032,15.397844260900966,14.007844260900965,14.274844260900965,0.101111681082728,872.3753886212411,0.05774412666808688,,1.0,,0.03630665112847872,22.461015234185883,0.1521557390990349,-0.1521557390990349,15.119548832468025,15.973617810202581,15.256954156759592,15.109159739099034,15.07287994635292,14.106001918837475,15.030155739099035,15.55,14.52485328227893,13.883922130450483,15.55,13.91604271638019
Kepler-233b,5360,200.0,200.0,-0.07,0.5,0.5,0.859,,,0.758,0.206,0.206,4.614,0.3,0.3,2.784,0.967,0.967,,,,,,,,,,0.217,0.059,0.059,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,45,27.96,51,19,10.3,15.54,13.45,0.1124,0.11,2455007.16212,0.0016,8.472382,2.6e-05,2014ApJ...784...45R,0.08,0.0008654698499163179,16.137706099169982,14.937706099169981,14.54070609916998,13.49970609916998,16.495706099169983,15.490293900830018,13.716293900830017,14.081293900830017,0.07731692812830608,809.2736406314699,0.02957801567287273,,1.0,,0.029418868943525307,21.933543173158913,0.049706099169981144,-0.049706099169981144,15.746390146955946,16.038894331457808,15.186518570691597,14.96776509916998,14.889892042175163,13.937743062965488,14.937706099169981,15.54,14.407759198816843,13.583146950415008,15.54,13.867831211179823
Kepler-233c,5360,200.0,200.0,-0.07,0.5,0.5,0.859,,,0.758,0.206,0.206,4.614,0.3,0.3,2.784,0.967,0.967,,,,,,,,,,0.242,0.07,0.07,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,45,27.96,51,19,10.3,15.54,13.45,0.2341,0.09,2455014.16152,0.00573,60.418955,0.00063,2014ApJ...784...45R,0.86,0.0010763740213319294,16.137706099169982,14.937706099169981,14.54070609916998,13.49970609916998,16.495706099169983,15.490293900830018,13.716293900830017,14.081293900830017,0.2864527820680528,420.442072366973,0.03472239475488995,,1.0,,0.03280813955913882,81.26195148538125,0.049706099169981144,-0.049706099169981144,15.746390146955946,16.038894331457808,15.186518570691597,14.96776509916998,14.889892042175163,13.937743062965488,14.937706099169981,15.54,14.407759198816843,13.583146950415008,15.54,13.867831211179823
Kepler-234b,6224,200.0,200.0,0.07,0.5,0.5,1.19,,,1.113,0.495,0.495,4.421,0.3,0.3,1.218,0.392,0.392,,,,,,,,,,0.33,0.148,0.148,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,26,36.85,38,29,40.8,15.69,14.06,0.1323,0.09,2455003.03513,0.0013,2.711506,6e-06,2014ApJ...784...45R,0.85,0.0009283429373979881,16.015202498460503,15.215202498460503,14.926202498460501,14.261202498460502,16.003202498460503,15.488797501539498,14.304797501539499,14.517797501539498,0.04032699709080095,1576.7125411823806,0.054789307124590306,,1.0,,0.030468720639337452,7.79119597138799,0.20120249846050164,-0.20120249846050164,14.887989430648098,16.07249011890556,15.429973431371549,15.326585498460501,15.317821249755838,14.341118915934635,15.215202498460503,15.69,14.725702788071471,14.18239875076975,15.69,14.074187009882182
Kepler-234c,6224,200.0,200.0,0.07,0.5,0.5,1.19,,,1.113,0.495,0.495,4.421,0.3,0.3,1.218,0.392,0.392,,,,,,,,,,0.313,0.139,0.139,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,26,36.85,38,29,40.8,15.69,14.06,0.1683,0.1,2455005.81664,0.00178,7.21205,2.2e-05,2014ApJ...784...45R,0.16,0.0008351591297882779,16.015202498460503,15.215202498460503,14.926202498460501,14.261202498460502,16.003202498460503,15.488797501539498,14.304797501539499,14.517797501539498,0.07741551193199597,1137.984820195652,0.05068938024525456,,1.0,,0.028899119879129156,14.956715555324436,0.20120249846050164,-0.20120249846050164,14.887989430648098,16.07249011890556,15.429973431371549,15.326585498460501,15.317821249755838,14.341118915934635,15.215202498460503,15.69,14.725702788071471,14.18239875076975,15.69,14.074187009882182
Kepler-235b,4255,100.0,100.0,-0.16,0.1,0.1,0.6,,,0.554,0.021,0.021,4.73,0.15,0.15,4.983,0.375,0.375,,,,,,,,,,0.199,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,18.99,39,16,42.0,16.46,13.11,0.0802,0.17,2455004.97787,0.00084,3.340222,5e-06,2014ApJ...784...45R,0.37,0.0013625658814357651,17.50358377477121,15.47558377477121,14.79858377477121,13.05658377477121,18.702583774771213,16.51341622522879,13.47441622522879,14.07941622522879,0.036884210209638515,795.1837571898944,0.0260414478680449,,1.0,,0.0369129500505685,14.316410165314425,-0.05341622522879064,0.05341622522878886,17.39436423119393,17.34493337492397,15.863584268197378,15.29480277477121,15.037758733320432,14.147372763520421,15.47558377477121,16.46,14.828793558107455,13.292208112614395,16.46,14.471869927845468
Kepler-235c,4255,100.0,100.0,-0.16,0.1,0.1,0.6,,,0.554,0.021,0.021,4.73,0.15,0.15,4.983,0.375,0.375,,,,,,,,,,0.114,0.007,0.007,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,18.99,39,16,42.0,16.46,13.11,0.0924,0.06,2454969.55567,0.00455,7.824904,5.5e-05,2014ApJ...784...45R,0.24,0.0004471580564919877,17.50358377477121,15.47558377477121,14.79858377477121,13.05658377477121,18.702583774771213,16.51341622522879,13.47441622522879,14.07941622522879,0.06505933389188916,598.7326454596149,0.0072883176071860895,,1.0,,0.021146112089270398,25.252434680979864,-0.05341622522879064,0.05341622522878886,17.39436423119393,17.34493337492397,15.863584268197378,15.29480277477121,15.037758733320432,14.147372763520421,15.47558377477121,16.46,14.828793558107455,13.292208112614395,16.46,14.471869927845468
Kepler-235d,4255,100.0,100.0,-0.16,0.1,0.1,0.6,,,0.554,0.021,0.021,4.73,0.15,0.15,4.983,0.375,0.375,,,,,,,,,,0.183,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,18.99,39,16,42.0,16.46,13.11,0.138,0.15,2454980.46149,0.00276,20.060548,9.9e-05,2014ApJ...784...45R,0.11,0.00115226809432596,17.50358377477121,15.47558377477121,14.79858377477121,13.05658377477121,18.702583774771213,16.51341622522879,13.47441622522879,14.07941622522879,0.12186681532768695,437.46671355970074,0.02302145632402441,,1.0,,0.03394507466961827,47.301956687034405,-0.05341622522879064,0.05341622522878886,17.39436423119393,17.34493337492397,15.863584268197378,15.29480277477121,15.037758733320432,14.147372763520421,15.47558377477121,16.46,14.828793558107455,13.292208112614395,16.46,14.471869927845468
Kepler-235e,4255,100.0,100.0,-0.16,0.1,0.1,0.6,,,0.554,0.021,0.021,4.73,0.15,0.15,4.983,0.375,0.375,,,,,,,,,,0.198,0.026,0.026,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,18.99,39,16,42.0,16.46,13.11,0.2014,0.14,2454998.23932,0.00501,46.183669,0.000425,2014ApJ...784...45R,0.68,0.0013489061593345555,17.50358377477121,15.47558377477121,14.79858377477121,13.05658377477121,18.702583774771213,16.51341622522879,13.47441622522879,14.07941622522879,0.21247893863332198,331.30638094069394,0.0258492321604024,,1.0,,0.03672745783925911,82.4725707742116,-0.05341622522879064,0.05341622522878886,17.39436423119393,17.34493337492397,15.863584268197378,15.29480277477121,15.037758733320432,14.147372763520421,15.47558377477121,16.46,14.828793558107455,13.292208112614395,16.46,14.471869927845468
Kepler-236b,3750,150.0,150.0,0.08,0.15,0.15,0.536,,,0.51,0.019,0.019,4.753,0.2,0.2,5.706,0.357,0.357,,,,,,,,,,0.14,0.011,0.011,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,55,27.93,39,53,53.1,16.05,12.31,0.0553,0.08,2454968.79207,0.0023,8.295611,3.2e-05,2014ApJ...784...45R,0.67,0.0007957682470598945,17.33199385675775,14.883993856757753,13.800993856757753,11.786993856757752,18.50299385675775,16.57300614324225,12.733006143242248,13.343006143242247,0.06514689169341467,505.9444123447474,0.015180340731833315,,1.0,,0.02820936452775735,27.467993247197352,-0.5230061432422488,0.5230061432422488,17.13451702984089,17.192064698831025,15.411818587054285,14.397494856757753,13.880652887845836,13.074916926174803,14.883993856757753,16.05,14.03606785920135,12.521503071621124,16.05,13.759877057407131
