System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
CoRoT-20,TEP,06,30,52.90,+00,13,36.9,14.66,12.51,0.0927,0.9,2455266.0006,0.0012,9.2431839,0.0000072,2021FrASS...8..210K
CoRoT-21,TEP,06,44,12.59,-00,17,56.9,16.00,13.81,0.198,0.5,2454399.0282,0.0009,2.72474,0.00014,2012A+A...545A...6P
CoRoT-22,TEP,18,42,40.12,+06,13,09.3,13.94,11.99,0.187,0.2,2454598.42014,0.00075,9.75598,0.00011,2014MNRAS.444.2783M
CoRoT-23,TEP,18,39,07.82,+04,21,28.1,15.63,12.36,0.1620,0.45,2455308.939,0.001,3.6313,0.0001,2012A+A...537A..54R
CoRoT-24b,TEP,06,47,41.41,-03,43,09.5,13.2,12.92,0.119,0.024,2454789.611,0.006,5.1134,0.0006,2014A+A...567A.112A
CoRoT-24c,TEP,06,47,41.41,-03,43,09.5,13.2,12.92,0.20,0.013,2454795.380,0.027,11.7594,0.0063,2014A+A...567A.112A
CoRoT-25,TEP,18,42,31.13,+06,30,50.0,14.97,12.85,0.080,0.5,2454576.2156,0.0008,4.86069,0.00006,2013A+A...555A.118A
CoRoT-26,TEP,18,39,00.13,+06,58,11.7,15.76,13.26,0.228,0.6,2454573.6299,0.0008,4.20474,0.00005,2013A+A...555A.118A
CoRoT-27,TEP,18,33,59.00,+05,32,18.5,15.54,12.98,0.115,1.0,2455748.684,0.001,3.57532,0.00006,2014A+A...562A.140P
CoRoT-28,TEP,18,34,45.21,+05,34,25.7,13.78,11.03,0.238,0.3,2455755.8466,0.0029,5.20851,0.00038,2015A+A...579A..36C
CoRoT-29,TEP,18,35,36.50,+06,28,47.0,15.56,13.05,0.0913,0.6,2456870.53809,0.00075,2.8505615,0.0000072,2016A+A...589A..62B
CoRoT-30,TEP,18,30,24.26,+06,50,09.4,15.27,13.56,0.16,1.4,2455665.5146,0.0012,9.06005,0.00024,2020A+A...635A.122B
CoRoT-31,TEP,06,19,16.98,-04,25,20.2,15.06,13.43,0.15,0.5,2455843.9445,0.0044,4.62941,0.00075,2020A+A...635A.122B
