System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
K2-270b,KTEP,08,45,03.98,+13,32,59.4,13.19,11.37,0.0712,0.03,2457142.41998,0.00446,1.5430690,0.0001890,2018AJ....156..277L
K2-270c,KTEP,08,45,03.98,+13,32,59.4,13.19,11.37,0.1009,0.12,2457142.97510,0.00166,4.4000280,0.0001690,2018AJ....156..277L
K2-272b,KTEP,08,50,29.06,+17,32,32.8,13.50,12.00,0.1603,0.11,2457144.85864,0.00288,14.4535330,0.0013280,2018AJ....156..277L
K2-273b,KTEP,08,39,06.49,+19,00,36.0,12.93,11.30,0.1496,0.23,2457149.10117,0.00377,11.7163320,0.0011720,2018AJ....156..277L
K2-274b,KTEP,08,37,07.78,+20,23,57.7,12.61,10.99,0.1455,0.07,2457145.12109,0.00494,14.1297140,0.0021020,2018AJ....156..277L
K2-275b,KTEP,08,48,40.77,+20,27,18.2,11.52,9.75,0.0886,0.08,2457142.13343,0.00142,3.2809610,0.0001120,2018AJ....156..277L
K2-275c,KTEP,08,48,40.77,+20,27,18.2,11.52,9.75,0.1216,0.09,2457142.48782,0.00121,8.4387560,0.0002690,2018AJ....156..277L
K2-276b,KTEP,08,23,48.66,+22,38,02.4,14.63,12.26,0.1825,0.17,2457151.87653,0.00620,18.7182690,0.0031530,2018AJ....156..277L
K2-277b,KTEP,13,28,03.99,-15,56,16.1,10.00,8.69,0.1346,0.04,2457221.22958,0.00221,6.326768,0.000014,arXiv:2301.01306
K2-278b,KTEP,13,33,12.42,-14,30,14.6,13.06,11.70,0.1629,0.03,2457219.82294,0.01119,3.3349660,0.0007010,2018AJ....156..277L
K2-279b,KTEP,13,39,07.13,-06,02,29.7,11.43,9.99,0.1354,0.02,2457222.13278,0.00782,7.1226050,0.0016470,2018AJ....156..277L
K2-282b,KTEP,00,53,43.68,+07,59,43.1,13.56,12.00,0.1163,0.08,2457394.99930,0.00347,4.1698360,0.0002790,2018AJ....156..277L
K2-283b,KTEP,00,52,46.65,+09,41,34.5,13.88,11.98,0.0801,0.15,2457394.90901,0.00121,1.9210360,0.0000510,2018AJ....156..277L
K2-355b,KTEP,08,18,34.23,+13,30,10.2,13.68,12.02,0.12,0.05,2458252.1918,0.0052,5.7386,0.0014,2022MNRAS.509.1075C
K2-356b,KTEP,08,33,17.25,+13,39,41.3,13.30,11.51,0.21,0.07,2458256.0408,0.0046,21.0267,0.0037,2022MNRAS.509.1075C
K2-357b,KTEP,08,47,45.29,+16,19,44.1,13.63,11.95,0.20,0.13,2458255.1162,0.0018,16.3489,0.0014,2022MNRAS.509.1075C
K2-358b,KTEP,08,55,13.97,+18,56,59.2,13.56,11.99,0.22,0.08,2458259.0094,0.0031,11.2510,0.0019,2022MNRAS.509.1075C
Kepler-026d,KTEP,18,59,45.83,+46,33,59.5,16.00,12.63,0.0838,0.04,2454969.25903,0.00253,3.543919,0.000015,2014ApJ...784...45R
Kepler-026e,KTEP,18,59,45.83,+46,33,59.5,16.00,12.63,0.0868,0.15,2454969.74318,0.00224,46.827915,0.000173,2014ApJ...784...45R
Kepler-027b,KTEP,19,28,56.82,+41,05,09.2,16.06,14.11,0.1476,0.30,2455007.00037,0.00101,15.335381,0.000028,2014ApJ...784...45R
Kepler-027c,KTEP,19,28,56.82,+41,05,09.2,16.06,14.11,0.1913,0.50,2454986.43252,0.00085,31.330229,0.000046,2014ApJ...784...45R
Kepler-049d,KTEP,19,29,10.70,+40,35,30.4,15.81,12.38,0.0665,0.08,2455005.12932,0.00066,2.576549,0.000003,2014ApJ...784...45R
Kepler-049e,KTEP,19,29,10.70,+40,35,30.4,15.81,12.38,0.0902,0.08,2454974.26415,0.00242,18.596108,0.000079,2014ApJ...784...45R
Kepler-053b,KTEP,19,21,50.82,+40,33,44.9,15.55,13.80,0.1796,0.09,2455007.77505,0.00241,18.649113,0.000087,2014ApJ...784...45R
Kepler-053c,KTEP,19,21,50.82,+40,33,44.9,15.55,13.80,0.2417,0.10,2454996.84167,0.00462,38.558585,0.000249,2014ApJ...784...45R
Kepler-053d,KTEP,19,21,50.82,+40,33,44.9,15.55,13.80,0.1746,0.04,2454971.78520,0.00430,9.751962,0.000077,2014ApJ...784...45R
Kepler-055b,KTEP,19,00,40.40,+44,01,35.3,16.16,13.28,0.1506,0.13,2455011.75691,0.00309,27.953314,0.000176,2014ApJ...784...45R
Kepler-055c,KTEP,19,00,40.40,+44,01,35.3,16.16,13.28,0.2146,0.12,2454972.03223,0.00360,42.142596,0.000268,2014ApJ...784...45R
Kepler-055d,KTEP,19,00,40.40,+44,01,35.3,16.16,13.28,0.0685,0.07,2455003.14912,0.00091,2.211099,0.000004,2014ApJ...784...45R
Kepler-055e,KTEP,19,00,40.40,+44,01,35.3,16.16,13.28,0.0888,0.05,2454968.04254,0.00224,4.617534,0.000021,2014ApJ...784...45R
Kepler-055f,KTEP,19,00,40.40,+44,01,35.3,16.16,13.28,0.0905,0.07,2454970.91714,0.00265,10.198545,0.000045,2014ApJ...784...45R
Kepler-059b,KTEP,19,08,09.48,+46,38,24.5,14.42,12.92,0.2031,0.01,2454970.71391,0.00442,11.869455,0.000089,2014ApJ...784...45R
Kepler-059c,KTEP,19,08,09.48,+46,38,24.5,14.42,12.92,0.1745,0.03,2454980.75468,0.00378,17.976811,0.000115,2014ApJ...784...45R
Kepler-081b,KTEP,19,34,32.87,+42,49,29.9,15.43,12.39,0.1054,0.14,2455003.95628,0.00077,5.954880,0.000008,2014ApJ...784...45R
Kepler-081c,KTEP,19,34,32.87,+42,49,29.9,15.43,12.39,0.1124,0.12,2455014.22292,0.00112,12.039956,0.000025,2014ApJ...784...45R
Kepler-081d,KTEP,19,34,32.87,+42,49,29.9,15.43,12.39,0.1071,0.04,2454965.07963,0.00533,20.837846,0.000181,2014ApJ...784...45R
Kepler-083b,KTEP,18,48,55.80,+43,39,56.3,16.29,12.94,0.1045,0.20,2455008.71237,0.00127,9.770469,0.000022,2014ApJ...784...45R
Kepler-083c,KTEP,18,48,55.80,+43,39,56.3,16.29,12.94,0.1543,0.15,2454980.97543,0.00308,20.090227,0.000102,2014ApJ...784...45R
Kepler-083d,KTEP,18,48,55.80,+43,39,56.3,16.29,12.94,0.0901,0.11,2455005.63100,0.00170,5.169796,0.000016,2014ApJ...784...45R
Kepler-084b,KTEP,19,53,00.49,+40,29,45.9,14.94,13.19,0.1769,0.04,2454971.76937,0.00301,8.725818,0.000045,2014ApJ...784...45R
Kepler-084c,KTEP,19,53,00.49,+40,29,45.9,14.94,13.19,0.1900,0.05,2454968.19024,0.00474,12.882779,0.000091,2014ApJ...784...45R
Kepler-084d,KTEP,19,53,00.49,+40,29,45.9,14.94,13.19,0.1322,0.01,2454968.43327,0.00594,4.224537,0.000042,2014ApJ...784...45R
Kepler-084e,KTEP,19,53,00.49,+40,29,45.9,14.94,13.19,0.2134,0.05,2454978.12540,0.00408,27.434389,0.000224,2014ApJ...784...45R
Kepler-084f,KTEP,19,53,00.49,+40,29,45.9,14.94,13.19,0.2442,0.03,2454993.29097,0.01186,44.552169,0.000812,2014ApJ...784...45R
Kepler-085d,KTEP,19,23,53.62,+45,17,25.2,14.96,13.08,0.1879,0.02,2454968.53773,0.00950,17.913230,0.000266,2014ApJ...784...45R
Kepler-085e,KTEP,19,23,53.62,+45,17,25.2,14.96,13.08,0.1701,0.02,2454985.68815,0.01695,25.216751,0.000718,2014ApJ...784...45R
Kepler-092b,KTEP,19,16,20.65,+41,33,46.6,12.00,10.40,0.2520,0.04,2455012.27996,0.00081,13.748790,0.000019,2014ApJ...784...45R
Kepler-092c,KTEP,19,16,20.65,+41,33,46.6,12.00,10.40,0.3655,0.02,2454980.93386,0.00272,26.723332,0.000127,2014ApJ...784...45R
Kepler-092d,KTEP,19,16,20.65,+41,33,46.6,12.00,10.40,0.4802,0.01,2454967.29189,0.00809,49.356676,0.000593,2014ApJ...784...45R
Kepler-110b,KTEP,19,31,42.99,+48,36,10.1,13.04,11.62,0.1565,0.03,2454970.12296,0.00166,12.691112,0.000036,2014ApJ...784...45R
Kepler-110c,KTEP,19,31,42.99,+48,36,10.1,13.04,11.62,0.2010,0.04,2454975.82056,0.00177,31.719775,0.000104,2014ApJ...784...45R
Kepler-112b,KTEP,19,47,55.44,+43,12,35.1,13.95,12.15,0.1452,0.08,2454967.00620,0.00069,8.408878,0.000010,2014ApJ...784...45R
Kepler-112c,KTEP,19,47,55.44,+43,12,35.1,13.95,12.15,0.2068,0.08,2454976.83080,0.00122,28.574263,0.000060,2014ApJ...784...45R
Kepler-114b,KTEP,19,36,29.14,+48,20,58.3,14.07,11.36,0.1015,0.03,2454978.36320,0.00140,5.188549,0.000012,2014ApJ...784...45R
Kepler-114c,KTEP,19,36,29.14,+48,20,58.3,14.07,11.36,0.1112,0.05,2454976.03761,0.00098,8.041348,0.000013,2014ApJ...784...45R
Kepler-114d,KTEP,19,36,29.14,+48,20,58.3,14.07,11.36,0.1212,0.13,2454975.70477,0.00052,11.776134,0.000010,2014ApJ...784...45R
Kepler-115b,KTEP,19,50,50.84,+45,15,42.9,13.57,11.97,0.0544,0.01,2454967.72847,0.00305,2.403679,0.000012,2014ApJ...784...45R
Kepler-115c,KTEP,19,50,50.84,+45,15,42.9,13.57,11.97,0.1701,0.05,2454969.73792,0.00132,8.990889,0.000021,2014ApJ...784...45R
Kepler-116b,KTEP,19,38,58.10,+43,32,12.6,13.81,12.38,0.1516,0.05,2454970.15762,0.00092,5.968734,0.000009,2014ApJ...784...45R
Kepler-116c,KTEP,19,38,58.10,+43,32,12.6,13.81,12.38,0.1260,0.02,2454977.43294,0.00263,13.071630,0.000056,2014ApJ...784...45R
Kepler-118b,KTEP,19,56,51.16,+41,25,29.4,14.95,12.71,0.1190,0.03,2454965.53666,0.00459,7.518496,0.000056,2014ApJ...784...45R
Kepler-119b,KTEP,19,43,47.14,+42,39,32.1,14.40,12.58,0.1072,0.19,2454965.93928,0.00019,2.422082,0.000001,2014ApJ...784...45R
Kepler-119c,KTEP,19,43,47.14,+42,39,32.1,14.40,12.58,0.1183,0.01,2454966.64137,0.00452,4.125103,0.000028,2014ApJ...784...45R
Kepler-120b,KTEP,19,11,33.99,+39,20,20.9,15.09,12.30,0.1212,0.13,2454965.65419,0.00084,6.312501,0.000008,2014ApJ...784...45R
Kepler-120c,KTEP,19,11,33.99,+39,20,20.9,15.09,12.30,0.1437,0.08,2454963.76464,0.00209,12.794585,0.000044,2014ApJ...784...45R
Kepler-121b,KTEP,19,04,38.89,+39,40,40.8,14.91,12.79,0.0615,0.11,2454967.47787,0.00047,3.177422,0.000003,2014ApJ...784...45R
Kepler-121c,KTEP,19,04,38.89,+39,40,40.8,14.91,12.79,0.1657,0.10,2454980.03476,0.00265,41.008011,0.000191,2014ApJ...784...45R
Kepler-122b,KTEP,19,24,26.85,+39,56,56.8,14.38,12.82,0.1602,0.04,2454967.01488,0.00173,5.766193,0.000016,2014ApJ...784...45R
Kepler-122d,KTEP,19,24,26.85,+39,56,56.8,14.38,12.82,0.1951,0.03,2454975.97287,0.00379,21.587475,0.000164,2014ApJ...784...45R
Kepler-122e,KTEP,19,24,26.85,+39,56,56.8,14.38,12.82,0.2981,0.04,2454996.01553,0.00579,37.993273,0.000390,2014ApJ...784...45R
Kepler-123b,KTEP,19,47,59.67,+42,46,55.1,14.19,12.65,0.1902,0.05,2454968.09113,0.00193,17.232366,0.000056,2014ApJ...784...45R
Kepler-123c,KTEP,19,47,59.67,+42,46,55.1,14.19,12.65,0.1887,0.01,2454976.99812,0.01070,26.695074,0.000468,2014ApJ...784...45R
Kepler-124b,KTEP,19,07,00.67,+49,03,53.7,14.35,12.23,0.0995,0.01,2454964.57549,0.00362,3.410493,0.000021,2014ApJ...784...45R
Kepler-124c,KTEP,19,07,00.67,+49,03,53.7,14.35,12.23,0.1480,0.08,2454964.79391,0.00140,13.821375,0.000037,2014ApJ...784...45R
Kepler-124d,KTEP,19,07,00.67,+49,03,53.7,14.35,12.23,0.1748,0.03,2454986.83698,0.00610,30.950851,0.000361,2014ApJ...784...45R
Kepler-125b,KTEP,19,53,01.95,+47,36,17.8,15.42,11.68,0.0749,0.22,2455004.08676,0.00037,4.164389,0.000003,2014ApJ...784...45R
Kepler-125c,KTEP,19,53,01.95,+47,36,17.8,15.42,11.68,0.0782,0.02,2454965.96118,0.00468,5.774464,0.000047,2014ApJ...784...45R
Kepler-126b,KTEP,19,17,23.36,+44,12,30.6,10.66,9.34,0.2006,0.01,2455005.78966,0.00165,10.495711,0.000028,2014ApJ...784...45R
Kepler-126c,KTEP,19,17,23.36,+44,12,30.6,10.66,9.34,0.2283,0.01,2454973.29159,0.00223,21.869741,0.000082,2014ApJ...784...45R
Kepler-126d,KTEP,19,17,23.36,+44,12,30.6,10.66,9.34,0.4517,0.03,2455078.04434,0.00131,100.283134,0.000255,2014ApJ...784...45R
Kepler-127b,KTEP,19,00,45.60,+46,01,40.7,11.56,10.23,0.1431,0.01,2454974.51140,0.00246,14.435889,0.000063,2014ApJ...784...45R
Kepler-127c,KTEP,19,00,45.60,+46,01,40.7,11.56,10.23,0.2960,0.03,2455042.06708,0.00121,29.393195,0.000073,2014ApJ...784...45R
Kepler-127d,KTEP,19,00,45.60,+46,01,40.7,11.56,10.23,0.2924,0.03,2455005.54709,0.00143,48.630408,0.000128,2014ApJ...784...45R
Kepler-130b,KTEP,19,13,48.16,+40,14,43.2,11.80,10.49,0.1353,0.01,2454972.06666,0.00269,8.457458,0.000039,2014ApJ...784...45R
Kepler-130c,KTEP,19,13,48.16,+40,14,43.2,11.80,10.49,0.2440,0.06,2455015.10387,0.00065,27.508653,0.000033,2014ApJ...784...45R
Kepler-130d,KTEP,19,13,48.16,+40,14,43.2,11.80,10.49,0.0760,0.02,2455034.15805,0.00467,87.517905,0.000744,2014ApJ...784...45R
Kepler-132b,KTEP,18,52,56.59,+41,20,34.9,11.91,10.42,0.1213,0.02,2455012.42116,0.00212,18.010199,0.000067,2014ApJ...784...45R
Kepler-132c,KTEP,18,52,56.59,+41,20,34.9,11.91,10.42,0.1375,0.01,2455002.63908,0.00185,6.414914,0.000019,2014ApJ...784...45R
Kepler-132d,KTEP,18,52,56.59,+41,20,34.9,11.91,10.42,0.1360,0.01,2455001.86198,0.00190,6.178196,0.000022,2014ApJ...784...45R
Kepler-132e,KTEP,18,52,56.59,+41,20,34.9,11.91,10.42,0.1845,0.01,2455072.22128,0.00400,110.286703,0.0007428,2016ApJ...822...86M
Kepler-133b,KTEP,19,49,06.72,+48,19,13.2,13.00,11.32,0.0863,0.01,2454958.97047,0.00275,8.129976,0.000038,2014ApJ...784...45R
Kepler-133c,KTEP,19,49,06.72,+48,19,13.2,13.00,11.32,0.3235,0.04,2455018.15322,0.00266,31.517586,0.000158,2014ApJ...784...45R
Kepler-134b,KTEP,18,58,57.37,+49,35,54.2,12.44,10.95,0.1209,0.03,2455004.87608,0.00077,5.317429,0.000008,2014ApJ...784...45R
Kepler-134c,KTEP,18,58,57.37,+49,35,54.2,12.44,10.95,0.0858,0.01,2454968.50716,0.00296,10.105785,0.000053,2014ApJ...784...45R
Kepler-135b,KTEP,19,21,58.83,+38,47,43.7,12.82,11.45,0.1647,0.02,2455004.71611,0.00144,6.002530,0.000016,2014ApJ...784...45R
Kepler-135c,KTEP,19,21,58.83,+38,47,43.7,12.82,11.45,0.2103,0.01,2454974.38697,0.00693,11.448708,0.000145,2014ApJ...784...45R
Kepler-136b,KTEP,19,45,52.16,+42,35,55.6,12.44,10.51,0.1190,0.02,2455008.58649,0.00139,11.578900,0.000030,2014ApJ...784...45R
Kepler-136c,KTEP,19,45,52.16,+42,35,55.6,12.44,10.51,0.1459,0.02,2454964.96851,0.00180,16.399235,0.000051,2014ApJ...784...45R
Kepler-137b,KTEP,18,48,32.53,+43,02,20.8,13.18,11.16,0.1340,0.04,2455012.88640,0.00117,8.436387,0.000018,2014ApJ...784...45R
Kepler-137c,KTEP,18,48,32.53,+43,02,20.8,13.18,11.16,0.1252,0.06,2455010.63394,0.00105,18.735753,0.000035,2014ApJ...784...45R
Kepler-139b,KTEP,18,49,34.06,+43,53,21.7,12.85,11.16,0.2112,0.05,2455017.90582,0.00130,15.771044,0.000037,2014ApJ...784...45R
Kepler-139c,KTEP,18,49,34.06,+43,53,21.7,12.85,11.16,0.3549,0.05,2455314.26266,0.00440,157.072878,0.001720,2014ApJ...784...45R
Kepler-140b,KTEP,19,09,28.67,+46,46,05.6,13.08,11.70,0.1241,0.02,2455005.66151,0.00133,3.254270,0.000008,2014ApJ...784...45R
Kepler-140c,KTEP,19,09,28.67,+46,46,05.6,13.08,11.70,0.3300,0.02,2455022.60562,0.00874,91.353282,0.001370,2014ApJ...784...45R
Kepler-141b,KTEP,19,51,53.01,+47,43,54.1,13.70,11.39,0.0924,0.01,2454965.63058,0.00374,3.107675,0.000022,2014ApJ...784...45R
Kepler-141c,KTEP,19,51,53.01,+47,43,54.1,13.70,11.39,0.1244,0.03,2455007.57599,0.00142,7.010606,0.000020,2014ApJ...784...45R
Kepler-142b,KTEP,19,40,28.54,+48,28,52.6,13.35,11.76,0.1037,0.02,2455003.49468,0.00078,2.024152,0.000003,2014ApJ...784...45R
Kepler-142c,KTEP,19,40,28.54,+48,28,52.6,13.35,11.76,0.1376,0.05,2455003.33543,0.00060,4.761702,0.000005,2014ApJ...784...45R
Kepler-142d,KTEP,19,40,28.54,+48,28,52.6,13.35,11.76,0.3620,0.02,2454981.69926,0.00831,41.809118,0.000562,2014ApJ...784...45R
Kepler-143b,KTEP,19,52,16.25,+49,24,45.4,13.91,12.22,0.0472,0.03,2454975.63677,0.00321,16.007583,0.000093,2014ApJ...784...45R
Kepler-143c,KTEP,19,52,16.25,+49,24,45.4,13.91,12.22,0.2126,0.04,2455024.80613,0.00333,27.082511,0.000169,2014ApJ...784...45R
Kepler-144b,KTEP,18,47,39.76,+42,46,31.8,12.07,10.79,0.0780,0.01,2455007.42565,0.00193,5.885273,0.000020,2014ApJ...784...45R
Kepler-144c,KTEP,18,47,39.76,+42,46,31.8,12.07,10.79,0.0949,0.01,2454968.55344,0.00259,10.104665,0.000043,2014ApJ...784...45R
Kepler-145b,KTEP,19,25,33.06,+44,31,44.8,12.03,10.62,0.1830,0.01,2454984.53126,0.00345,22.950666,0.000144,2014ApJ...784...45R
Kepler-145c,KTEP,19,25,33.06,+44,31,44.8,12.03,10.62,0.4047,0.04,2455036.64890,0.00185,42.882324,0.000147,2014ApJ...784...45R
Kepler-146b,KTEP,19,36,26.58,+38,42,36.8,13.97,12.47,0.2162,0.09,2455006.90272,0.00150,31.158799,0.000079,2014ApJ...784...45R
Kepler-146c,KTEP,19,36,26.58,+38,42,36.8,13.97,12.47,0.2590,0.07,2455033.67082,0.00387,76.732171,0.000609,2014ApJ...784...45R
Kepler-147b,KTEP,19,11,54.18,+39,05,13.9,14.11,12.41,0.1853,0.01,2454971.19015,0.01042,12.610584,0.000228,2014ApJ...784...45R
Kepler-147c,KTEP,19,11,54.18,+39,05,13.9,14.11,12.41,0.3039,0.03,2455004.33383,0.00720,33.416423,0.000416,2014ApJ...784...45R
Kepler-148b,KTEP,19,19,08.69,+46,51,31.6,15.58,13.35,0.0732,0.05,2454966.81853,0.00133,1.729366,0.000004,2014ApJ...784...45R
Kepler-148c,KTEP,19,19,08.69,+46,51,31.6,15.58,13.35,0.1034,0.17,2455006.71928,0.00054,4.180043,0.000004,2014ApJ...784...45R
Kepler-148d,KTEP,19,19,08.69,+46,51,31.6,15.58,13.36,0.1990,0.96,2455003.08076,0.00044,51.8468898,0.0000293,2016ApJ...822...86M
Kepler-149b,KTEP,19,03,24.88,+38,23,02.8,14.22,12.18,0.2114,0.20,2455018.44022,0.00076,29.198943,0.000041,2014ApJ...784...45R
Kepler-149c,KTEP,19,03,24.88,+38,23,02.8,14.22,12.18,0.2895,0.03,2455019.32665,0.01752,55.328328,0.001946,2014ApJ...784...45R
Kepler-149d,KTEP,19,03,24.88,+38,23,02.8,14.22,12.18,0.2146,0.16,2455084.28348,0.00324,160.018032,0.001096,2014ApJ...784...45R
Kepler-151b,KTEP,19,28,39.07,+41,01,23.7,14.96,12.86,0.1102,0.11,2455009.55979,0.00110,15.228958,0.000030,2014ApJ...784...45R
Kepler-151c,KTEP,19,28,39.07,+41,01,23.7,14.96,12.86,0.1256,0.07,2454979.77073,0.00260,24.674612,0.000106,2014ApJ...784...45R
Kepler-152b,KTEP,19,07,27.71,+41,59,20.7,14.50,12.30,0.1565,0.15,2455018.84202,0.00069,18.207973,0.000023,2014ApJ...784...45R
Kepler-152c,KTEP,19,07,27.71,+41,59,20.7,14.50,12.30,0.1682,0.11,2454986.78027,0.00195,88.255055,0.000309,2014ApJ...784...45R
Kepler-153b,KTEP,18,49,50.52,+48,15,25.6,14.48,12.41,0.1281,0.11,2455011.71046,0.00116,18.870227,0.000039,2014ApJ...784...45R
Kepler-153c,KTEP,18,49,50.52,+48,15,25.6,14.48,12.41,0.1594,0.08,2454987.30653,0.00266,46.902320,0.000215,2014ApJ...784...45R
Kepler-154b,KTEP,19,19,07.32,+49,53,47.5,14.68,12.98,0.1398,0.05,2454994.22087,0.00429,33.040532,0.000215,2014ApJ...784...45R
Kepler-154c,KTEP,19,19,07.32,+49,53,47.5,14.68,12.98,0.3129,0.08,2455012.09423,0.00385,62.303276,0.000406,2014ApJ...784...45R
Kepler-154d,KTEP,19,19,07.32,+49,53,47.5,14.68,12.99,0.2312,0.16,2455011.94640,0.00093,20.5498184,0.0000235,2016ApJ...822...86M
Kepler-154e,KTEP,19,19,07.32,+49,53,47.5,14.68,12.99,0.1225,0.02,2454967.64964,0.00300,3.9327663,0.0000118,2016ApJ...822...86M
Kepler-154f,KTEP,19,19,07.32,+49,53,47.5,14.68,12.99,0.1802,0.02,2454969.87361,0.00600,9.9193769,0.0000676,2016ApJ...822...86M
Kepler-155b,KTEP,19,13,59.00,+51,04,55.0,14.59,11.80,0.0988,0.10,2455007.79655,0.00074,5.931194,0.000008,2014ApJ...784...45R
Kepler-155c,KTEP,19,13,59.00,+51,04,55.0,14.59,11.80,0.1328,0.11,2455016.51681,0.00237,52.661793,0.000236,2014ApJ...784...45R
Kepler-156b,KTEP,19,21,11.16,+37,44,58.2,14.42,12.15,0.0658,0.07,2455003.88529,0.00089,4.973456,0.000008,2014ApJ...784...45R
Kepler-156c,KTEP,19,21,11.16,+37,44,58.2,14.42,12.15,0.1660,0.09,2455010.93315,0.00154,15.906801,0.000045,2014ApJ...784...45R
Kepler-157b,KTEP,19,24,23.33,+38,52,32.2,14.15,12.57,0.0911,0.02,2454967.53020,0.00205,1.732342,0.000006,2014ApJ...784...45R
Kepler-157c,KTEP,19,24,23.33,+38,52,32.2,14.15,12.57,0.1881,0.04,2455004.68032,0.00219,13.540500,0.000049,2014ApJ...784...45R
Kepler-157d,KTEP,19,24,23.33,+38,52,32.2,14.15,12.57,0.0935,0.02,2454966.62713,0.00300,7.0257409,0.0000235,2016ApJ...822...86M
Kepler-158b,KTEP,18,56,07.73,+39,46,52.8,14.77,12.05,0.1152,0.08,2455007.75561,0.00193,16.709184,0.000064,2014ApJ...784...45R
Kepler-158c,KTEP,18,56,07.73,+39,46,52.8,14.77,12.05,0.1770,0.09,2455018.47678,0.00247,28.551383,0.000140,2014ApJ...784...45R
Kepler-159b,KTEP,19,48,16.84,+40,52,07.6,15.28,12.35,0.1122,0.11,2455011.44948,0.00119,10.139623,0.000022,2014ApJ...784...45R
Kepler-159c,KTEP,19,48,16.84,+40,52,07.6,15.28,12.35,0.2147,0.21,2455027.54523,0.00135,43.595792,0.000125,2014ApJ...784...45R
Kepler-161b,KTEP,19,22,03.95,+43,05,01.8,14.44,12.24,0.0780,0.07,2455007.29899,0.00070,4.921355,0.000006,2014ApJ...784...45R
Kepler-161c,KTEP,19,22,03.95,+43,05,01.8,14.44,12.24,0.0563,0.07,2454968.37914,0.00092,7.064240,0.000011,2014ApJ...784...45R
Kepler-162b,KTEP,19,49,06.94,+43,43,26.5,14.43,12.65,0.1391,0.02,2454967.11914,0.00403,6.919798,0.000052,2014ApJ...784...45R
Kepler-162c,KTEP,19,49,06.94,+43,43,26.5,14.43,12.65,0.1470,0.09,2455003.10194,0.00131,19.446355,0.000045,2014ApJ...784...45R
Kepler-163b,KTEP,19,40,00.67,+46,59,14.4,14.57,12.78,0.1400,0.01,2454965.30430,0.00674,7.810937,0.000107,2014ApJ...784...45R
Kepler-163c,KTEP,19,40,00.67,+46,59,14.4,14.57,12.78,0.1569,0.06,2455004.73590,0.00225,21.347262,0.000081,2014ApJ...784...45R
Kepler-164b,KTEP,19,11,07.40,+47,37,47.7,14.38,12.93,0.0687,0.01,2454965.65465,0.00338,5.035030,0.000027,2014ApJ...784...45R
Kepler-164c,KTEP,19,11,07.40,+47,37,47.7,14.38,12.93,0.1252,0.05,2455009.72046,0.00149,10.945723,0.000029,2014ApJ...784...45R
Kepler-164d,KTEP,19,11,07.40,+47,37,47.7,14.38,12.93,0.1435,0.04,2454967.78268,0.00338,28.986769,0.000162,2014ApJ...784...45R
Kepler-165b,KTEP,18,42,45.84,+47,48,35.1,15.03,12.84,0.1195,0.07,2455009.70113,0.00176,8.180848,0.000026,2014ApJ...784...45R
Kepler-165c,KTEP,18,42,45.84,+47,48,35.1,15.03,12.84,0.1262,0.09,2455004.79196,0.00192,15.312990,0.000057,2014ApJ...784...45R
Kepler-166b,KTEP,19,32,38.44,+48,52,52.3,14.91,12.87,0.1145,0.10,2455004.97149,0.00088,7.650254,0.000012,2014ApJ...784...45R
Kepler-166c,KTEP,19,32,38.44,+48,52,52.3,14.91,12.87,0.2017,0.10,2455016.22653,0.00208,34.260281,0.000124,2014ApJ...784...45R
Kepler-166d,KTEP,19,32,38.43,+48,52,52.2,14.91,12.88,0.0736,0.05,2455002.83030,0.00052,1.5540039,0.0000010,2016ApJ...822...86M
Kepler-168b,KTEP,19,38,50.44,+39,49,30.4,14.74,13.20,0.1464,0.02,2454967.56055,0.00371,4.425391,0.000033,2014ApJ...784...45R
Kepler-168c,KTEP,19,38,50.44,+39,49,30.4,14.74,13.20,0.2057,0.06,2455008.60934,0.00211,13.193242,0.000049,2014ApJ...784...45R
Kepler-169b,KTEP,19,03,59.97,+40,55,09.5,14.44,12.18,0.0890,0.02,2454966.69209,0.00232,3.250619,0.000013,2014ApJ...784...45R
Kepler-169c,KTEP,19,03,59.97,+40,55,09.5,14.44,12.18,0.1273,0.03,2454967.71616,0.00275,6.195469,0.000029,2014ApJ...784...45R
Kepler-169d,KTEP,19,03,59.97,+40,55,09.5,14.44,12.18,0.1163,0.03,2454969.84117,0.00249,8.348125,0.000041,2014ApJ...784...45R
Kepler-169e,KTEP,19,03,59.97,+40,55,09.5,14.44,12.18,0.1213,0.07,2455007.81064,0.00145,13.767102,0.000034,2014ApJ...784...45R
Kepler-169f,KTEP,19,03,59.97,+40,55,09.5,14.44,12.18,0.2630,0.11,2455020.31840,0.00276,87.090195,0.000406,2014ApJ...784...45R
Kepler-170b,KTEP,18,58,05.08,+41,37,46.6,14.57,12.67,0.1533,0.08,2455002.51582,0.00106,7.930592,0.000014,2014ApJ...784...45R
Kepler-170c,KTEP,18,58,05.08,+41,37,46.6,14.57,12.67,0.1750,0.08,2455013.20177,0.00169,16.665863,0.000053,2014ApJ...784...45R
Kepler-171b,KTEP,19,47,05.26,+41,45,19.9,15.08,13.20,0.1142,0.08,2455002.71415,0.00098,4.166972,0.000007,2014ApJ...784...45R
