NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-402 c,,0.0655142,6.124821,2454967.936,,0.59,,,0.139174,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-435 b,0.854333,0.0948432,8.6001536,2455010.64241,64,0.448,0.00408,85.51,1.99,0.131,Almenara 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..71A,Almenara 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..71A
WASP-18 b,10.0636,0.0201401,0.9414529,2454664.90531,1818.3,0.527,0.00916,80.6,1.267,10.2809,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
CoRoT-6 b,2.95325,0.0854177,8.886593,2454595.6144,280,0.291,0.0136656,89.07,1.166,2.32,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F
Kepler-127 c,,0.186396,29.393195,2455042.06708,,0.77,,,0.237309,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-839 b,,0.235594,37.8144514,2454967.667,,,0.00033856,,0.229,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-203 c,,0.0600193,5.370647,2455005.23697,,0.1,,,0.220359,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1234 b,,0.0949095,11.94014029,2454969.559,,,0.00115328,,0.251,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1127 b,,0.0575745,5.12330347,2454965.086,,,0.00036138,,0.175,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-732 c,,0.0143082,0.89304124,2454967.54,,,0.000648721,,0.113,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
K2-28 b,,0.0214313,2.260455,2456977.99012,,0.36,0.00543,88.9,0.211187,,Hirano 2016,http://adsabs.harvard.edu/abs/2016ApJ...820...41H,Hirano 2016,http://adsabs.harvard.edu/abs/2016ApJ...820...41H
Kepler-1528 b,,0.0291497,1.79111021,2454964.958,,,0.000162308,,0.13,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-893 b,,0.0670296,6.33855761,2455187.851,,,0.00080656,,0.27,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1387 b,,0.0317279,2.27952666,2454966.358,,,0.000113636,,0.083,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1062 b,,0.0786582,9.30412078,2454973.34,,,0.000518928,,0.157,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
K2-29 b,0.361551,0.0421448,3.2588321,2453219.0095,51.75,0.58,0.02013,86.656,1.21422,0.53,Santerne 2016,http://adsabs.harvard.edu/abs/2016ApJ...824...55S,Santerne 2016,http://adsabs.harvard.edu/abs/2016ApJ...824...55S
Kepler-79 b,,0.114456,13.485,,,,,,0.316,1.43,Jontof-Hutter 2014,http://adsabs.harvard.edu/abs/2014ApJ...785...15J,Xie 2013,http://adsabs.harvard.edu/abs/2013ApJS..208...22X
Kepler-202 b,,0.0498841,4.069427,2455004.01577,,0.64,,,0.145419,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-709 b,,0.115768,16.08524954,2455013.281,,,0.00124821,,0.261,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
KELT-2 A b,1.52019,0.0549707,4.1137912,2455974.60335,161.1,0.16,0.00521,88.6,1.286,0.948085,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B
Kepler-10 b,0.0142142,0.0167573,0.837495,2454964.57375,3.3,0.339,0.000151782,84.4,0.126327,8.8,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B
Kepler-208 e,,0.125606,16.259458,2454945.01425,,0.21,,,0.132037,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1365 b,,0.0763129,7.69993485,2454967.393,,,0.0000613089,,0.082,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-270 c,,0.168498,25.262887,2454967.21176,,0.1,,,0.157909,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-966 b,,0.423716,99.747622,2455041.395,,,0.0013653,,0.368,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
