Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-105c,5827,94.0,94.0,0.011,0.003,0.003,0.961,0.046,0.046,0.894,0.044,0.044,,,,,,,0.02,0.02,0.02,,,,0.0176,0.0038,0.0038,0.128,0.004,0.004,,,,1.99,0.46,0.46,,,,2014ApJ...784...45R,2024AJ....167...84H,TEP,19,11,32.96,46,16,34.5,12.88,11.5,0.1168,0.02,2454957.753,0.001,7.12592,1e-05,2024AJ....167...84H,0.23
Kepler-106b,5858,114.0,114.0,-0.12,0.11,0.11,1.0,0.07,0.07,1.04,0.17,0.17,4.407,0.14,0.14,0.98,0.11,0.11,,,,,,,,0.017,0.0,0.073,0.01,0.01,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,20,3,27.36,44,20,15.2,13.02,11.43,0.115,0.006,2454968.63562,0.0087,6.16489,0.00015,2013ApJS..204...24B,0.39
Kepler-106c,5858,114.0,114.0,-0.12,0.11,0.11,1.0,0.07,0.07,1.04,0.17,0.17,4.407,0.14,0.14,0.98,0.11,0.11,0.0,,,,,,0.033,0.01,0.01,0.223,0.029,0.029,,,,2.47,1.18,1.18,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,20,3,27.36,44,20,15.2,13.02,11.43,0.135,0.05,2454955.7084,0.0012,13.5707835,1.3e-06,2016ApJS..225....9H,0.69
Kepler-106d,5858,114.0,114.0,-0.12,0.11,0.11,1.0,0.07,0.07,1.04,0.17,0.17,4.407,0.14,0.14,0.98,0.11,0.11,0.0,,,,,,,0.025,0.0,0.085,0.012,0.012,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,20,3,27.36,44,20,15.2,13.02,11.43,0.195,0.008,2455047.5282,0.0006,23.98,0.14,2013ApJS..204...24B,0.45
Kepler-106e,5858,114.0,114.0,-0.12,0.11,0.11,1.0,0.07,0.07,1.04,0.17,0.17,4.407,0.14,0.14,0.98,0.11,0.11,0.0,,,,,,0.042,0.008,0.008,0.227,0.029,0.029,,,,2.34,1.56,1.56,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,20,3,27.36,44,20,15.2,13.02,11.43,0.264,0.061,2454984.936,0.002,43.8443766,2.2e-06,2016ApJS..225....9H,0.28
Kepler-107b,5854,61.0,61.0,0.321,0.065,0.065,1.238,0.029,0.029,1.447,0.014,0.014,4.21,0.013,0.013,0.407,0.021,0.021,0.0,,,0.04544,0.00035,0.00035,0.011,0.0048,0.0048,0.137,0.0022,0.0022,,,,4.0,1.7,1.7,1593.0,19.0,19.0,2014ApJ...784...45R,2019NatAs...3..416B,TEP,19,48,6.78,48,12,31.0,12.61,11.06,0.1514,0.01,2455701.08414,0.00037,3.1800218,2.9e-06,2019NatAs...3..416B,0.34
Kepler-107c,5854,61.0,61.0,0.321,0.065,0.065,1.238,0.029,0.029,1.447,0.014,0.014,4.21,0.013,0.013,0.407,0.021,0.021,0.0,,,0.06064,0.00047,0.00047,0.0295,0.0056,0.0056,0.1425,0.0023,0.0023,,,,9.5,1.8,1.8,1379.0,17.0,17.0,2014ApJ...784...45R,2019NatAs...3..416B,TEP,19,48,6.78,48,12,31.0,12.61,11.06,0.1779,0.01,2455697.01829,0.00079,4.901452,1e-05,2019NatAs...3..416B,0.78
Kepler-107d,5854,61.0,61.0,0.321,0.065,0.065,1.238,0.029,0.029,1.447,0.014,0.014,4.21,0.013,0.013,0.407,0.021,0.021,0.0,,,0.08377,0.00065,0.00065,,0.012,0.0,0.077,0.005,0.005,,,,0.0,25.0,0.0,1173.0,14.0,14.0,2014ApJ...784...45R,2019NatAs...3..416B,TEP,19,48,6.78,48,12,31.0,12.61,11.06,0.1742,0.003,2455702.9547,0.006,7.95839,0.00012,2019NatAs...3..416B,0.27
Kepler-107e,5854,61.0,61.0,0.321,0.065,0.065,1.238,0.029,0.029,1.447,0.014,0.014,4.21,0.013,0.013,0.407,0.021,0.021,0.0,,,0.12639,0.00099,0.00099,0.027,0.011,0.011,0.2589,0.0031,0.0031,,,,1.51,0.62,0.62,955.0,12.0,12.0,2014ApJ...784...45R,2019NatAs...3..416B,TEP,19,48,6.78,48,12,31.0,12.61,11.06,0.2548,0.04,2455694.4855,0.00046,14.749143,1.9e-05,2019NatAs...3..416B,0.9
Kepler-108b,5854,92.0,92.0,0.31,0.11,0.11,0.96,0.29,0.19,1.57,0.13,0.16,,,,,,,0.135,0.11,0.062,,,,0.44,0.29,0.16,1.04,,,,,,,,,,,,2014ApJ...784...45R,2017AJ....153...45M,TEP,19,38,14.2,46,3,44.4,12.76,10.98,0.47,0.16,2455565.12253,0.00071,49.18341,0.00033,2017AJ....153...45M,0.03
Kepler-108c,5854,92.0,92.0,0.31,0.11,0.11,0.96,0.29,0.19,1.57,0.13,0.16,,,,,,,0.128,0.023,0.019,,,,0.169,0.095,0.068,0.91,,,,,,,,,,,,2014ApJ...784...45R,2017AJ....153...45M,TEP,19,38,14.2,46,3,44.4,12.76,10.98,0.654,0.11,2455716.676,0.0016,190.353,0.012,2017AJ....153...45M,0.81
Kepler-109b,5952,75.0,75.0,-0.08,0.1,0.1,1.04,0.08,0.08,1.32,0.04,0.04,4.211,0.04,0.04,0.46,0.01,0.01,0.0,,,,,,,0.023,0.0,0.211,0.006,0.006,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,21,34.26,40,17,5.5,12.47,11.0,0.151,0.032,2454955.97868,0.00086,6.4816271,9.7e-07,2016ApJS..225....9H,0.58
Kepler-109c,5952,75.0,75.0,-0.08,0.1,0.1,1.04,0.08,0.08,1.32,0.04,0.04,4.211,0.04,0.04,0.46,0.01,0.01,0.0,,,,,,,0.069,0.0,0.225,0.006,0.006,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,21,34.26,40,17,5.5,12.47,11.0,0.27,0.036,2454970.5734,0.0012,21.222635,1.3e-06,2016ApJS..225....9H,0.16
Kepler-111b,5914,81.0,82.0,0.237,0.058,0.059,1.118,0.061,0.068,1.145,0.04,0.037,4.369,0.036,0.041,0.74,0.09,0.09,,,,,,,,,,0.141,0.018,0.018,,,,,,,,,,2014ApJ...784...45R,2024ApJS..271...16D,TEP,19,26,36.76,44,41,17.8,13.6,12.11,0.1154,0.02,2454974.35574,0.00106,3.341815,6e-06,2024ApJS..271...16D,0.01
Kepler-111c,5914,81.0,82.0,0.237,0.058,0.059,1.118,0.061,0.068,1.145,0.04,0.037,4.369,0.036,0.041,0.74,0.09,0.09,0.176,0.08,0.085,0.751,0.013,0.016,0.7,0.14,0.31,0.651,0.081,0.081,43.4,8.9,8.5,2.58,0.62,0.54,352.0,6.0,6.0,2014ApJ...784...45R,2024ApJS..271...16D,TEP,19,26,36.76,44,41,17.8,13.6,12.11,0.4638,0.35,2454975.09611,0.00088,224.77833,0.00026,2024ApJS..271...16D,0.72
Kepler-113b,4725,74.0,74.0,0.05,0.07,0.07,0.75,0.06,0.06,0.69,0.02,0.02,4.636,0.03,0.03,1.92,0.06,0.06,0.0,,,,,,0.024,0.011,0.011,0.162,0.004,0.004,,,,8.09,2.86,2.86,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,11,59.5,50,56,39.6,13.76,11.26,0.115,0.076,2454956.79282,0.00063,4.7540012,7.1e-07,2016ApJS..225....9H,0.08
Kepler-113c,4725,74.0,74.0,0.05,0.07,0.07,0.75,0.06,0.06,0.69,0.02,0.02,4.636,0.03,0.03,1.92,0.06,0.06,0.0,,,,,,0.004,0.01,0.004,0.194,0.005,0.005,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,11,59.5,50,56,39.6,13.76,11.26,0.108,0.098,2454954.86385,0.00068,8.9250744,7.7e-07,2016ApJS..225....9H,0.56
Kepler-117b,6150,110.0,110.0,-0.04,0.1,0.1,1.129,0.013,0.023,1.606,0.049,0.049,4.102,0.029,0.029,0.291,0.01,0.018,0.0493,0.0062,0.0062,0.1445,0.0047,0.0014,0.094,0.033,0.033,0.719,0.024,0.024,4.7,1.2,1.5,0.23,0.08,0.08,984.0,18.0,18.0,2014ApJ...784...45R,2015A+A...573A.124B,TEP,19,15,10.33,48,2,24.8,14.48,13.01,0.3024,0.24,2454978.82204,0.00035,18.7959228,7.5e-06,2015A+A...573A.124B,0.73
Kepler-117c,6150,110.0,110.0,-0.04,0.1,0.1,1.129,0.013,0.023,1.606,0.049,0.049,4.102,0.029,0.029,0.291,0.01,0.018,0.0323,0.0033,0.0033,0.2804,0.0092,0.0028,1.84,0.18,0.18,1.101,0.035,0.035,37.5,3.7,3.4,1.31,0.14,0.14,704.0,15.0,15.0,2014ApJ...784...45R,2015A+A...573A.124B,TEP,19,15,10.33,48,2,24.8,14.48,13.01,0.4535,0.57,2454968.63205,0.00025,50.790391,1.4e-05,2015A+A...573A.124B,0.29
Kepler-128b,6072,75.0,75.0,-0.09,0.1,0.1,1.184,0.074,0.074,1.659,0.038,0.038,4.071,0.047,0.047,0.2591,0.0048,0.0048,0.06,0.12,0.12,0.127,0.004,0.004,0.0119,0.0024,0.0021,0.1268,0.0036,0.0036,,,,,,,970.0,64.0,64.0,2014ApJS..210...25X,2023A+A...669A.117L,TEP,18,49,58.13,43,58,48.8,11.46,10.1,0.1663,0.01,2455008.95329,0.00653,15.090015,0.000233,2014ApJ...784...45R,
Kepler-128c,6072,75.0,75.0,-0.09,0.1,0.1,1.184,0.074,0.074,1.659,0.038,0.038,4.071,0.047,0.047,0.2591,0.0048,0.0048,0.037,0.026,0.03,0.167,0.005,0.005,0.0106,0.0021,0.0019,0.1357,0.0042,0.0042,,,,,,,843.0,54.0,54.0,2014ApJS..210...25X,2023A+A...669A.117L,TEP,18,49,58.13,43,58,48.8,11.46,10.1,0.2152,0.01,2454986.37509,0.00821,22.802603,0.000338,2014ApJ...784...45R,
Kepler-129b,5770,83.0,83.0,0.29,0.1,0.1,1.178,0.021,0.03,1.653,0.009,0.012,4.086,0.06,0.06,0.37,0.015,0.015,,,,0.13,,,0.032,0.019,0.019,0.214,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2021AJ....162...89Z,TEP,19,1,14.7,47,50,54.8,12.15,10.25,0.3032,0.02,2455009.82166,0.00228,15.79186,6.8e-05,2014ApJ...784...45R,0.54
Kepler-129c,5770,83.0,83.0,0.29,0.1,0.1,1.178,0.021,0.03,1.653,0.009,0.012,4.086,0.06,0.06,0.37,0.015,0.015,,,,0.39,,,0.135,0.041,0.038,0.225,0.006,0.006,,,,11.2,3.2,3.2,,,,2014ApJ...784...45R,2021AJ....162...89Z,TEP,19,1,14.7,47,50,54.8,12.15,10.25,0.4404,0.02,2455041.78963,0.00478,82.20017,0.00068,2014ApJ...784...45R,0.12
Kepler-131b,5685,74.0,74.0,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,4.417,0.08,0.08,1.02,0.15,0.15,0.0,,,,,,0.051,0.011,0.011,0.215,0.018,0.018,,,,4.5,1.5,1.5,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,14,7.4,40,56,32.3,11.66,10.08,0.122,0.044,2454955.32281,0.00057,16.091964,6.4e-07,2016ApJS..225....9H,0.79
Kepler-131c,5685,74.0,74.0,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,4.417,0.08,0.08,1.02,0.15,0.15,0.0,,,,,,,0.063,0.0,0.075,0.006,0.006,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,14,7.4,40,56,32.3,11.66,10.08,0.209,0.007,2454961.921,0.015,25.51683,1.7e-05,2016ApJS..225....9H,0.27
Kepler-138b,3841,50.0,51.0,-0.18,0.1,0.1,0.535,0.012,0.012,0.535,0.013,0.014,4.71,0.03,0.03,3.5,0.3,0.3,0.02,0.009,0.009,0.0753,0.0006,0.0006,0.0002,0.0001,0.0001,0.0571,0.0018,0.0018,1.91,0.55,0.53,1.3,0.4,0.4,452.0,8.0,9.0,2014ApJ...784...45R,2023NatAs...7..206P,TEP,19,21,31.56,43,17,34.8,13.34,9.51,0.1,0.03,2454956.236,0.003,10.3134,0.0003,2023NatAs...7..206P,0.53
Kepler-138c,3841,50.0,51.0,-0.18,0.1,0.1,0.535,0.012,0.012,0.535,0.013,0.014,4.71,0.03,0.03,3.5,0.3,0.3,0.017,0.008,0.009,0.0913,0.0007,0.0007,0.0072,0.0017,0.0017,0.135,0.004,0.004,9.6,2.8,2.3,2.7,0.8,0.7,410.0,8.0,8.0,2014ApJ...784...28K,2023NatAs...7..206P,TEP,19,21,31.56,43,17,34.8,13.34,9.51,0.08,0.07,2454955.7288,0.0006,13.7815,8e-05,2023NatAs...7..206P,
Kepler-138d,3841,50.0,51.0,-0.18,0.1,0.1,0.535,0.012,0.012,0.535,0.013,0.014,4.71,0.03,0.03,3.5,0.3,0.3,0.01,0.005,0.005,0.1288,0.001,0.001,0.0066,0.0019,0.0022,0.135,0.004,0.004,9.8,2.8,2.9,2.7,0.8,0.8,345.0,7.0,7.0,2014ApJ...784...28K,2023NatAs...7..206P,TEP,19,21,31.56,43,17,34.8,13.34,9.51,0.075,0.07,2454957.816,0.0009,23.0923,0.0006,2023NatAs...7..206P,
Kepler-150b,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,,,,,,,0.112,0.017,0.017,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.0962,0.02,2454965.36794,0.00416,3.428054,2.6e-05,2014ApJ...784...45R,0.08
Kepler-150c,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,,,,,,,0.329,0.053,0.053,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.1302,0.15,2455006.07123,0.0007,7.381998,1e-05,2014ApJ...784...45R,0.53
Kepler-150d,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,,,,,,,0.249,0.037,0.037,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.1568,0.09,2454999.79588,0.00158,12.56093,3.6e-05,2014ApJ...784...45R,0.12
Kepler-150e,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,,,,,,,0.278,0.049,0.049,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.2273,0.07,2454986.01043,0.00373,30.826557,0.000199,2014ApJ...784...45R,0.93
Kepler-150f,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,1.24,0.29,0.45,,,,0.325,0.046,0.035,,,,,,,,,,2017AJ....153..180S,2017AJ....153..180S,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.5588,0.15,2456079.2422,0.008,637.209,0.016,2017AJ....153..180S,0.0
Kepler-160b,5471,115.0,37.0,-0.36,0.5,0.5,0.922,,,1.118,0.015,0.045,4.51,0.3,0.3,1.88,0.68,0.68,,,,0.0551,0.0019,0.0037,,,,0.153,0.005,0.005,,,,,,,,,,2014ApJ...784...45R,2020A+A...638A..10H,TEP,19,11,5.65,42,52,9.4,14.79,13.05,0.1259,0.03,2454967.032,0.0028,4.309397,1.3e-05,2020A+A...638A..10H,0.68
Kepler-160c,5471,115.0,37.0,-0.36,0.5,0.5,0.922,,,1.118,0.015,0.045,4.51,0.3,0.3,1.88,0.68,0.68,,,,0.1192,0.004,0.008,,,,0.335,0.021,0.008,,,,,,,,,,2014ApJ...784...45R,2020A+A...638A..10H,TEP,19,11,5.65,42,52,9.4,14.79,13.05,0.2003,0.12,2455004.4805,0.0011,13.699429,1.8e-05,2020A+A...638A..10H,0.88
Kepler-167b,4830,100.0,100.0,-0.02,0.09,0.09,0.777,0.034,0.031,0.749,0.02,0.02,4.579,0.027,0.025,1.82,0.16,0.14,0.0,,,0.04825,0.0007,0.0007,,,,0.1533,0.0062,0.0062,,,,,,,918.0,27.0,17.0,2014ApJ...784...45R,2022ApJ...926...62C,TEP,19,30,38.02,38,20,43.4,14.29,11.83,0.0979,0.044,2455831.78065,0.00039,4.3931539,4.7e-06,2022ApJ...926...62C,0.18
Kepler-167c,4830,100.0,100.0,-0.02,0.09,0.09,0.777,0.034,0.031,0.749,0.02,0.02,4.579,0.027,0.025,1.82,0.16,0.14,0.0,,,0.0684,0.001,0.001,,,,0.1493,0.0062,0.0062,,,,,,,771.0,23.0,23.0,2014ApJ...784...45R,2022ApJ...926...62C,TEP,19,30,38.02,38,20,43.4,14.29,11.83,0.1144,0.042,2455552.15797,0.00071,7.406106,1e-05,2022ApJ...926...62C,0.13
Kepler-167d,4830,100.0,100.0,-0.02,0.09,0.09,0.777,0.034,0.031,0.749,0.02,0.02,4.579,0.027,0.025,1.82,0.16,0.14,0.0,,,0.1404,0.002,0.002,,,,0.1104,0.0057,0.0057,,,,,,,538.0,16.0,16.0,2016ApJ...820..112K,2022ApJ...926...62C,TEP,19,30,38.02,38,20,43.4,14.29,11.83,0.1493,0.023,2455669.7888,0.0026,21.80379,0.00016,2022ApJ...926...62C,0.52
Kepler-167e,4830,100.0,100.0,-0.02,0.09,0.09,0.777,0.034,0.031,0.749,0.02,0.02,4.579,0.027,0.025,1.82,0.16,0.14,0.0,0.29,0.0,1.883,0.021,0.021,1.01,0.16,0.15,0.906,0.037,0.037,,,,1.27,0.26,0.25,134.0,4.0,4.0,2016ApJ...820..112K,2022ApJ...926...62C,TEP,19,30,38.02,38,20,43.4,14.29,11.83,0.6721,1.5,2459538.2491,0.0019,1071.24151,0.00087,arXiv:2511.15317,0.271
Kepler-176c,5139,93.0,93.0,0.07,0.5,0.5,0.847,0.043,0.043,0.8,0.016,0.016,4.474,0.3,0.3,1.64,0.14,0.14,0.055,0.045,0.045,,,,0.014,0.012,0.012,0.2035,0.0046,0.0045,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,38,40.31,43,51,11.7,14.78,12.56,0.1475,0.08,2455003.31062,0.00146,12.759712,3.3e-05,2014ApJ...784...45R,0.47
Kepler-176d,5139,93.0,93.0,0.07,0.5,0.5,0.847,0.043,0.043,0.8,0.016,0.016,4.474,0.3,0.3,1.64,0.14,0.14,0.04,0.04,0.04,,,,0.014,0.012,0.012,0.21,0.0055,0.0054,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,38,40.31,43,51,11.7,14.78,12.56,0.1189,0.07,2454969.44951,0.00247,25.751974,0.000115,2014ApJ...784...45R,0.66
Kepler-186b,3852,64.0,64.0,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,,,,0.0343,0.0046,0.0046,,,,0.095,0.011,0.011,,,,,,,,,,2014Sci...344..277Q,2014Sci...344..277Q,TEP,19,54,36.65,43,57,18.1,15.23,11.61,0.0821,0.05,2454966.3304,0.0013,3.8867907,6.2e-06,2014Sci...344..277Q,0.3
Kepler-186c,3852,64.0,64.0,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,,,,0.052,0.007,0.007,,,,0.112,0.012,0.012,,,,,,,,,,2014Sci...344..277Q,2014Sci...344..277Q,TEP,19,54,36.65,43,57,18.1,15.23,11.61,0.1009,0.07,2455007.3142,0.0012,7.267302,1.2e-05,2014Sci...344..277Q,0.28
Kepler-186d,3852,64.0,64.0,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,,,,0.0781,0.01,0.01,,,,0.125,0.014,0.014,,,,,,,,,,2014Sci...344..277Q,2014Sci...344..277Q,TEP,19,54,36.65,43,57,18.1,15.23,11.61,0.1182,0.08,2455009.9045,0.0014,13.342996,2.5e-05,2014Sci...344..277Q,0.36
Kepler-186e,3852,64.0,64.0,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,,,,0.11,0.015,0.015,,,,0.113,0.013,0.012,,,,,,,,,,2014Sci...344..277Q,2014Sci...344..277Q,TEP,19,54,36.65,43,57,18.1,15.23,11.61,0.1428,0.07,2454986.8006,0.0024,22.407704,7.3e-05,2014Sci...344..277Q,0.31
Kepler-186f,3852,64.0,64.0,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,0.04,0.07,0.04,0.356,0.048,0.048,,,,0.104,0.007,0.007,,,,,,,,,,2014Sci...344..277Q,2015ApJ...800...99T,TEP,19,54,36.65,43,57,18.1,15.23,11.61,0.234,0.05,2455789.494,0.0036,129.9441,0.0013,2015ApJ...800...99T,0.43
Kepler-223b,5821,123.0,123.0,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,,,,0.078,0.015,0.017,,,,0.0233,0.0041,0.0035,0.267,0.016,0.024,,,,1.16,0.47,0.261,,,,2014ApJ...784...45R,2016Natur.533..509M,TEP,19,53,16.41,47,16,46.2,15.54,13.63,0.2257,0.03,2454970.48632,0.01126,7.38449,0.00022,2016Natur.533..509M,0.06
Kepler-223c,5821,123.0,123.0,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,,,,0.15,0.019,0.051,,,,0.016,0.0053,0.0035,0.307,0.018,0.027,,,,0.54,0.25,0.151,,,,2014ApJ...784...45R,2016Natur.533..509M,TEP,19,53,16.41,47,16,46.2,15.54,13.63,0.243,0.04,2454971.38748,0.01037,9.84564,0.00052,2016Natur.533..509M,0.57
Kepler-223d,5821,123.0,123.0,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,,,,0.037,0.018,0.017,,,,0.0252,0.0047,0.0041,0.467,0.023,0.04,,,,0.23,0.09,0.051,,,,2014ApJ...784...45R,2016Natur.533..509M,TEP,19,53,16.41,47,16,46.2,15.54,13.63,0.2486,0.08,2455009.76379,0.00376,14.78869,0.00029,2016Natur.533..509M,0.6
Kepler-223e,5821,123.0,123.0,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,,,,0.051,0.019,0.019,,,,0.0151,0.0044,0.0038,0.41,0.024,0.037,,,,0.21,0.09,0.061,,,,2014ApJ...784...45R,2016Natur.533..509M,TEP,19,53,16.41,47,16,46.2,15.54,13.63,0.2425,0.06,2454968.10369,0.00593,19.72567,0.00055,2016Natur.533..509M,0.18
Kepler-278b,4965,54.0,54.0,0.22,0.04,0.04,1.227,0.061,0.061,2.861,0.06,0.066,3.58,0.1,0.1,0.052,0.004,0.004,0.696,0.017,0.026,0.202,0.005,0.005,0.18,0.12,0.04,0.353,0.007,0.007,,,,3.8,2.4,0.88,586.0,19.0,19.0,2014ApJ...784...45R,2020A+A...634A..29J,TEP,19,20,25.72,38,42,8.0,11.83,9.46,0.3128,0.02,2454971.51248,0.00644,30.160546,0.000311,2020A+A...634A..29J,0.37
Kepler-278c,4965,54.0,54.0,0.22,0.04,0.04,1.227,0.061,0.061,2.861,0.06,0.066,3.58,0.1,0.1,0.052,0.004,0.004,0.616,0.015,0.023,0.287,0.007,0.007,0.11,0.03,0.07,0.292,0.006,0.006,,,,4.1,1.1,2.4,492.0,16.0,16.0,2014ApJ...784...45R,2020A+A...634A..29J,TEP,19,20,25.72,38,42,8.0,11.83,9.46,0.4715,0.01,2454985.34892,0.00953,51.078775,0.00089,2020A+A...634A..29J,0.76
Kepler-289b,5990,38.0,38.0,0.065,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,,,,0.21,0.01,0.01,0.012,0.012,0.006,0.222,0.006,0.006,,,,1.0,1.1,0.6,,,,2014ApJ...784...45R,2023AJ....165...48G,TEP,19,49,51.68,42,52,58.2,14.11,12.51,0.1324,0.04,2454965.6879,0.0006,34.5483,0.0006,2023AJ....165...48G,0.11
Kepler-289c,5990,38.0,38.0,0.065,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,,,,0.33,0.02,0.02,0.0168,0.0014,0.0013,0.27,0.007,0.007,,,,0.86,0.07,0.07,,,,2014ApJ...784...45R,2023AJ....165...48G,TEP,19,49,51.68,42,52,58.2,14.11,12.51,0.1482,0.06,2454975.624,0.0052,66.0282,0.0042,2023AJ....165...48G,0.25
Kepler-289d,5990,38.0,38.0,0.065,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,,,,0.51,0.03,0.03,0.494,0.022,0.023,1.002,0.019,0.019,,,,0.5,0.02,0.02,,,,2014ApJ...784...45R,2023AJ....165...48G,TEP,19,49,51.68,42,52,58.2,14.11,12.51,0.3361,1.24,2455069.6734,0.0028,125.8723,0.0028,2023AJ....165...48G,0.05
Kepler-296b,3740,130.0,130.0,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,,,,0.079,0.013,0.013,,,,0.144,0.026,0.024,,,,,,,,,,2014ApJ...784...45R,2015ApJ...809....7B,TEP,19,6,9.6,49,26,14.4,16.71,12.6,0.072,0.03,2454964.1285,0.0035,10.864384,5.1e-05,2015ApJ...809....7B,0.0
Kepler-296c,3740,130.0,130.0,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,,,,0.0521,0.0088,0.0086,,,,0.178,0.029,0.029,,,,,,,,,,2014ApJ...784...45R,2015ApJ...809....7B,TEP,19,6,9.6,49,26,14.4,16.71,12.6,0.0786,0.14,2454968.9229,0.0013,5.841637,1e-05,2015ApJ...809....7B,0.54
Kepler-296d,3740,130.0,130.0,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,,,,0.118,0.02,0.02,,,,0.186,0.029,0.029,,,,,,,,,,2014ApJ...784...45R,2015ApJ...809....7B,TEP,19,6,9.6,49,26,14.4,16.71,12.6,0.1177,0.15,2454966.6496,0.0022,19.850291,5.9e-05,2015ApJ...809....7B,0.65
Kepler-296e,3740,130.0,130.0,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,,,,0.169,0.029,0.028,,,,0.136,0.024,0.022,,,,,,,,,,2014ApJ...784...45R,2015ApJ...809....7B,TEP,19,6,9.6,49,26,14.4,16.71,12.6,0.1775,0.1,2454968.035,0.0061,34.14211,0.00025,2015ApJ...809....7B,0.49
