Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-123c,6089,121.0,121.0,-0.14,0.1,0.1,1.085,,,1.264,0.243,0.243,4.277,0.15,0.15,0.758,0.379,0.379,,,,,,,,,,0.132,0.027,0.027,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,59.67,42,46,55.1,14.19,12.65,0.1887,0.01,2454976.99812,0.0107,26.695074,0.000468,2014ApJ...784...45R,0.23
Kepler-124b,4984,100.0,100.0,-0.45,0.1,0.1,0.687,,,0.636,0.03,0.03,4.669,0.15,0.15,3.768,0.418,0.418,,,,,,,,,,0.065,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,0.67,49,3,53.7,14.35,12.23,0.0995,0.01,2454964.57549,0.00362,3.410493,2.1e-05,2014ApJ...784...45R,0.14
Kepler-124c,4984,100.0,100.0,-0.45,0.1,0.1,0.687,,,0.636,0.03,0.03,4.669,0.15,0.15,3.768,0.418,0.418,,,,,,,,,,0.156,0.008,0.008,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,0.67,49,3,53.7,14.35,12.23,0.148,0.08,2454964.79391,0.0014,13.821375,3.7e-05,2014ApJ...784...45R,0.23
Kepler-124d,4984,100.0,100.0,-0.45,0.1,0.1,0.687,,,0.636,0.03,0.03,4.669,0.15,0.15,3.768,0.418,0.418,,,,,,,,,,0.099,0.006,0.006,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,7,0.67,49,3,53.7,14.35,12.23,0.1748,0.03,2454986.83698,0.0061,30.950851,0.000361,2014ApJ...784...45R,0.43
Kepler-125b,3810,150.0,150.0,-0.02,0.15,0.15,0.528,,,0.512,0.021,0.021,4.744,0.2,0.2,5.555,0.423,0.423,,,,,,,,,,0.211,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,53,1.95,47,36,17.8,15.42,11.68,0.0749,0.22,2455004.08676,0.00037,4.164389,3e-06,2014ApJ...784...45R,0.03
Kepler-125c,3810,150.0,150.0,-0.02,0.15,0.15,0.528,,,0.512,0.021,0.021,4.744,0.2,0.2,5.555,0.423,0.423,,,,,,,,,,0.066,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,53,1.95,47,36,17.8,15.42,11.68,0.0782,0.02,2454965.96118,0.00468,5.774464,4.7e-05,2014ApJ...784...45R,0.12
Kepler-126b,6239,94.0,94.0,-0.14,0.1,0.1,1.18,,,1.358,0.024,0.024,4.247,0.036,0.036,0.665,0.005,0.005,,,,,,,,,,0.136,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,17,23.36,44,12,30.6,10.66,9.34,0.2006,0.01,2455005.78966,0.00165,10.495711,2.8e-05,2014ApJ...784...45R,0.65
Kepler-126c,6239,94.0,94.0,-0.14,0.1,0.1,1.18,,,1.358,0.024,0.024,4.247,0.036,0.036,0.665,0.005,0.005,,,,,,,,,,0.141,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,17,23.36,44,12,30.6,10.66,9.34,0.2283,0.01,2454973.29159,0.00223,21.869741,8.2e-05,2014ApJ...784...45R,0.71
Kepler-126d,6239,94.0,94.0,-0.14,0.1,0.1,1.18,,,1.358,0.024,0.024,4.247,0.036,0.036,0.665,0.005,0.005,,,,,,,,,,0.223,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,17,23.36,44,12,30.6,10.66,9.34,0.4517,0.03,2455078.04434,0.00131,100.283134,0.000255,2014ApJ...784...45R,0.14
Kepler-127b,6106,106.0,106.0,0.33,0.1,0.1,1.24,,,1.359,0.035,0.035,4.265,0.051,0.051,0.697,0.023,0.023,,,,,,,,,,0.125,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,0,45.6,46,1,40.7,11.56,10.23,0.1431,0.01,2454974.5114,0.00246,14.435889,6.3e-05,2014ApJ...784...45R,0.49
