,Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
1041,WASP-138,6300,100.0,100.0,-0.09,0.1,0.1,1.22,0.05,0.05,1.36,0.05,0.05,4.25,0.02,0.02,0.488,0.044,0.044,0.0,,,0.0494,0.0007,0.0007,1.22,0.08,0.08,1.09,0.05,0.05,22.9,2.2,2.0,0.92,0.097,0.146,1590.0,31.0,31.0,2017A+A...599A...3L,2017A+A...599A...3L,TEP,2,46,33.37,0,27,50.0,11.81,10.49,0.1572,0.7,2457326.62183,0.00032,3.634433,5e-06,2017A+A...599A...3L,0.19,0.0067833787380315,12.207716951160188,11.447716951160189,11.170716951160188,10.538716951160188,12.186716951160188,11.761283048839813,10.633283048839813,10.832283048839813,0.0494330687611168,1593.4355989247288,247.65433103288063,1.0,-0.066896031230937,0.0823612696480058,7.810726830974303,0.0487169511601877,-0.0487169511601877,11.906636009701831,12.089764423590749,11.632446525200418,11.568135951160189,11.567050458932206,10.587595047887374,11.447716951160189,11.81,10.962556855817269,10.561641524419906,11.81,10.275404813187816,2.6915915169558087,16.48179755556769,4617.255632439344,2379.102591937257,1.4930647925417924,1247.943250682521,0.7831777145713636
728,LHS_1815,3643,142.0,142.0,-0.12,0.09,0.09,0.502,0.015,0.015,0.501,0.03,0.03,4.77,0.03,0.03,4.0,1.9,1.9,0.0,,,0.0404,0.0094,0.0094,0.013,0.005,0.005,0.0971,0.0057,0.0057,,,,,,,617.0,84.0,84.0,arXiv:2003.04525,arXiv:2003.04525,TEP,6,4,20.36,-55,18,46.8,12.17,7.99,0.059,0.04,2458327.4161,0.0016,3.81433,3e-05,arXiv:2003.04525,0.5758178343821411,0.0003966741453908,13.569716951160189,11.105716951160188,9.994716951160187,7.963716951160189,14.739716951160188,12.196283048839812,8.304283048839812,8.911283048839811,0.0379711075656653,638.0940565342049,,1.0,6.396685769921764,0.0199166800795419,17.339918341497256,-0.0262830488398115,0.0262830488398115,14.606265677174404,13.168024797157171,11.555214898766843,10.598133951160188,10.063374883802672,9.263261441180395,11.105716951160188,12.17,10.242524338155366,8.147141524419906,12.17,9.95644699783258,1.2344413388957174,35.2967914118673,3434.019160226383,2340.1242770543363,3.6673657325139093,1198.2013105424323,1.8777816503266598
62,EPIC_248435473e,4284,35.0,37.0,-0.064,0.088,0.09,0.649,0.03,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.2,0.032,0.036,0.023,0.1227,0.0019,0.0018,,,,0.218,0.008,0.008,,,,,,,471.0,8.0,8.0,arXiv:1806.08368,arXiv:1806.08368,TEP,10,31,44.51,0,56,15.3,11.81,8.9,0.1522,0.16,2457938.541,0.0013,19.482,0.0012,arXiv:1806.08368,0.2037231945992343,0.0012329416292944,12.980716951160188,10.952716951160188,10.275716951160188,8.533716951160189,14.179716951160188,12.176283048839812,9.137283048839812,9.742283048839813,0.1226809438367359,471.0907155593779,,1.0,0.0155331078063912,0.035113268564667,41.35493025200031,-0.3662830488398114,0.3662830488398114,14.19322815255897,12.54169942359075,11.269611525200418,10.771935951160188,10.51489190970941,9.6245059399094,10.952716951160188,11.81,10.305926734496431,9.018641524419904,11.81,9.92760404194047,1.87421720825811,28.602892938680686,6190.553371320846,2327.1098993139863,4.939833926785741,527.230012094021,1.1191687602418203
104,HAT-P-20,4595,45.0,45.0,0.22,0.09,0.09,0.748,0.042,0.042,0.68,0.006,0.006,4.643,0.02,0.02,1.67,0.11,0.11,0.0172,0.0016,0.0016,0.03593,0.00029,0.00029,7.22,0.36,0.36,1.025,0.053,0.053,170.2,7.6,7.3,6.26,0.29,0.29,964.0,10.0,10.0,2011ApJ...742..116B,2017A+A...601A..53E,TEP,7,27,39.96,24,20,11.0,11.34,8.6,0.077,1.9,2456670.97803,0.0001,2.875317,4e-07,arXiv:2012.07478,0.631,0.0239938971017401,12.353716951160187,10.613716951160187,10.063716951160188,8.520716951160187,13.357716951160189,11.419283048839812,8.811283048839812,9.355283048839812,0.0359223056884745,964.0313733344732,20.20234407966011,3.0,0.0214193142061148,0.1548996355765246,11.361919637121728,-0.0792830488398124,0.0792830488398124,13.389928009701825,11.95209642359075,10.895634525200418,10.528566951160188,10.352789749087648,9.434729991292288,10.613716951160187,11.34,10.02209927435306,8.705641524419907,11.34,9.585779380076598,1.6649158643271322,30.95252947078871,3474.199636618331,2326.159538552069,2.4129500376177093,1371.8184239084203,1.423001846053473
1020,WASP-114,5940,140.0,140.0,0.14,0.07,0.07,1.289,0.053,0.053,1.43,0.06,0.06,4.3,0.1,0.1,0.439,0.05,0.041,0.012,0.022,0.009,0.02851,0.00039,0.00039,1.769,0.064,0.064,1.339,0.064,0.064,22.5,1.9,1.8,0.73,0.1,0.1,2043.0,58.0,58.0,2016A+A...593A.113B,2016A+A...593A.113B,TEP,21,50,39.74,10,27,46.9,12.74,11.07,0.1159,1.1,2456667.73661,0.00021,1.54877746,8e-08,arXiv:2002.02606,0.457,0.0092589121990575,13.249716951160188,12.317716951160188,11.989716951160188,11.213716951160189,13.307716951160188,12.596283048839812,11.223283048839813,11.485283048839811,0.0285112879144715,2028.5202322345208,323.8695620146474,2.0,-0.0045172090275724,0.0962232414703307,4.287109621096024,0.1437169511601883,-0.1437169511601883,13.218387438273256,13.07454442359075,12.518466525200418,12.399732951160187,12.3660127439063,11.398223527140912,12.317716951160188,12.74,11.813901239623249,11.146641524419906,12.74,11.179979498756593,2.8460791429797596,12.975481604988076,3234.3359253931917,2298.1786251728718,1.1329335486298346,1846.6699037086216,0.9103532093808198
346,K2-131,5200,100.0,100.0,-0.02,0.08,0.08,0.793,0.024,0.04,0.744,0.01,0.009,4.62,0.1,0.1,1.92,0.1,0.13,0.0,0.26,0.0,,,,0.0198,0.0044,0.0044,0.1473,0.0058,0.005,,,,5.8,2.0,2.0,,,,2017AJ....154..226D,arXiv:1908.06299,TEP,12,11,0.38,-9,45,54.8,12.12,10.05,0.058,0.05,2457582.936,0.0011,0.3693038,9.1e-06,2017AJ....154..226D,0.4,0.0004139334367213,12.880716951160188,11.573716951160186,11.150716951160186,9.999716951160186,13.382716951160187,12.170283048839812,10.230283048839812,10.635283048839812,0.0093243828511088,2239.819703337503,,2.0,,0.0203453541802872,2.694949119316429,-0.0502830488398124,0.0502830488398142,13.498959438273248,12.56775642359075,11.807574525200415,11.584197951160188,11.489687588465886,10.543389126611382,11.573716951160186,12.12,11.033654714490924,10.140141524419906,12.12,10.499523618135932,2.526041940516272,19.553309676599582,1805.1600470661642,2283.479910771909,1.0194927329951373,3757.5546611968784,1.6776147899752079
363,K2-140,5654,55.0,55.0,0.12,0.045,0.045,1.005,0.021,0.02,0.987,0.011,0.011,4.452,0.01,0.009,1.048,0.041,0.041,0.12,0.056,0.046,0.0591,0.0034,0.0034,1.019,0.07,0.07,1.095,0.018,0.018,21.1,1.7,1.5,0.726,0.062,0.062,1114.0,34.0,34.0,2018MNRAS.475.1809G,2018MNRAS.475.1809G,TEP,12,32,32.96,-9,36,27.5,12.62,11.0,0.19,1.3,2457621.13089,0.0001,6.569228,1e-05,2018RNAAS...2a..22M,0.12,0.0129976494479041,13.213716951160189,12.156716951160186,11.795716951160188,10.898716951160187,13.398716951160187,12.721283048839812,11.162283048839813,11.472283048839811,0.0687603524927714,1032.9484091441082,188.31591335799587,2.0,-14.04930623906705,0.1140072341910992,12.87578561309966,-0.1012830488398126,0.1012830488398126,13.401917581130396,12.991977423590749,12.368413525200417,12.213883951160188,12.15904716359542,11.19875867343594,12.156716951160186,12.62,11.640532419904831,11.081141524419904,12.62,11.042457649848329,2.8307548528813005,13.364451222734159,5328.564194144434,2282.5665853046166,2.2097585562825257,890.5663629906746,0.8621595765161105
943,WASP-037,5940,55.0,55.0,-0.4,0.12,0.12,0.925,0.12,0.12,1.003,0.053,0.053,4.39,0.02,0.03,0.931,0.064,0.099,0.0,,,0.0446,0.0019,0.0019,1.8,0.17,0.128,1.16,0.07,0.06,30.2,2.1,2.7,1.15,0.12,0.15,1323.0,25.0,15.0,2011AJ....141....8S,2011AJ....141....8S,TEP,14,47,46.57,1,3,53.9,12.72,11.09,0.1304,1.9,2458225.64678,0.00016,3.57747771,6.7e-06,arXiv:2203.00299,0.198,0.0141248875516567,13.229716951160189,12.297716951160188,11.969716951160189,11.193716951160187,13.287716951160188,12.616283048839811,11.243283048839812,11.505283048839813,0.0446037855228941,1358.2644996882786,156.25617416393592,2.0,-0.0084869991408689,0.1188481701653699,9.561748896217772,0.1037169511601892,-0.1037169511601892,13.198387438273256,13.05454442359075,12.49846652520042,12.37973295116019,12.346012743906302,11.37822352714091,12.297716951160188,12.72,11.793901239623247,11.166641524419903,12.72,11.159979498756591,2.8503080953255813,12.866069799041364,3634.013025023835,2277.0513544148366,1.6764417791508348,1203.8832087215533,0.8863393021004702
165,HATS-11,6060,150.0,150.0,-0.39,0.06,0.06,1.0,0.06,0.06,1.444,0.057,0.057,4.118,0.026,0.026,0.334,0.026,0.037,0.0,0.34,0.0,0.04614,0.00093,0.00093,0.83,0.1,0.1,1.487,0.031,0.031,9.1,1.6,1.4,0.237,0.028,0.028,1637.0,48.0,48.0,2016AJ....152...88R,arXiv:1706.03858,TEP,19,17,36.24,-22,23,23.7,14.02,12.24,0.18202,1.5,2457378.4191,6.9e-05,3.6191634,3.1e-06,arXiv:1706.03858,0.14,0.0111984634597302,14.448292466335726,13.584292466335729,13.276292466335727,12.556292466335726,14.462292466335724,13.703707533664272,12.426707533664274,12.663707533664274,0.0461330297839384,1634.8711486740538,641.6402103620779,2.0,0.0151089492587823,0.1058227927231665,6.870902813461959,0.3162924663357263,-0.3162924663357263,13.975323767379743,14.36680097823548,13.788626377824087,13.681368466335726,13.660446186542982,12.68809271364125,13.584292466335729,14.02,13.087858948789792,12.333353766832136,14.02,12.4419808199008,3.007323518428394,7.781979373039186,4828.052206367206,2276.4703365475343,1.3924463333968817,1196.6245262040854,0.7319381268515235
218,HATS-64,6635,85.0,85.0,0.22,0.042,0.042,1.562,0.026,0.026,2.113,0.066,0.066,3.981,0.022,0.022,0.165,0.013,0.013,0.0,0.001,0.0,0.0656,0.00037,0.00037,0.93,0.2,0.14,1.674,0.073,0.073,8.2,1.9,1.5,0.184,0.042,0.042,1797.0,25.0,25.0,arXiv:1809.01048,arXiv:1809.01048,TEP,9,37,9.03,-29,48,1.6,12.92,11.71,0.2416,0.8,2457769.82282,0.00083,4.908896,1.3e-05,arXiv:1809.01048,0.321,0.0066280045804905,13.245716951160189,12.597716951160187,12.357716951160189,11.816716951160188,13.219716951160189,12.813283048839812,11.848283048839813,12.007283048839811,0.0655877522633849,1815.9864334834256,781.6611192386393,1.0,0.0186738166690662,0.0814125578795468,6.675868155223817,0.1067169511601875,-0.1067169511601875,12.777373152558976,13.163244423590749,12.771766525200418,12.745996951160189,12.768587624735316,11.780612273279454,12.597716951160187,12.92,12.125745304701129,11.779141524419906,12.92,11.401836242608525,2.9529885887143275,9.843077042134347,6517.113446345083,2275.9768644840324,1.2533005877793113,1027.249473847414,0.5656702356949572
1070,WASP-170,5600,150.0,150.0,0.22,0.09,0.09,0.93,0.15,0.15,0.938,0.056,0.061,4.466,0.031,0.031,1.121,0.093,0.076,0.0,,,0.0337,0.0018,0.0018,1.6,0.2,0.2,1.096,0.085,0.085,34.7,4.2,3.8,1.21,0.24,0.19,1422.0,42.0,42.0,arXiv:1807.06548,arXiv:1807.06548,TEP,9,1,39.93,-20,43,13.6,12.79,10.76,0.085,1.4,2457802.3915,0.0002,2.34478022,3.6e-07,arXiv:1807.06548,0.689,0.0144173790993203,13.407716951160188,12.315716951160187,11.945716951160188,11.012716951160186,13.634716951160188,12.537283048839813,10.925283048839812,11.249283048839812,0.0337159650008683,1424.311388556892,146.16870760858603,1.0,-0.0473514575898309,0.1200723910785504,7.725568919080444,0.2527169511601865,-0.2527169511601865,13.661714866844688,13.172020423590748,12.530350525200417,12.366106951160187,12.30551109623791,11.347261703390622,12.315716951160187,12.79,11.796118235890448,10.842641524419909,12.79,11.207535389444397,2.771627281754755,14.76955511418388,2430.478452569142,2271.013309477436,1.5944640531017726,1483.0937630123624,1.041270732599441
909,V1298_Tau_e,4970,120.0,120.0,0.1,0.15,0.15,1.1,0.05,0.05,1.305,0.07,0.07,4.246,0.034,0.034,0.494,0.053,0.053,0.1,0.09,0.09,0.2409,0.0083,0.0083,1.16,0.3,0.3,0.735,0.072,0.072,,,,2.7,1.2,1.2,,,,arXiv:2111.09193,arXiv:2111.09193,TEP,4,5,19.59,20,9,25.6,10.12,8.09,0.31,0.4,2457096.6226,0.0031,40.2,1.0,arXiv:2111.09193,0.4411776049711066,0.0033498436821091,10.926716951160188,9.546716951160189,9.104716951160189,7.878716951160188,11.526716951160187,10.331283048839811,8.275283048839812,8.707283048839813,0.2370762854580916,562.2777332669842,,1.0,1.6128625157594068,0.0578778341172952,39.69444160998845,-0.211283048839812,0.211283048839812,11.645604723987548,10.592407423590748,9.787783525200418,9.542890951160189,9.436222557377803,8.494184591510898,9.546716951160189,10.12,8.99916894871091,8.182641524419907,10.12,8.482530514197368,1.3034286287138142,34.63726783553308,17241.86068475913,2270.5938582314357,4.03820696408993,358.1182324094065,0.6369063030980148
444,Kepler-018d,5383,44.0,44.0,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,4.31,0.12,0.12,0.72,0.09,0.09,8e-05,2e-05,2e-05,0.1172,0.0017,0.0017,0.0516,0.0044,0.0044,0.623,0.029,0.029,,,,0.2,0.02,0.02,,,,2011ApJS..197....7C,2011ApJS..197....7C,TEP,19,52,19.06,44,44,46.7,13.75,11.76,0.1533,0.3,2454961.15421,0.00024,14.8589087,4.4e-07,arXiv:2103.03259,0.767,0.00333862360165,14.41319894761279,13.21319894761279,12.81619894761279,11.77519894761279,14.77119894761279,13.73480105238721,11.96080105238721,12.32580105238721,0.117170931184352,798.2108322442855,,2.0,0.024808897014099,0.0577808238228748,22.745278560097635,0.0151989476127898,-0.0151989476127898,14.612525571019624,14.189099360829522,13.444524828600176,13.24325794761279,13.165384890617972,12.213235911408296,13.21319894761279,13.75,12.683252047259652,11.860400526193605,13.75,12.128948903450842,2.959218833460112,9.629163061245974,4127.209980791304,2245.6656493446517,2.813374059370551,582.5747249343158,0.7298506878142988
1088,WASP-190,6400,100.0,100.0,-0.02,0.05,0.05,1.35,0.05,0.05,1.6,0.1,0.1,4.17,0.04,0.04,0.34,0.05,0.05,,,,0.0663,0.0008,0.0008,1.0,0.1,0.1,1.15,0.09,0.09,15.8,4.1,3.3,,,,1500.0,50.0,50.0,arXiv:1811.05742,arXiv:1811.05742,TEP,0,30,50.23,-40,34,24.4,11.65,10.65,0.186,0.6,2457799.1256,0.0007,5.367753,4e-06,arXiv:1811.05742,0.45,0.0054554000339249,12.047716951160188,11.287716951160188,11.010716951160187,10.378716951160188,12.026716951160187,11.921283048839811,10.793283048839813,10.992283048839813,0.0663100652576621,1515.9453160204823,338.6245629718752,1.0,-0.0151790797114467,0.0738606798907575,8.910394950598317,-0.2712830488398126,0.2712830488398126,11.746636009701833,11.929764423590749,11.472446525200418,11.408135951160189,11.407050458932206,10.427595047887374,11.287716951160188,11.65,10.802556855817269,10.721641524419908,11.65,10.115404813187816,2.7408481692275055,15.45049824761305,5373.191513145503,2237.1195043316734,1.4757257274981068,965.5903627575045,0.6369559327458342
100,HAT-P-16,6140,72.0,72.0,0.12,0.08,0.08,1.216,0.055,0.055,1.158,0.025,0.025,4.396,0.016,0.016,0.784,0.04,0.04,0.036,0.004,0.004,0.0413,0.00062,0.00062,4.193,0.128,0.128,1.19,0.037,0.037,73.4,4.1,4.1,2.33,0.2,0.2,1567.0,22.0,22.0,2010ApJ...720.1118B,2013A+A...557A..30C,TEP,0,38,17.56,42,27,47.0,10.8,9.55,0.1276,1.0,2455027.59292,0.00019,2.7759704,7e-07,2016PASP..128b4402S,0.439,0.0111518698090367,11.243716951160188,10.413716951160188,10.114716951160188,9.42371695116019,11.244716951160187,10.926283048839812,9.697283048839813,9.922283048839812,0.0412598453554229,1568.5275484393655,76.14777570204787,3.0,0.0973213647097023,0.1056024138409569,7.669108833500534,-0.1262830488398112,0.1262830488398112,11.05619372398754,11.10167642359075,10.604854525200418,10.517569951160189,10.502406738724956,9.527994834972256,10.413716951160188,10.8,9.920577474515827,9.623641524419906,10.8,9.255507444872269,2.279884910001629,23.386027823655077,4357.763452564686,2219.661981197124,1.4151246392870922,1332.2306711815336,0.8493511462435328
162,HATS-08,5679,50.0,50.0,0.21,0.08,0.08,1.056,0.037,0.037,1.086,0.149,0.049,4.386,0.071,0.071,0.82,0.2,0.15,0.0,0.376,0.0,0.04667,0.00055,0.00055,0.138,0.019,0.019,0.873,0.123,0.075,4.5,1.2,1.2,0.195,0.068,0.068,1324.0,79.0,38.0,2015AJ....150...49B,2015AJ....150...49B,TEP,19,39,46.08,-25,44,53.9,14.03,12.66,0.1263,0.8,2456672.1102,0.0012,3.583893,1e-05,2015AJ....150...49B,0.36,0.0068240110841044,14.579742106264778,13.531742106264778,13.172742106264778,12.284742106264778,14.75474210626478,14.405257893735222,12.85925789373522,13.16625789373522,0.04667287061369,1320.95439036553,1049.4451789216669,1.0,-0.006150497392368,0.0826075728011931,9.240838586689188,-0.3752578937352222,0.3752578937352222,14.41009602432038,14.433909456980256,13.752776963892082,13.590415106264778,13.536858111446124,12.576116106797954,13.531742106264778,14.03,13.016313898345242,12.759628946867611,14.03,12.424553980457546,3.0357985846715128,6.443717275733246,3321.055663882369,2216.1252582852453,1.6776697775855889,1170.622281449215,0.8861943228223684
954,WASP-047d,5576,67.0,67.0,0.36,0.05,0.05,1.04,0.031,0.031,1.137,0.013,0.013,4.3437,0.0063,0.0063,0.708,0.01,0.01,0.01,0.011,0.007,0.08609,0.00087,0.00087,0.0447,0.0041,0.0041,0.3182,0.004,0.004,10.1,1.1,1.1,1.3,0.13,0.13,,,,2015ApJ...812L..18B,arXiv:2202.12747,TEP,22,4,48.72,-12,1,7.8,11.93,10.19,0.18,0.1,2457006.36955,0.00035,9.03055,8e-05,arXiv:2202.12747,0.18,0.0008270853111402,12.547716951160188,11.455716951160188,11.085716951160189,10.152716951160189,12.774716951160189,11.967283048839812,10.355283048839812,10.679283048839812,0.0859858715726266,977.7385671769516,,2.0,0.1210994614218241,0.0287590909303525,16.2815464218799,-0.0372830488398125,0.0372830488398125,12.801714866844687,12.312020423590749,11.670350525200416,11.506106951160188,11.44551109623791,10.487261703390624,11.455716951160188,11.93,10.936118235890447,10.272641524419909,11.93,10.347535389444396,2.58374202482228,18.540633731996493,5488.14954352641,2190.9126710274027,2.240796000666393,729.0678817500491,0.745667508907933
136,HAT-P-52,5131,50.0,50.0,0.28,0.08,0.08,0.887,0.027,0.027,0.893,0.047,0.047,4.483,0.051,0.051,1.24,0.21,0.21,0.0,0.047,0.0,0.03694,0.00038,0.00038,0.818,0.029,0.029,1.009,0.072,0.072,19.8,3.2,2.7,0.74,0.16,0.16,1218.0,37.0,37.0,2015AJ....150..168H,2015AJ....150..168H,TEP,2,50,53.2,29,1,20.6,14.07,11.62,0.1003,1.8,2456645.13981,0.00032,2.7535965,1.1e-06,arXiv:1812.05882,0.461,0.013481875161332,14.791641386122883,13.484641386122885,13.061641386122885,11.910641386122885,15.293641386122884,13.779358613877116,11.839358613877115,12.244358613877116,0.0369415055267933,1216.476564113436,219.415035005251,2.0,-0.0040754343167358,0.1161114773023408,8.895059160660727,0.2906413861228838,-0.2906413861228856,15.057483681058809,14.553432414469809,13.728932136028073,13.495122386122883,13.400612023428586,12.454313561574082,13.484641386122885,14.07,12.94457914945362,11.729679306938555,14.07,12.4191107761893,2.941098201093213,10.23893445284989,2715.65444054063,2184.1658305480446,1.79548533443376,1316.2411318833088,1.0820110890032482
257,HD_110082,6200,100.0,100.0,0.08,0.05,0.05,1.21,0.06,0.06,1.19,0.06,0.06,4.2,0.3,0.3,0.7,0.1,0.1,0.2,0.2,0.1,0.113,0.009,0.013,,,,0.28,0.01,0.01,,,,,,,,,,arXiv:2102.06066,arXiv:2102.06066,TEP,12,50,22.02,-88,7,15.7,9.23,8.0,0.1213,0.05,2458629.909,0.001,10.18271,4e-05,arXiv:2102.06066,0.6825932457901054,0.0005846460590644,9.673716951160188,8.843716951160188,8.544716951160188,7.853716951160188,9.674716951160187,9.376283048839811,8.147283048839812,8.372283048839812,0.0979739363542226,1041.941147966943,,1.0,15.3367969124471,0.0241794553095063,20.41901982417805,-0.1462830488398108,0.1462830488398117,9.48619372398754,9.53167642359075,9.034854525200418,8.947569951160188,8.932406738724955,7.957994834972254,8.843716951160188,9.23,8.350577474515829,8.073641524419905,9.23,7.685507444872268,1.2412867888798285,35.23190015993785,7027.702570792726,2171.880008992685,2.084455550325949,680.6191122031521,0.653222222321472
1036,WASP-133,5700,100.0,100.0,0.29,0.12,0.12,1.16,0.08,0.08,1.44,0.05,0.05,4.18,0.02,0.02,0.39,0.03,0.03,0.0,0.17,0.0,0.0345,0.0007,0.0007,1.16,0.09,0.09,1.21,0.05,0.05,18.2,1.8,1.6,0.66,0.07,0.07,1790.0,40.0,40.0,2016A+A...591A..55M,2016A+A...591A..55M,TEP,20,58,18.07,-35,47,47.6,12.88,11.18,0.1433,0.9,2457116.9874,0.0002,2.176423,1e-06,2016A+A...591A..55M,0.2,0.0074561844520707,13.467716951160188,12.419716951160188,12.060716951160188,11.172716951160188,13.642716951160187,12.887283048839812,11.341283048839813,11.648283048839811,0.0345346228815681,1774.851576306592,350.8051241747464,1.0,-0.1002555658038727,0.0863492006452334,5.151812062940205,-0.0072830488398114,0.0072830488398114,13.640544295416118,13.249238423590748,12.630612525200418,12.478389951160189,12.424832956341534,11.464090951693365,12.419716951160188,12.88,11.904288743240652,11.260641524419906,12.88,11.303755205746748,2.8685461437748994,12.383143913189748,3970.1577046453626,2145.044131187257,1.208576626813507,1454.0005747590906,0.8192237560420788
476,Kepler-037d,5357,68.0,68.0,-0.36,0.05,0.05,0.79,0.033,0.03,0.789,0.006,0.006,4.6,0.12,0.12,1.624,0.096,0.093,0.142,0.026,0.044,0.2109,0.0029,0.0029,0.017,0.0044,0.044,0.178,0.01,0.012,,,,3.04,0.37,0.52,,,,2013Natur.494..452B,arXiv:2107.13900,TEP,18,56,14.29,44,31,5.6,10.03,7.94,0.22,0.057,2455008.24979,0.00046,39.792187,4.2e-05,2013Natur.494..452B,0.715,0.0005374732878017,10.720716951160188,9.520716951160187,9.123716951160189,8.082716951160187,11.078716951160189,9.887283048839812,8.113283048839813,8.478283048839813,0.210869654565006,499.6735979067112,,2.0,0.0143906125594709,0.0231834701414974,57.4781769720133,0.1427169511601871,-0.1427169511601862,11.168212723987548,10.443975423590746,9.744695525200417,9.550775951160189,9.472902894165369,8.520753914955694,9.520716951160187,10.03,8.990770050807049,8.026641524419906,10.03,8.430222915377222,1.2004109690759408,35.6176266807825,13105.25113589704,2141.0359358890923,4.28486905223442,339.4103270922503,0.6792640806201212
347,K2-132,4840,90.0,90.0,-0.01,0.08,0.08,1.08,0.08,0.08,3.85,0.13,0.13,3.297,0.007,0.007,0.0187,0.0006,0.0006,0.0,0.0007,0.0,,,,0.49,0.06,0.06,1.3,0.07,0.07,,,,,,,,,,2017AJ....154..254G,2017AJ....154..254G,TEP,12,8,39.93,-8,44,49.8,11.9,9.54,0.35,0.09,2457590.1491,0.009,9.1751,0.0025,2017AJ....154..254G,0.848,0.0012040267402076,12.803716951160188,11.269716951160188,10.788716951160188,9.403716951160188,13.604716951160189,12.036283048839811,9.73628304883981,10.22628304883981,0.0880011416464798,1543.7069913677462,,1.0,,0.0346990884636421,4.915084464860198,-0.136283048839811,0.136283048839811,13.734554295416114,12.42444842359075,11.526002525200418,11.236523951160189,11.104899598828585,10.171567433085391,11.269716951160188,11.9,10.706553947906029,9.638141524419904,11.9,10.224011735172228,2.274328101209598,23.465324193023157,11979.425331243472,2140.4997294373343,1.386597159569007,706.6588040922322,0.4577674442389631
379,K2-199c,4491,100.0,100.0,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,,,,,,,0.03,0.06,0.03,0.0662,0.0007,0.0007,0.039,0.007,0.007,0.254,0.009,0.008,,,,2.2,0.5,0.5,694.0,17.0,17.0,2018AJ....155..136M,arXiv:2110.05502,TEP,13,55,36.41,-6,8,10.1,12.29,10.28,0.1022,0.18,2457222.93034,0.00035,7.3744897,3.7e-06,arXiv:2110.05502,0.49,0.0014647704519879,13.337716951160187,11.532716951160188,10.957716951160188,9.368716951160186,14.393716951160188,13.20128304883981,10.496283048839812,11.056283048839813,0.066178618887417,695.1998832449077,,2.0,0.0323081879653198,0.0382723196577889,20.87262273517632,-0.9112830488398114,0.9112830488398131,14.400785295416116,12.930399423590748,11.822911525200418,11.428741951160188,11.236967339761222,10.324399932545028,11.532716951160188,12.29,10.93052656546669,10.388141524419906,12.29,10.508080897829874,2.6183116931476578,17.906498580553716,3078.493882340226,2135.16426549039,3.07129548918265,786.2584134879745,1.1309817973760914
174,HATS-20,5406,49.0,49.0,0.03,0.05,0.05,0.91,0.026,0.026,0.892,0.057,0.04,4.497,0.052,0.052,1.28,0.21,0.21,0.0,0.501,0.0,0.04619,0.00044,0.00044,0.273,0.035,0.035,0.776,0.055,0.055,11.2,2.4,2.0,0.55,0.14,0.14,1147.0,36.0,36.0,arXiv:1607.00322,arXiv:1607.00322,TEP,13,12,32.04,-45,35,26.0,13.77,11.86,0.1022,1.0,2457121.16516,0.00055,3.7992969,7.9e-06,arXiv:1607.00322,0.551,0.0079921682944258,14.43264858754184,13.232648587541842,12.835648587541842,11.79464858754184,14.790648587541842,13.835351412458158,12.061351412458157,12.426351412458157,0.0461766550117183,1145.7253741494465,365.28318481631584,1.0,0.0288998591999098,0.0893989278147441,11.134905011684523,-0.065351412458158,0.065351412458158,14.627011827960263,14.209601839574296,13.46412141466817,13.262707587541842,13.184834530547024,12.23268555133735,13.232648587541842,13.77,12.702701687188704,11.96067570622908,13.77,12.148522178296073,2.9709213593270833,9.213944205129378,2741.4764332665313,2131.829763951047,1.8606812872008323,1093.7067810211909,0.9545976773300735
