rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
925,880.01,880,34077285,34077285.01,1,,06h16m39.47s,94.164473,,,-13d59m14.42s,-13.98734,,,0.179,0.634,0.634,0,1,22.711,0.594,0.594,0,1,2458471.1351,0.00126,0.00126,0,1,6.38514,0.00087,0.00087,0,1,2.588,0.22,0.22,0,1,2866.98,1.14445,1.14445,0,1,4.70312,0.172315,0.172315,0,1,71.3804,,,,,809,,,,,9.21,0.017,0.017,0,1,59.371571,0.863234,0.863234,0,1,4921,172,172,0,1,4.5076098,0.300064,0.300064,0,1,0.829742,0.115515,0.115515,0,1,2019-03-21 15:42:33,2019-07-31 10:32:40
926,881.01,881,237808867,237808867.01,1,,06h57m55.17s,104.479885,,,+05d44m52.9s,5.748027,,,-1.8,2.5,2.5,0,1,-3.3,2.4,2.4,0,1,2458468.86467,0.00204,0.00204,0,1,0.56708,1E-04,1E-04,0,1,1.253,0.251,0.251,0,1,775.497,2.16154,2.16154,0,1,,,,0,1,3017.83,,,,,2064,,,,,9.7040005,0.017,0.017,0,1,,,,0,1,4838,171,171,0,1,,,,0,1,,,,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
927,882.01,882,92013169,92013169.01,1,,05h56m39.66s,89.165239,,,+14d47m08.08s,14.785577,,,4.5,1.5,1.5,0,1,-8.6,1.4,1.4,0,1,2458468.95747,0.00334,0.00334,0,1,2.35538,0.00095,0.00095,0,1,0.851,0.21,0.21,0,1,810.795,10.1957,10.1957,0,1,7.26804,0.923562,0.923562,0,1,252.663,,,,,1110,,,,,9.698,0.017,0.017,0,1,315.767,,,0,1,7420,211,211,0,1,4.13691,1.60023,1.60023,0,1,1.84297,1.45995,1.45995,0,1,2019-03-21 15:42:33,2019-07-31 10:32:40
928,883.01,883,123846039,123846039.01,1,,06h53m28.58s,103.369068,,,-06d30m28.17s,-6.507824,,,-51.482,2.361,2.361,0,1,-74.978,1.614,1.614,0,1,2458476.5316,0.00113,0.00113,0,1,10.04925,0.00192,0.00192,0,1,3.607,0.171,0.171,0,1,3840.18,1.38808,1.38808,0,1,7.03875,0.419412,0.419412,0,1,82.5651,,,,,839,,,,,9.335,0.019,0.019,0,1,104.61076,4.1922598,4.1922598,0,1,5963,192,192,0,1,4.4341602,0.261535,0.261535,0,1,1.05064,0.12111,0.12111,0,1,2019-03-21 15:42:33,2019-07-31 10:32:40
929,884.01,884,167031605,167031605.01,1,,06h15m41.05s,93.921038,,,+11d49m57.47s,11.83263,,,2.6,1.4,1.4,0,1,-1.9,1.4,1.4,0,1,2458468.69741,0.00245,0.00245,0,1,2.7809,0.00061,0.00061,0,1,1.803,0.258,0.258,0,1,8828.5,1451.24,1451.24,0,1,,,,0,1,9156.7,,,,,2725,,,,,9.8830004,0.038,0.038,0,1,607.24402,,,0,1,9447,241,241,0,1,4.07548,1.2503,1.2503,0,1,2.35375,1.45684,1.45684,0,1,2019-03-21 15:42:31,2019-07-31 10:32:40
930,885.01,885,25334160,25334160.01,1,,06h33m04.27s,98.26778,,,-10d52m14.44s,-10.870679,,,-5,2.9,2.9,0,1,-1.1,2.9,2.9,0,1,2458471.20029,0.00644,0.00644,0,1,2.56876,0.00214,0.00214,0,1,2.767,0.578,0.578,0,1,360.521,2.0364,2.0364,0,1,17.6099,1.73201,1.73201,0,1,357.805,,,,,1211,,,,,10.089,0.017,0.017,0,1,,,,0,1,4086,165,165,0,1,,,,0,1,,,,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
931,886.01,886,120269103,120269103.01,1,,06h46m46.53s,101.693856,,,-06d08m41.2s,-6.144778,,,-4.524,0.078,0.078,0,1,-1.78,0.061,0.061,0,1,2458477.4912,2.80369,2.80369,0,1,6.59755,0.00679,0.00679,0,1,1.668,1.22,1.22,0,1,187.918,115.745,115.745,0,1,,,,0,1,390.996,,,,,1238,,,,,8.2489996,0.018,0.018,0,1,320.65598,,,0,1,8295,224,224,0,1,3.7858701,0.470294,0.470294,0,1,3.0293901,0.649024,0.649024,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
932,887.01,887,437984134,437984134.01,1,,06h18m10.87s,94.545308,,,+15d57m07.39s,15.952052,,,2.796,0.394,0.394,0,1,-21.012,0.475,0.475,0,1,2458472.07754,0.00092,0.00092,0,1,5.77114,0.00059,0.00059,0,1,2.791,0.05,0.05,0,1,1931.81,0.299452,0.299452,0,1,10.9488,0.576438,0.576438,0,1,408.749,,,,,1252,,,,,8.151,0.018,0.018,0,1,172.8414,12.6214,12.6214,0,1,7397,211,211,0,1,4.0306301,0.351955,0.351955,0,1,2.0773201,0.280448,0.280448,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
933,888.01,888,438295981,438295981.01,1,,06h26m39.85s,96.666044,,,+13d17m57.78s,13.299382,,,-1.245,1.506,1.506,0,1,-15.282,1.356,1.356,0,1,2458472.15837,0.00314,0.00314,0,1,3.96643,0.00167,0.00167,0,1,2.025,0.28,0.28,0,1,828.371,1.84461,1.84461,0,1,5.99981,0.331791,0.331791,0,1,376.453,,,,,1227,,,,,9.5179996,0.018,0.018,0,1,251.89145,24.125799,24.125799,0,1,6897,204,204,0,1,4.09445,0.374438,0.374438,0,1,1.8200901,0.264496,0.264496,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
934,889.01,889,284288080,284288080.01,1,,07h06m35.95s,106.649776,,,-53d32m47.16s,-53.546433,,,-4.249,1.114,1.114,0,1,-3.837,0.606,0.606,0,1,2458469.90952,0.00436,0.00436,0,1,1.83407,0.00072,0.00072,0,1,2.478,0.584,0.584,0,1,837.772,2.98202,2.98202,0,1,5.39614,0.723372,0.723372,0,1,2934.98,,,,,2050,,,,,10.783,0.018,0.018,0,1,410.54047,69.251099,69.251099,0,1,6541,199,199,0,1,4.01232,0.503888,0.503888,0,1,1.89812,0.434161,0.434161,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
