System       , Teff , eup , edn , [Fe/H], eup  , edn  ,    K_A ,  eup ,  edn ,   i    , eup   , edn   ,  r_a    , errup   , errdown ,  r_b     , errup    , errdown  , light_curve_ref     , Overall_reference
KOI-423      , 6260 , 140 , 140 , -0.29 , 0.10 , 0.10 ,   1251 ,   30 ,   27 , 89.06  , 0.21  , 0.21  , 0.0370  , 0.0015  , 0.0015  , 0.00339  , 0.00017  , 0.00017  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
KOI-428      , 6510 , 100 , 100 , +0.10 , 0.15 , 0.10 ,    179 ,   27 ,   27 , 85.47  , 0.94  , 0.94  , 0.1437  , 0.0072  , 0.0072  , 0.00859  , 0.00052  , 0.00052  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
Kepler-04    , 5857 , 120 , 120 , +0.17 , 0.06 , 0.06 ,    9.3 ,  1.1 ,  1.3 , 89.2   , 0.8   , 2.6   , 0.153   , 0.026   , 0.010   , 0.00391  , 0.00076  , 0.00034  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
Kepler-05    , 6297 ,  60 ,  60 , +0.04 , 0.06 , 0.06 ,  227.5 ,  2.8 ,  2.8 , 87.1   , 1.0   , 0.6   , 0.1445  , 0.0042  , 0.0033  , 0.01163  , 0.00032  , 0.00027  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
Kepler-06    , 5647 ,  50 ,  50 , +0.34 , 0.05 , 0.05 ,   80.9 ,  2.6 ,  2.6 , 89.9   , 0.1   , 0.7   , 0.1321  , 0.0017  , 0.0006  , 0.01259  , 0.00022  , 0.00007  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
Kepler-07    , 5933 ,  50 ,  50 , +0.11 , 0.05 , 0.05 ,   42.9 ,  3.5 ,  3.5 , 85.32  , 0.16  , 0.16  , 0.1491  , 0.0013  , 0.0013  , 0.01246  , 0.00015  , 0.00015  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
Kepler-08    , 6213 , 150 , 150 , -0.05 , 0.05 , 0.05 ,   68.4 , 12.0 , 12.0 , 84.23  , 0.16  , 0.16  , 0.1432  , 0.0018  , 0.0018  , 0.01360  , 0.00021  , 0.00021  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
Kepler-12    , 5947 , 100 , 100 , +0.07 , 0.04 , 0.04 ,   48.2 ,  4.3 ,  4.4 , 89.02  , 0.25  , 0.21  , 0.12486 , 0.00110 , 0.00075 , 0.014687 , 0.000071 , 0.000068 , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
Kepler-14    , 6395 ,  60 ,  60 , +0.12 , 0.06 , 0.06 ,    683 ,   27 ,   25 , 86.64  , 0.59  , 0.59  , 0.1260  , 0.0058  , 0.0058  , 0.00698  , 0.00029  , 0.00029  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
Kepler-15    , 5595 , 120 , 120 , +0.36 , 0.07 , 0.07 ,   78.7 ,  8.5 ,  9.1 , 86.144 , 0.051 , 0.051 , 0.10002 , 0.00048 , 0.00048 , 0.010575 , 0.000086 , 0.000086 , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
Kepler-17    , 5781 ,  85 ,  85 , +0.26 , 0.10 , 0.10 ,    399 ,    9 ,    9 , 89.73  , 0.27  , 0.94  , 0.1755  , 0.0018  , 0.0008  , 0.02403  , 0.00024  , 0.00013  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
LHS_6343     , 3300 , 200 , 200 , +0.04 , 0.08 , 0.08 ,   9600 ,  300 ,  300 , 89.247 , 0.088 , 0.088 , 0.02388 , 0.00090 , 0.00090 , 0.00489  , 0.00018  , 0.00018  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
OGLE-TR-010  , 6075 ,  86 ,  86 , +0.28 , 0.10 , 0.10 ,     80 ,   17 ,   17 , 83.87  , 0.69  , 0.69  , 0.157   , 0.009   , 0.009   , 0.0182   , 0.0011   , 0.0011   , 2008MNRAS.386.1644S , 2010MNRAS.408.1689S
