System       ,  M_A  , errup , errdn , sysup , sysdn ,  R_A  , errup , errdn , sysup , sysdn , loggA , errup , errdn , sysup , sysdn ,  rho_A ,  errup ,  errdn ,   M_b  ,  errup ,  errdn ,  sysup ,  sysdn ,   R_b  ,  errup ,  errdn ,  sysup ,  sysdn ,  g_b  , erru , errd ,  rho_b  , errup  , errdn  , sysup  , sysdn  , Teq  , err , err ,  a(AU)  ,  errup  , errdown ,  sysup  , sysdown ,Safronov,  errup ,  errdn ,  sysup ,   sysdn , age , err , err , sys , sys , Reference
GJ_0436      , 0.459 , 0.043 , 0.043 , 0.017 , 0.017 , 0.454 , 0.029 , 0.029 , 0.005 , 0.005 , 4.787 , 0.030 , 0.030 , 0.005 , 0.005 ,   4.92 ,   0.55 ,   0.55 , 0.0737 , 0.0051 , 0.0051 , 0.0018 , 0.0018 ,  0.365 ,  0.018 ,  0.018 ,  0.004 ,  0.004 ,  13.7 ,  1.1 ,  1.1 ,    1.41 ,   0.18 ,   0.18 ,   0.02 ,   0.02 ,  669 ,  22 ,  22 , 0.02887 , 0.00089 , 0.00089 , 0.00035 , 0.00035 , 0.0253 , 0.0015 , 0.0015 , 0.0003 ,  0.0003 , 8.1 , 28. , 16. , 11. , 8.0 , 2010MNRAS.408.1689S
HAT-P-01     , 1.134 , 0.035 , 0.035 , 0.026 , 0.026 , 1.112 , 0.031 , 0.031 , 0.008 , 0.008 , 4.400 , 0.024 , 0.024 , 0.003 , 0.003 ,  0.824 ,  0.066 ,  0.066 ,  0.524 ,  0.016 ,  0.016 ,  0.008 ,  0.008 ,  1.217 ,  0.038 ,  0.038 ,  0.009 ,  0.009 ,  8.77 , 0.56 , 0.56 ,   0.271 ,  0.025 ,  0.025 ,  0.002 ,  0.002 , 1291 ,  20 ,  20 , 0.05535 , 0.00057 , 0.00057 , 0.00042 , 0.00042 , 0.0419 , 0.0016 , 0.0016 , 0.0003 ,  0.0003 , 2.1 , 1.4 , 1.2 , 0.5 , 0.6 , 2010MNRAS.408.1689S
HAT-P-02     , 1.279 , 0.042 , 0.042 , 0.019 , 0.019 ,  1.68 ,  0.15 ,  0.15 ,  0.01 ,  0.01 , 4.092 , 0.074 , 0.074 , 0.002 , 0.002 ,  0.268 ,  0.070 ,  0.070 ,   8.74 ,   0.25 ,   0.25 ,   0.09 ,   0.09 ,   1.19 ,   0.12 ,   0.12 ,   0.01 ,   0.01 ,   152 ,   30 ,   30 ,     4.8 ,    1.4 ,    1.4 ,    0.0 ,    0.0 , 1516 ,  66 ,  66 , 0.06740 , 0.00074 , 0.00074 , 0.00034 , 0.00034 ,  0.771 ,  0.077 ,  0.077 ,  0.004 ,   0.004 , 2.6 , 0.4 , 0.7 , 0.5 , 0.3 , 2010MNRAS.408.1689S
HAT-P-03     , 0.900 , 0.036 , 0.036 , 0.044 , 0.044 , 0.870 , 0.016 , 0.016 , 0.014 , 0.014 , 4.513 , 0.020 , 0.020 , 0.007 , 0.007 ,  1.365 ,  0.078 ,  0.078 ,  0.584 ,  0.020 ,  0.020 ,  0.019 ,  0.019 ,  0.947 ,  0.027 ,  0.027 ,  0.015 ,  0.015 , 16.14 , 0.90 , 0.90 ,   0.643 ,  0.052 ,  0.052 ,  0.011 ,  0.011 , 1189 ,  16 ,  16 , 0.03842 , 0.00050 , 0.00050 , 0.00063 , 0.00063 , 0.0526 , 0.0019 , 0.0019 , 0.0009 ,  0.0009 , 7.5 , 4.2 , 3.8 , 3.6 , 2.7 , 2012MNRAS.426.1291S
HAT-P-04     , 1.271 , 0.096 , 0.053 , 0.072 , 0.046 , 1.600 , 0.113 , 0.037 , 0.030 , 0.019 , 4.134 , 0.015 , 0.038 , 0.008 , 0.005 ,  0.310 ,  0.016 ,  0.041 ,  0.680 ,  0.038 ,  0.025 ,  0.026 ,  0.016 ,  1.337 ,  0.075 ,  0.032 ,  0.025 ,  0.016 ,  9.42 , 0.44 , 0.91 ,   0.266 ,  0.018 ,  0.038 ,  0.003 ,  0.005 , 1691 ,  46 ,  26 , 0.04465 , 0.00113 , 0.00062 , 0.00084 , 0.00054 , 0.0357 , 0.0012 , 0.0021 , 0.0004 ,  0.0007 , 3.9 , 0.6 , 0.9 , 0.6 , 1.1 , 2011MNRAS.417.2166S
HAT-P-05     , 1.163 , 0.065 , 0.065 , 0.022 , 0.022 , 1.137 , 0.032 , 0.032 , 0.007 , 0.007 , 4.392 , 0.020 , 0.020 , 0.003 , 0.003 ,  0.791 ,  0.050 ,  0.050 ,   1.06 ,   0.11 ,   0.11 ,   0.01 ,   0.01 ,  1.252 ,  0.042 ,  0.042 ,  0.008 ,  0.008 ,  16.7 ,  1.9 ,  1.9 ,   0.504 ,  0.067 ,  0.067 ,  0.003 ,  0.003 , 1517 ,  29 ,  29 , 0.04079 , 0.00076 , 0.00076 , 0.00026 , 0.00026 , 0.0592 , 0.0064 , 0.0064 , 0.0004 ,  0.0004 , 1.7 , 3.5 , 1.4 , 0.4 , 0.6 , 2012MNRAS.422.3099S
HAT-P-06     , 1.295 , 0.057 , 0.057 , 0.038 , 0.038 , 1.518 , 0.070 , 0.070 , 0.015 , 0.015 , 4.188 , 0.035 , 0.035 , 0.004 , 0.004 ,  0.370 ,  0.045 ,  0.045 ,  1.063 ,  0.053 ,  0.053 ,  0.021 ,  0.021 ,  1.395 ,  0.080 ,  0.080 ,  0.014 ,  0.014 ,  13.5 ,  1.6 ,  1.6 ,   0.366 ,  0.064 ,  0.064 ,  0.004 ,  0.004 , 1704 ,  40 ,  40 , 0.05244 , 0.00077 , 0.00077 , 0.00051 , 0.00051 , 0.0617 , 0.0043 , 0.0043 , 0.0006 ,  0.0006 , 2.3 , 0.4 , 0.8 , 0.4 , 0.3 , 2012MNRAS.426.1291S
HAT-P-07     , 1.511 , 0.039 , 0.039 , 0.017 , 0.017 , 1.955 , 0.019 , 0.019 , 0.007 , 0.007 , 4.035 , 0.005 , 0.005 , 0.002 , 0.002 ,  0.202 ,  0.002 ,  0.002 ,  1.799 ,  0.038 ,  0.038 ,  0.014 ,  0.014 ,  1.465 ,  0.015 ,  0.015 ,  0.006 ,  0.006 , 20.77 , 0.33 , 0.33 ,   0.535 ,  0.011 ,  0.011 ,  0.002 ,  0.002 , 2194 ,  27 ,  27 , 0.03805 , 0.00033 , 0.00033 , 0.00015 , 0.00015 , 0.0618 , 0.0010 , 0.0010 , 0.0002 ,  0.0002 , 2.0 , 0.4 , 0.3 , 0.3 , 0.2 , 2011MNRAS.417.2166S
HAT-P-09     ,  1.28 ,  0.10 ,  0.10 ,  0.02 ,  0.02 , 1.339 , 0.080 , 0.080 , 0.008 , 0.008 , 4.293 , 0.046 , 0.046 , 0.002 , 0.002 ,  0.534 ,  0.082 ,  0.082 ,  0.778 ,  0.083 ,  0.083 ,  0.009 ,  0.009 ,   1.38 ,   0.10 ,   0.10 ,   0.01 ,   0.01 ,  10.1 ,  1.7 ,  1.7 ,   0.275 ,  0.066 ,  0.066 ,  0.002 ,  0.002 , 1540 ,  53 ,  53 ,  0.0529 ,  0.0014 ,  0.0014 ,  0.0003 ,  0.0003 , 0.0463 , 0.0056 , 0.0056 , 0.0003 ,  0.0003 , 1.6 , 1.4 , 2.0 , 0.4 , 0.4 , 2012MNRAS.426.1291S
HAT-P-11     , 0.812 , 0.026 , 0.026 , 0.012 , 0.012 , 0.695 , 0.014 , 0.014 , 0.004 , 0.004 , 4.663 , 0.012 , 0.012 , 0.002 , 0.002 ,  2.415 ,  0.097 ,  0.097 ,  0.084 ,  0.007 ,  0.007 ,  0.001 ,  0.001 ,  0.397 ,  0.009 ,  0.009 ,  0.002 ,  0.002 ,  13.2 ,  1.1 ,  1.1 ,    1.26 ,   0.12 ,   0.12 ,   0.01 ,   0.01 ,  838 ,  10 ,  10 , 0.05259 , 0.00056 , 0.00056 , 0.00027 , 0.00027 , 0.0274 , 0.0022 , 0.0022 , 0.0001 ,  0.0001 ,  10 ,  10 ,  10 ,  10 ,  10 , 2011MNRAS.417.2166S
