System       ,  M_A  , errup , errdn , sysup , sysdn ,  R_A  , errup , errdn , sysup , sysdn , loggA , errup , errdn , sysup , sysdn ,  rho_A ,  errup ,  errdn ,   M_b  ,  errup ,  errdn ,  sysup ,  sysdn ,   R_b  ,  errup ,  errdn ,  sysup ,  sysdn ,  g_b  , erru , errd ,  rho_b  , errup  , errdn  , sysup  , sysdn  , Teq  , err , err ,  a(AU)  ,  errup  , errdown ,  sysup  , sysdown ,Safronov,  errup ,  errdn ,  sysup ,   sysdn , age , err , err , sys , sys , Reference
WASP-02      , 0.851 , 0.038 , 0.038 , 0.032 , 0.032 , 0.823 , 0.015 , 0.015 , 0.010 , 0.010 , 4.537 , 0.016 , 0.016 , 0.005 , 0.005 ,  1.524 ,  0.067 ,  0.067 ,  0.880 ,  0.031 ,  0.031 ,  0.022 ,  0.022 ,  1.063 ,  0.025 ,  0.025 ,  0.013 ,  0.013 , 19.31 , 0.80 , 0.80 ,   0.685 ,  0.042 ,  0.042 ,  0.008 ,  0.008 , 1286 ,  17 ,  17 , 0.03092 , 0.00046 , 0.00046 , 0.00038 , 0.00038 , 0.0601 , 0.0019 , 0.0019 , 0.0007 ,  0.0007 , 8.2 , 6.3 , 3.3 , 2.5 , 1.7 , 2012MNRAS.426.1291S
WASP-03      ,  1.26 ,  0.10 ,  0.10 ,  0.02 ,  0.02 , 1.366 , 0.044 , 0.044 , 0.008 , 0.008 , 4.268 , 0.018 , 0.018 , 0.003 , 0.003 ,  0.495 ,  0.024 ,  0.024 ,   2.03 ,   0.12 ,   0.12 ,   0.03 ,   0.03 ,  1.416 ,  0.047 ,  0.047 ,  0.009 ,  0.009 ,  25.1 ,  1.2 ,  1.2 ,   0.669 ,  0.047 ,  0.047 ,  0.004 ,  0.004 , 2020 ,  35 ,  35 , 0.03185 , 0.00086 , 0.00086 , 0.00020 , 0.00020 , 0.0724 , 0.0031 , 0.0031 , 0.0004 ,  0.0004 , 2.1 , 1.2 , 1.2 , 0.4 , 0.4 , 2011MNRAS.417.2166S
WASP-04      , 0.927 , 0.044 , 0.044 , 0.034 , 0.034 , 0.910 , 0.015 , 0.015 , 0.011 , 0.011 , 4.487 , 0.009 , 0.009 , 0.005 , 0.005 ,  1.230 ,  0.022 ,  0.022 ,  1.249 ,  0.043 ,  0.043 ,  0.030 ,  0.030 ,  1.364 ,  0.024 ,  0.024 ,  0.016 ,  0.016 , 16.64 , 0.33 , 0.33 ,   0.460 ,  0.014 ,  0.014 ,  0.006 ,  0.006 , 1673 ,  17 ,  17 , 0.02318 , 0.00037 , 0.00037 , 0.00028 , 0.00028 , 0.0458 , 0.0010 , 0.0010 , 0.0005 ,  0.0005 , 6.4 , 2.7 , 5.3 , 1.9 , 1.9 , 2012MNRAS.426.1291S
WASP-05      , 1.033 , 0.045 , 0.045 , 0.021 , 0.021 , 1.088 , 0.040 , 0.040 , 0.008 , 0.008 , 4.379 , 0.030 , 0.030 , 0.003 , 0.003 ,  0.801 ,  0.080 ,  0.080 ,  1.595 ,  0.048 ,  0.048 ,  0.022 ,  0.022 ,  1.175 ,  0.055 ,  0.055 ,  0.008 ,  0.008 ,  28.6 ,  2.6 ,  2.6 ,    0.92 ,   0.12 ,   0.12 ,   0.01 ,   0.01 , 1753 ,  35 ,  35 , 0.02740 , 0.00040 , 0.00040 , 0.00019 , 0.00019 , 0.0719 , 0.0034 , 0.0034 , 0.0005 ,  0.0005 , 5.6 , 2.2 , 2.2 , 1.1 , 1.0 , 2012MNRAS.426.1291S
WASP-07      , 1.317 , 0.069 , 0.069 , 0.022 , 0.022 , 1.478 , 0.088 , 0.088 , 0.008 , 0.008 , 4.218 , 0.048 , 0.048 , 0.002 , 0.002 ,  0.408 ,  0.068 ,  0.068 ,   0.98 ,   0.13 ,   0.13 ,   0.01 ,   0.01 ,  1.374 ,  0.094 ,  0.094 ,  0.008 ,  0.008 ,  12.9 ,  2.4 ,  2.4 ,   0.353 ,  0.087 ,  0.087 ,  0.002 ,  0.002 , 1530 ,  45 ,  45 ,  0.0624 ,  0.0011 ,  0.0011 ,  0.0003 ,  0.0003 ,  0.067 ,  0.010 ,  0.010 ,  0.000 ,   0.000 , 1.9 , 0.7 , 0.6 , 0.3 , 0.3 , 2012MNRAS.426.1291S
WASP-10      , 0.752 , 0.081 , 0.081 , 0.048 , 0.048 , 0.703 , 0.036 , 0.036 , 0.015 , 0.015 , 4.620 , 0.049 , 0.049 , 0.009 , 0.009 ,   2.16 ,   0.31 ,   0.31 ,   3.16 ,   0.23 ,   0.23 ,   0.13 ,   0.13 ,  1.067 ,  0.064 ,  0.064 ,  0.022 ,  0.022 ,  68.9 ,  6.7 ,  6.7 ,    2.43 ,   0.36 ,   0.36 ,   0.05 ,   0.05 ,  972 ,  31 ,  31 ,  0.0378 ,  0.0014 ,  0.0014 ,  0.0008 ,  0.0008 ,  0.298 ,  0.019 ,  0.019 ,  0.006 ,   0.006 , 7.1 , 20. , 12. , 4.9 , 6.4 , 2010MNRAS.408.1689S
WASP-103     , 1.205 , 0.094 , 0.117 , 0.021 , 0.015 , 1.413 , 0.040 , 0.048 , 0.008 , 0.006 , 4.219 , 0.012 , 0.016 , 0.003 , 0.002 ,  0.428 ,  0.007 ,  0.011 ,   1.47 ,   0.11 ,   0.02 ,   0.13 ,   0.01 ,  1.596 ,  0.044 ,  0.054 ,  0.009 ,  0.007 , 14.34 , 0.83 , 0.85 ,   0.339 ,  0.023 ,  0.023 ,  0.001 ,  0.002 , 2489 ,  66 ,  65 , 0.01979 , 0.00051 , 0.00065 , 0.00012 , 0.00008 , 0.0303 , 0.0020 , 0.0019 , 0.0001 ,  0.0002 , 3.8 , 2.1 , 1.7 , 0.4 , 0.4 , arXiv:1608.00746   
WASP-12      ,  1.38 ,  0.18 ,  0.18 ,  0.05 ,  0.05 , 1.619 , 0.076 , 0.076 , 0.021 , 0.021 , 4.159 , 0.023 , 0.023 , 0.006 , 0.006 ,  0.325 ,  0.016 ,  0.016 ,   1.43 ,   0.13 ,   0.13 ,   0.04 ,   0.04 ,  1.825 ,  0.091 ,  0.091 ,  0.024 ,  0.024 , 10.63 , 0.53 , 0.53 ,   0.220 ,  0.019 ,  0.019 ,  0.003 ,  0.003 , 2523 ,  45 ,  45 , 0.02309 , 0.00096 , 0.00096 , 0.00030 , 0.00030 , 0.0262 , 0.0013 , 0.0013 , 0.0003 ,  0.0003 , 2.0 , 0.7 , 2.6 , 0.3 , 0.6 , 2012MNRAS.426.1291S
WASP-13      ,  1.22 ,  0.12 ,  0.12 ,  0.01 ,  0.01 , 1.657 , 0.079 , 0.079 , 0.004 , 0.004 , 4.086 , 0.033 , 0.033 , 0.001 , 0.001 ,  0.268 ,  0.029 ,  0.029 ,  0.512 ,  0.060 ,  0.060 ,  0.002 ,  0.002 ,  1.528 ,  0.084 ,  0.084 ,  0.004 ,  0.004 ,  5.44 , 0.73 , 0.73 ,   0.134 ,  0.023 ,  0.023 ,  0.000 ,  0.000 , 1531 ,  37 ,  37 ,  0.0557 ,  0.0018 ,  0.0018 ,  0.0001 ,  0.0001 , 0.0307 , 0.0035 , 0.0035 , 0.0001 ,  0.0001 , 5.0 , 2.6 , 1.7 , 1.6 , 0.9 , 2012MNRAS.426.1291S
WASP-14      ,  1.35 ,  0.12 ,  0.12 ,  0.02 ,  0.02 , 1.666 , 0.097 , 0.097 , 0.009 , 0.009 , 4.126 , 0.042 , 0.042 , 0.002 , 0.002 ,  0.293 ,  0.042 ,  0.042 ,   7.90 ,   0.46 ,   0.46 ,   0.09 ,   0.09 ,  1.633 ,  0.092 ,  0.092 ,  0.009 ,  0.009 ,  73.4 ,  7.1 ,  7.1 ,    1.69 ,   0.25 ,   0.25 ,   0.01 ,   0.01 , 2090 ,  59 ,  59 ,  0.0372 ,  0.0011 ,  0.0011 ,  0.0002 ,  0.0002 ,  0.265 ,  0.015 ,  0.015 ,  0.001 ,   0.001 , 2.4 , 1.5 , 1.0 , 0.2 , 0.2 , 2012MNRAS.426.1291S
WASP-15      , 1.305 , 0.051 , 0.051 , 0.006 , 0.006 , 1.522 , 0.044 , 0.044 , 0.002 , 0.002 , 4.189 , 0.021 , 0.021 , 0.001 , 0.001 ,  0.370 ,  0.027 ,  0.027 ,  0.592 ,  0.019 ,  0.019 ,  0.002 ,  0.002 ,  1.408 ,  0.046 ,  0.046 ,  0.002 ,  0.002 ,  7.39 , 0.46 , 0.46 ,   0.198 ,  0.018 ,  0.000 ,  0.018 ,  0.000 , 1676 ,  29 ,  29 , 0.05165 , 0.00067 , 0.00067 , 0.00008 , 0.00008 , 0.0332 , 0.0013 , 0.0013 , 0.0001 ,  0.0001 , 2.4 , 0.6 , 0.6 , 0.2 , 0.4 , 2013MNRAS.434.1300S
WASP-16      , 0.980 , 0.049 , 0.049 , 0.023 , 0.023 , 1.087 , 0.041 , 0.041 , 0.008 , 0.008 , 4.357 , 0.022 , 0.022 , 0.003 , 0.003 ,  0.762 ,  0.056 ,  0.056 ,  0.832 ,  0.036 ,  0.036 ,  0.013 ,  0.013 ,  1.218 ,  0.039 ,  0.039 ,  0.009 ,  0.009 , 13.92 , 0.71 , 0.71 ,   0.431 ,  0.033 ,  0.003 ,  0.033 ,  0.003 , 1389 ,  24 ,  24 , 0.04150 , 0.00070 , 0.00070 , 0.00032 , 0.00032 , 0.0579 , 0.0021 , 0.0021 , 0.0004 ,  0.0004 , 8.6 , 3.3 , 2.7 , 0.6 , 0.9 , 2013MNRAS.434.1300S
WASP-17      , 1.286 , 0.076 , 0.076 , 0.020 ,  0.02 , 1.583 , 0.040 , 0.040 , 0.008 , 0.008 , 4.149 , 0.014 , 0.014 , 0.002 , 0.002 ,  0.324 ,  0.012 ,  0.012 ,  0.477 ,  0.033 ,  0.033 ,  0.005 ,  0.005 ,  1.932 ,  0.052 ,  0.052 ,  0.010 ,  0.010 ,  3.16 , 0.20 , 0.20 ,  0.0618 , 0.0048 , 0.0048 , 0.0003 , 0.0003 , 1755 ,  28 ,  28 , 0.05125 , 0.00099 , 0.00099 , 0.00027 , 0.00027 , 0.0196 , 0.0012 , 0.0012 , 0.0001 ,  0.0001 , 2.7 , 0.6 , 1.0 , 0.6 , 0.6 , 2012MNRAS.426.1338S
WASP-18      , 1.274 , 0.054 , 0.054 , 0.027 , 0.027 , 1.228 , 0.042 , 0.042 , 0.009 , 0.009 , 4.365 , 0.027 , 0.027 , 0.003 , 0.003 ,  0.687 ,  0.062 ,  0.062 ,  10.38 ,   0.30 ,   0.30 ,   0.15 ,   0.15 ,  1.163 ,  0.054 ,  0.054 ,  0.008 ,  0.008 ,   190 ,   16 ,   16 ,    6.18 ,   0.83 ,   0.83 ,   0.04 ,   0.04 , 2413 ,  44 ,  44 , 0.02043 , 0.00029 , 0.00029 , 0.00014 , 0.00014 ,  0.286 ,  0.013 ,  0.013 ,  0.002 ,   0.002 , 0.4 , 1.0 , 0.7 , 0.4 , 0.3 , 2012MNRAS.426.1291S
WASP-21      ,  0.98 ,  0.12 ,  0.12 ,  0.07 ,  0.07 , 1.186 , 0.081 , 0.081 , 0.028 , 0.028 , 4.281 , 0.031 , 0.031 , 0.010 , 0.010 ,  0.587 ,  0.061 ,  0.061 ,  0.295 ,  0.027 ,  0.027 ,  0.014 ,  0.014 ,  1.263 ,  0.085 ,  0.085 ,  0.029 ,  0.029 ,  4.58 , 0.45 , 0.45 ,   0.137 ,  0.021 ,  0.021 ,  0.003 ,  0.003 , 1340 ,  32 ,  32 ,  0.0516 ,  0.0020 ,  0.0020 ,  0.0012 ,  0.0012 , 0.0245 , 0.0019 , 0.0019 , 0.0006 ,  0.0006 ,  10 ,  10 ,  10 ,  10 ,  10 , 2012MNRAS.426.1291S
WASP-22      , 1.249 , 0.073 , 0.030 , 0.015 , 0.014 , 1.255 , 0.030 , 0.029 , 0.005 , 0.005 , 4.338 , 0.027 , 0.020 , 0.002 , 0.002 ,  0.632 ,  0.043 ,  0.041 ,  0.617 ,  0.028 ,  0.017 ,  0.005 ,  0.005 ,  1.199 ,  0.046 ,  0.027 ,  0.005 ,  0.005 , 10.63 , 0.53 , 0.71 ,   0.334 ,  0.024 ,  0.033 ,  0.001 ,  0.001 , 1502 ,  20 ,  20 ,  0.0489 ,  0.0010 ,  0.0004 ,  0.0002 ,  0.0002 , 0.0402 , 0.0013 , 0.0018 , 0.0002 ,  0.0002 , 1.3 , 0.6 , 1.7 , 0.4 , 0.2 , 2016MNRAS.457.4205S
WASP-24      , 1.168 , 0.056 , 0.056 , 0.050 , 0.050 , 1.317 , 0.036 , 0.036 , 0.019 , 0.019 , 4.267 , 0.021 , 0.021 , 0.006 , 0.006 ,  0.512 ,  0.034 ,  0.034 ,  1.109 ,  0.043 ,  0.043 ,  0.032 ,  0.032 ,  1.303 ,  0.043 ,  0.043 ,  0.019 ,  0.019 , 16.19 , 0.99 , 0.99 ,   0.469 ,  0.042 ,  0.042 ,  0.007 ,  0.007 , 1772 ,  29 ,  29 , 0.03635 , 0.00059 , 0.00059 , 0.00052 , 0.00052 , 0.0529 , 0.0021 , 0.0021 , 0.0007 ,  0.0007 , 2.5 , 9.6 , 1.5 , 1.8 , 2.5 , 2014MNRAS.444..776S
WASP-25      , 1.053 , 0.023 , 0.023 , 0.030 , 0.030 , 0.924 , 0.016 , 0.016 , 0.009 , 0.009 , 4.530 , 0.014 , 0.014 , 0.004 , 0.004 ,  1.336 ,  0.063 ,  0.063 ,  0.598 ,  0.044 ,  0.044 ,  0.012 ,  0.012 ,  1.247 ,  0.030 ,  0.030 ,  0.012 ,  0.012 ,  9.54 , 0.80 , 0.80 ,   0.288 ,  0.028 ,  0.028 ,  0.003 ,  0.003 , 1210 ,  14 ,  14 , 0.04819 , 0.00035 , 0.00035 , 0.00046 , 0.00046 , 0.0439 , 0.0033 , 0.0033 , 0.0004 ,  0.0004 , 0.1 , 5.7 , 0.1 , 0.2 , 0.0 , 2014MNRAS.444..776S
WASP-26      , 1.095 , 0.043 , 0.043 , 0.017 , 0.017 , 1.284 , 0.035 , 0.035 , 0.007 , 0.007 , 4.260 , 0.022 , 0.022 , 0.002 , 0.002 ,  0.517 ,  0.037 ,  0.037 ,  1.020 ,  0.031 ,  0.031 ,  0.011 ,  0.011 ,  1.216 ,  0.047 ,  0.047 ,  0.006 ,  0.006 ,  17.1 ,  1.3 ,  1.3 ,   0.530 ,  0.060 ,  0.060 ,  0.003 ,  0.003 , 1650 ,  24 ,  24 , 0.03966 , 0.00052 , 0.00052 , 0.00021 , 0.00021 , 0.0607 , 0.0026 , 0.0026 , 0.0003 ,  0.0003 , 4.0 , 5.7 , 4.5 , 1.4 , 4.0 , 2014MNRAS.444..776S
WASP-41      , 0.987 , 0.021 , 0.021 , 0.026 , 0.026 , 0.886 , 0.009 , 0.009 , 0.008 , 0.008 , 4.538 , 0.008 , 0.008 , 0.004 , 0.004 ,  1.420 ,  0.034 ,  0.034 ,  0.977 ,  0.020 ,  0.020 ,  0.017 ,  0.017 ,  1.178 ,  0.015 ,  0.015 ,  0.010 ,  0.010 , 17.45 , 0.46 , 0.46 ,   0.558 ,  0.020 ,  0.020 ,  0.005 ,  0.005 , 1242 ,  12 ,  12 ,  0.0410 ,  0.0003 ,  0.0003 ,  0.0004 ,  0.0004 , 0.0689 , 0.0014 , 0.0014 , 0.0006 ,  0.0006 , 1.2 , 1.1 , 0.0 , 0.3 , 0.2 , 2016MNRAS.457.4205S
WASP-42      , 0.951 , 0.037 , 0.037 , 0.051 , 0.051 , 0.892 , 0.021 , 0.021 , 0.016 , 0.016 , 4.515 , 0.022 , 0.022 , 0.008 , 0.008 ,  1.338 ,  0.092 ,  0.092 ,  0.527 ,  0.020 ,  0.020 ,  0.019 ,  0.019 ,  1.122 ,  0.033 ,  0.033 ,  0.020 ,  0.020 , 10.38 , 0.61 , 0.61 ,   0.349 ,  0.029 ,  0.029 ,  0.006 ,  0.006 , 1021 ,  19 ,  19 ,  0.0561 ,  0.0007 ,  0.0007 ,  0.0010 ,  0.0010 , 0.0554 , 0.0021 , 0.0021 , 0.0010 ,  0.0010 , 4.4 , 3.0 , 2.4 , 3.2 , 2.4 , 2016MNRAS.457.4205S
WASP-55      , 1.162 , 0.029 , 0.033 , 0.022 , 0.021 , 1.102 , 0.020 , 0.015 , 0.007 , 0.007 , 4.419 , 0.009 , 0.015 , 0.003 , 0.003 ,  0.869 ,  0.026 ,  0.041 ,  0.627 ,  0.037 ,  0.038 ,  0.008 ,  0.007 ,  1.335 ,  0.031 ,  0.020 ,  0.008 ,  0.008 ,  8.73 , 0.54 , 0.62 ,   0.247 ,  0.017 ,  0.021 ,  0.001 ,  0.002 , 1300 ,  15 ,  13 ,  0.0558 ,  0.0005 ,  0.0005 ,  0.0004 ,  0.0003 , 0.0451 , 0.0027 , 0.0028 , 0.0003 ,  0.0003 , 1.1 , 0.8 , 0.6 , 0.4 , 0.1 , 2016MNRAS.457.4205S
WASP-57      , 0.886 , 0.061 , 0.061 , 0.028 , 0.028 , 0.927 , 0.031 , 0.031 , 0.010 , 0.010 , 4.452 , 0.024 , 0.024 , 0.005 , 0.005 ,  1.113 ,  0.085 ,  0.085 ,  0.644 ,  0.060 ,  0.060 ,  0.014 ,  0.014 ,  1.050 ,  0.052 ,  0.052 ,  0.011 ,  0.011 ,  14.5 ,  1.5 ,  1.5 ,   0.521 ,  0.072 ,  0.072 ,  0.006 ,  0.006 , 1338 ,  29 ,  29 , 0.03769 , 0.00088 , 0.00088 , 0.00040 , 0.00040 , 0.0522 , 0.0045 , 0.0045 , 0.0006 ,  0.0006 ,  10 ,  10 ,  10 ,  10 ,  10 , 2015MNRAS.454.3094S
XO-1         , 1.037 , 0.039 , 0.039 , 0.031 , 0.031 , 0.942 , 0.022 , 0.022 , 0.009 , 0.009 , 4.506 , 0.021 , 0.021 , 0.004 , 0.004 ,  1.242 ,  0.080 ,  0.080 ,  0.924 ,  0.075 ,  0.075 ,  0.019 ,  0.019 ,  1.206 ,  0.039 ,  0.039 ,  0.012 ,  0.012 ,  15.8 ,  1.5 ,  1.5 ,   0.492 ,  0.059 ,  0.059 ,  0.005 ,  0.005 , 1210 ,  16 ,  16 , 0.04944 , 0.00062 , 0.00062 , 0.00050 , 0.00050 , 0.0730 , 0.0062 , 0.0062 , 0.0007 ,  0.0007 , 0.9 , 2.4 , 1.7 , 0.8 , 0.8 , 2010MNRAS.408.1689S
XO-2         , 0.924 , 0.054 , 0.122 , 0.076 , 0.124 , 0.962 , 0.026 , 0.054 , 0.027 , 0.044 , 4.436 , 0.037 , 0.035 , 0.012 , 0.020 ,  1.034 ,  0.127 ,  0.058 ,  0.593 ,  0.025 ,  0.057 ,  0.033 ,  0.054 ,  0.984 ,  0.031 ,  0.071 ,  0.027 ,  0.045 ,  15.2 ,  1.8 ,  0.8 ,   0.582 ,  0.116 ,  0.046 ,  0.028 ,  0.016 , 1328 ,  17 ,  28 , 0.03616 , 0.00065 , 0.00182 , 0.00100 , 0.00167 , 0.0472 , 0.0040 , 0.0022 , 0.0016 ,  0.0013 , 6.5 , 23. , 3.5 , 5.3 , 3.8 , 2012MNRAS.426.1291S
XO-3         , 1.206 , 0.046 , 0.046 , 0.036 , 0.036 , 1.409 , 0.054 , 0.054 , 0.014 , 0.014 , 4.222 , 0.027 , 0.027 , 0.004 , 0.004 ,  0.431 ,  0.041 ,  0.041 ,  11.83 ,   0.31 ,   0.31 ,   0.23 ,   0.23 ,  1.248 ,  0.047 ,  0.047 ,  0.012 ,  0.012 ,   188 ,   13 ,   13 ,    5.69 ,   0.63 ,   0.63 ,   0.06 ,   0.06 , 1729 ,  34 ,  34 , 0.04529 , 0.00057 , 0.00057 , 0.00045 , 0.00045 ,  0.711 ,  0.027 ,  0.027 ,  0.007 ,   0.007 , 3.0 , 0.9 , 0.6 , 0.5 , 0.4 , 2010MNRAS.408.1689S
XO-4         , 1.285 , 0.117 , 0.039 , 0.014 , 0.022 , 1.531 , 0.386 , 0.068 , 0.006 , 0.009 , 4.177 , 0.034 , 0.172 , 0.002 , 0.002 ,  0.358 ,  0.046 ,  0.160 ,  1.547 ,  0.110 ,  0.066 ,  0.011 ,  0.017 ,  1.287 ,  0.385 ,  0.063 ,  0.005 ,  0.007 ,  23.1 ,  2.5 ,  9.4 ,    0.68 ,   0.11 ,   0.37 ,   0.00 ,   0.00 , 1630 , 170 ,  40 , 0.05474 , 0.00162 , 0.00056 , 0.00020 , 0.00031 , 0.1023 , 0.0065 , 0.0240 , 0.0006 ,  0.0004 , 2.7 , 1.1 , 0.5 , 0.2 , 0.3 , 2011MNRAS.417.2166S
XO-5         , 0.914 , 0.064 , 0.064 , 0.010 , 0.010 , 1.065 , 0.064 , 0.064 , 0.004 , 0.004 , 4.344 , 0.043 , 0.043 , 0.002 , 0.002 ,   0.76 ,   0.11 ,   0.11 ,  1.084 ,  0.055 ,  0.055 ,  0.008 ,  0.008 ,  1.089 ,  0.082 ,  0.082 ,  0.004 ,  0.004 ,  22.7 ,  3.2 ,  3.2 ,    0.79 ,   0.17 ,   0.17 ,   0.00 ,   0.00 , 1203 ,  33 ,  33 ,  0.0494 ,  0.0011 ,  0.0011 ,  0.0002 ,  0.0002 , 0.1075 , 0.0082 , 0.0082 , 0.0004 ,  0.0004 , 11. , 11. , 11. , 1.2 , 1.9 , 2010MNRAS.408.1689S
