AERONET_Site,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Month,440-870_Angstrom_Exponent,440-675_Angstrom_Exponent,340-440_Angstrom_Exponent,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Scattering_AOD[440nm],Scattering_AOD[675nm],Scattering_AOD[870nm],Scattering_AOD[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],count
ALERIA_MF,42.129,9.496,50,6,1.574736,1.569056,1.081651,0.287425,0.17112,0.10068,0.07266,0.010752373,0.003037443,0.002649399,0.002266038,0.269404587,0.168563,0.098819,0.071132,0.696789,0.646934,0.632505,0.628004,13
ALERIA_MF,42.129,9.496,50,7,0.9957745,1.044176,0.8137475,0.2191335,0.12725,0.0983,0.087775,0.013738806,0.004158307,0.003861336,0.003497557,0.205394694,0.123091693,0.094293293,0.084067609,0.726218,0.7014195,0.707409,0.7087555,28
ALERIA_MF,42.129,9.496,50,8,1.4485865,1.598195,1.3157485,0.16136,0.0838645,0.057115,0.04704,0.010116635,0.002740545,0.002328007,0.001986849,0.151243365,0.081123955,0.054786993,0.045053151,0.694878,0.6467665,0.655717,0.656735,52
ALERIA_MF,42.129,9.496,50,9,1.307088,1.4038705,1.0484,0.106796,0.064,0.0475565,0.0420665,0.006695688,0.002091408,0.001938402,0.001776781,0.100100312,0.061908592,0.045618098,0.040289719,0.705477,0.6665375,0.6513985,0.6532235,28
ALERIA_MF,42.129,9.496,50,10,1.172364,1.266796,0.8949295,0.11195,0.0654,0.0449585,0.0367585,0.007018823,0.002137158,0.001832508,0.001552585,0.104931177,0.063262842,0.043125992,0.035205915,0.7130815,0.6750695,0.668931,0.675533,22
ALERIA_MF,42.129,9.496,50,11,0.721781,0.76514,0.233971,0.0592,0.0453,0.0371,0.0342,0.003711606,0.001480325,0.001512195,0.00144452,0.055488394,0.043819675,0.035587805,0.03275548,0.712471,0.694999,0.723159,0.730869,17
ALERIA_MF,42.129,9.496,50,12,0.769626,0.793994,0.228719,0.0534,0.032733,0.025467,0.021867,0.003347969,0.001069657,0.001038035,0.000923606,0.050052031,0.031663343,0.024428965,0.020943394,0.750713,0.73562,0.756585,0.757154,7
ARM_Darwin,-12.425,130.891,29.9,1,1.483967,1.706454,1.430176,0.1379,0.0839,0.0728,0.063375,0.020864976,0.014936866,0.015333998,0.014736988,0.117035024,0.068963134,0.057466002,0.048638012,0.663913,0.653276,0.663306,0.679776,3
ARM_Darwin,-12.425,130.891,29.9,2,0.612466,0.9733265,0.915177,0.089725,0.063575,0.058525,0.056625,0.013575852,0.01131837,0.012327229,0.013167368,0.076149148,0.05225663,0.046197771,0.043457632,0.730686,0.7366725,0.757959,0.7681135,2
ARM_Darwin,-12.425,130.891,29.9,3,1.254407,1.592036,1.445343,0.1125,0.064967,0.0527,0.0469,0.017021826,0.01156619,0.011100298,0.010905953,0.095478174,0.05340081,0.041599702,0.035994047,0.672093,0.692395,0.710428,0.72737,11
ARM_Darwin,-12.425,130.891,29.9,4,1.185719,1.704946,1.589429,0.070333,0.03735,0.0284,0.02644,0.010641743,0.006649487,0.005981944,0.00614826,0.059691257,0.030700513,0.022418056,0.02029174,0.657968,0.624618,0.658235,0.679353,29
ARM_Darwin,-12.425,130.891,29.9,5,0.8053905,1.094208,1.478166,0.088685,0.0557875,0.0469135,0.04279,0.013418495,0.009931947,0.009881477,0.009950229,0.075266505,0.045855553,0.037032023,0.032839771,0.665318,0.6606515,0.6910225,0.706811,58
