Unnamed: 0,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate,a_calc,Teq_Calc,R*/Rp,a_calc/R*,Impact Parameter
446,424.01,424,117979694,117979694.01,1,,04h47m41.11s,71.921276,-17d44m42.03s,-17.745007,-14.879,3.044,3.044,0.0,1.0,19.395,0.498,0.498,0.0,1.0,2458438.72101,0.00317,0.99114,0.00024,1.623,0.067625,0.244,0.0101666666667,660.733,0.0660733,1.49485,0.000149485,2.06229,0.183985190472,0.11105,0.00990721741458,,,,1514.77,,,,,1738.0,,,,,10.453,0.018,102.00935,5.75805,5.75805,0,1,5130.0,182.0,182.0,4.6176901,0.322008,0.322008,0.75639,0.113032,0.113032,0.521282905463,2019-01-31 16:53:30,2019-06-13 04:18:11,0.0156574492864,1719.10779103,39.9951744009,4.45244452859,0.401172273804
448,426.01,426,189013224,189013224.01,1,,05h16m24.53s,79.102192,-15d30m36.86s,-15.510238,5.754,0.683,0.683,0.0,1.0,-25.654,0.65,0.65,0.0,1.0,2458438.52905,0.0063,1.3208,0.00061,1.598,0.0665833333333,0.312,0.013,414.347,0.0414347,1.69836,0.000169836,2.24524,0.200306896244,0.166471,0.0148515478633,,,,1237.31,,,,,1652.0,,,,,9.5670004,0.019,110.393,4.5866098,4.5866098,0,1,6028.0,192.0,192.0,4.4889302,0.263536,0.263536,0.997324,0.114376,0.114376,0.993767135982,2019-01-31 16:53:30,2019-08-02 08:25:55,0.0235103683722,1892.93204263,48.4378716047,5.07044931721,0.64227196405
450,428.01,428,117979850,117979850.01,1,,04h47m14.39s,71.80994,-17d14m54.97s,-17.248604,-82.733,0.531,0.531,0.0,1.0,-67.265,0.437,0.437,0.0,1.0,2458438.29579,0.00192,0.63324,9e-05,0.462,0.01925,0.106,0.00441666666667,457.074,0.0457074,3.27152,0.000327152,5.65052,0.504105629405,0.498335,0.0444584708716,,,,475.656,,,,,1301.0,,,,,7.7880001,0.018,118.4016,5.4288101,5.4288101,0,1,5750.0,189.0,189.0,3.6679101,0.26872,0.26872,2.46208,0.295863,0.295863,8.1853711041,2019-01-31 16:53:30,2019-06-17 14:58:32,0.0290847187433,2550.70275744,47.5144051008,2.54089073938,0.996422772509
451,429.01,429,259592689,259592689.01,1,,04h51m54.46s,72.976907,-53d49m50.13s,-53.830593,47.76,2.0,2.0,0.0,1.0,225.73,2.0,2.0,0.0,1.0,2458395.22958,0.02002,14.8042,0.00643,9.528,0.397,0.539,0.0224583333333,7525.67,0.752567,2.41013,0.000241013,9.33426,0.832746899813,0.365245,0.0325849763583,,,,229.346,,,,,1084.0,,,,,10.188,0.033,113.199,,,0,1,5273.0,183.0,183.0,4.44594,2.00383,2.00383,0.942541,0.942541,0.942541,0.871031615386,2019-01-31 16:53:30,2019-06-17 14:58:32,0.112687164808,735.265234386,11.0111304902,25.7156486644,0.5
453,431.01,431,31374837,31374837.01,1,,05h33m04.62s,83.269248,-26d43m26.01s,-26.723891,16.929,0.065,0.065,0.0,1.0,150.792,0.088,0.088,0.0,1.0,2458440.63138,0.00096,12.45941,0.0008,3.353,0.139708333333,0.465,0.019375,2049.26,0.204926,1.11236,0.000111236,3.86782,0.345063788027,0.192989,0.0172173253635,,,,50.1873,,,,,741.0,,,,,8.1134005,0.019,,,,0,1,4891.0,113.0,113.0,4.4099998,0.22,0.22,0.802493,0.0903009,0.0903009,0.598452368208,2019-01-31 16:53:30,2019-04-25 10:00:04,0.0886369285496,709.552118473,22.6248938517,23.7572806373,0.62508509354
454,431.02,431,31374837,31374837.02,1,,05h33m04.62s,83.269248,-26d43m26.01s,-26.723891,16.929,0.065,0.065,0.0,1.0,150.792,0.088,0.088,0.0,1.0,2458438.37978,0.000492,0.490058,1e-05,1.093198,0.0455499166667,0.059635,0.00248479166667,312.518541,0.0312518541,11.365935,0.0011365935,1.419494,0.126638772415,0.697035,0.0621852975288,,,,3120.328573,,,,,1906.205997,,,,,8.1134005,0.019,,,,0,1,4891.0,113.0,113.0,4.4099998,0.22,0.22,0.802493,0.0903009,0.0903009,0.598452368208,2019-02-26 17:36:46,2019-06-06 16:00:02,0.0102513572631,2086.41629405,61.6480358053,2.74766257583,0.666214725613
456,433.01,433,188989177,188989177.01,1,,05h15m06.82s,78.778397,-15d06m01.67s,-15.100463,-1.824,0.616,0.616,0.0,1.0,-1.863,0.547,0.547,0.0,1.0,2458438.29916,0.00045,1.17409,4e-05,1.701,0.070875,0.047,0.00195833333333,15161.7,1.51617,704.605,0.0704605,50.4456,4.50045499152,11.0935,0.989695780177,,,,27221.5,,,,,3578.0,,,,,9.0979996,0.017,498.36316,,,0,1,8543.0,227.0,227.0,3.73791,0.568612,0.568612,3.2681601,0.876745,0.876745,15.8504314485,2019-01-31 16:53:31,2019-06-17 14:58:32,0.0547126569836,3183.40230424,7.06466517965,3.60087266881,0.934559164094
457,434.01,434,78055054,78055054.01,1,CP,05h22m09.18s,80.53824,-30d58m14.94s,-30.970818,10.55,2.189,2.189,0.0,1.0,4.693,2.189,2.189,0.0,1.0,2458439.24989,0.000485,4.388721,7.8e-05,3.046566,0.12694025,0.041882,0.00174508333333,26085.166874,2.6085166874,241.37651,0.024137651,14.683163,1.30994406281,14.684263,1.31004219823,,,,209.93324,,,,,970.822988,,,,,12.775,0.019,362.83899,,,0,1,5175.0,182.0,182.0,4.46488,2.00365,2.00365,0.90834,0.90834,0.90834,0.79906055364,2019-01-31 16:53:30,2019-06-17 14:58:32,0.0486808772762,1077.77656673,6.74590734137,11.5274497818,0.475521872473
461,438.01,438,468880077,468880077.01,1,,03h46m01.12s,56.50468,+09d59m25.08s,9.990301,101.097,0.974,0.974,0.0,1.0,-17.908,0.571,0.571,0.0,1.0,2458441.05616,0.00628,5.8076,0.00281,1.802,0.0750833333333,0.405,0.016875,897.312,0.0897312,2.85588,0.000285588,2.67609,0.238744758676,0.178971,0.0159667231689,,,,65.3399,,,,,792.0,,,,,9.401,0.017,72.61879,2.2439699,2.2439699,0,1,5234.0,6.0,6.0,,,,1.04336,0.0945486,0.0945486,1.10411190677,2019-01-31 16:53:30,2019-07-31 10:32:40,0.0653544773314,1008.29240971,42.5152776818,13.4730041999,0.865763800597
462,439.01,439,13021029,13021029.01,1,CP,05h01m11.92s,75.299664,-26d03m14.92s,-26.054144,-0.071,0.481,0.481,0.0,1.0,3.623,0.694,0.694,0.0,1.0,2458439.12362,0.00094,3.85605,0.00024,3.918,0.16325,0.176,0.00733333333333,8294.17,0.829417,1.31453,0.000131453,13.2686,1.18374520475,0.467783,0.0417328039968,,,,1114.64,,,,,1609.0,,,,,11.668,0.019,520.703,70.298798,70.298798,0,1,6239.0,41.0,41.0,4.0700002,0.17,0.17,1.4461499,0.393853,0.393853,2.36499954253,2019-01-31 16:53:31,2019-06-17 14:58:32,0.0641178043104,1428.58367107,11.885015768,9.53649119368,0.5
