,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate
971,926.01,926,176796997,176796997.01,1,,03h13m30.89s,48.378728,-32d00m20.04s,-32.005567,-4.2,2.5,2.5,0,1,-12.1,2.5,2.5,0,1,2458412.28643,0.00272,1.80001,0.00027,0.998,0.041583333333333,0.19,0.007916666666667,5342.74,0.534274,907.571,0.0907571,21.0024,1.87370862699616,8.69224,0.775469711838701,,,,1444.42,,,,,1717,,,,,10.554,0.018,216.207,,,0,1,5621.5,69,69,3.47,0.15,0.15,3.7601199,0.866684,0.866684,21.9855474951716,2019-01-18 16:50:45,2019-08-16 12:00:13
972,927.01,927,261258875,261258875.01,1,,05h58m55.38s,89.73077,-79d44m36.16s,-79.743377,1.265,0.87,0.87,0,1,22.815,0.884,0.884,0,1,2458327.44834,0.00471,2.58525,7E-05,1.879,0.078291666666667,0.329,0.013708333333333,257.856,0.0257856,0.48271,4.8271E-05,4.82878,0.430794896957802,0.306579,0.027351146400214,,,,771.565,,,,,1468,,,,,9.25,0.019,299.96915,43.6465,43.6465,0,1,6628,200,200,3.7323201,0.50494,0.50494,2.6583099,0.603118,0.603118,9.78918238897857,2019-07-09 14:50:03,2019-07-31 10:32:40
973,928.01,928,300557619,300557619.01,1,,07h30m23.82s,112.599245,-71d35m43.69s,-71.595469,-25.253,2.84,2.84,0,1,37.432,1.584,1.584,0,1,2458350.32222,0.00158,30.57908,0.00067,6.297,0.262375,0.332,0.013833333333333,12972.8,1.29728,51.5093,0.00515093,14.1152,1.25927379784102,0.912472,0.081405299313052,,,,81.7492,,,,,837,,,,,11.347,0.018,351.41467,78.957199,78.957199,0,1,5980.6401,92.489403,92.489403,4.35425,0.171929,0.171929,1.1496201,0.257137,0.257137,1.38450165628703,2019-01-18 16:50:41,2019-07-31 10:32:40
974,929.01,929,175532955,175532955.01,1,,03h03m37.42s,45.905904,-39d55m51.52s,-39.930977,221.11,2,2,0,1,44.99,2,2,0,1,2458388.44272,0.00532,5.82947,0.00117,2.471,0.102958333333333,0.506,0.021083333333333,1044.15,0.104415,4.24531,0.000424531,2.4296,0.216754393790704,0.241442,0.021540012489964,,,,61.8913,,,,,781,,,,,11.438,0.032,109.812,,,0,1,4438,174,174,,,,,,,0,2019-01-18 16:50:45,2019-08-16 12:00:13
975,930.01,930,100921768,100921768.01,1,,03h37m14.09s,54.308703,-44d28m19.23s,-44.472007,-5.327,0.049,0.049,0,1,6.087,0.052,0.052,0,1,2458386.39059,0.00824,4.90038,0.00157,3.506,0.146083333333333,0.527,0.021958333333333,203.834,0.0203834,0.872914,8.72914E-05,6.08343,0.542727272727273,0.739038,0.06593255419752,,,,853.733,,,,,1505,,,,,8.1350002,0.018,99.320999,,,0,1,6380,,,,,,,,,0,2019-01-18 16:50:49,2019-08-16 12:00:13
976,931.01,931,206474443,206474443.01,1,,03h49m20.85s,57.336855,-47d55m05.48s,-47.918189,7.2,2.6,2.6,0,1,-4.5,2.4,2.4,0,1,2458413.1587,0.00113,3.24512,0.00024,2.774,0.115583333333333,0.315,0.013125,6677.01,0.667701,3.81086,0.000381086,20.7565,1.85177089838523,0.980478,0.087472388259434,,,,672.101,,,,,1418,,,,,11.496,0.018,,,,0,1,6434,198,198,,,,,,,0,2019-01-18 16:50:50,2019-08-16 12:00:13
977,932.01,932,260417932,260417932.01,1,,06h23m45.83s,95.94095,-54d34m40.9s,-54.578029,-39.665,1.795,1.795,0,1,34.594,1.363,1.363,0,1,2458334.45097,0.00347,19.31096,0.00059,3.388,0.141166666666667,0.171,0.007125,971.167,0.0971167,1.04152,0.000104152,2.24238,0.200051744134178,0.165524,0.014767062182175,,,,9.8972,,,,,494,,,,,10.662,0.018,83.325233,3.60535,3.60535,0,1,4316,173,173,4.3525701,0.387293,0.387293,0.784847,0.150754,0.150754,0.568196218850576,2019-04-01 16:51:57,2019-07-31 10:32:40
978,933.01,933,260130483,260130483.01,1,,06h09m13.28s,92.305328,-55d24m13.49s,-55.403747,25.825,1.116,1.116,0,1,-46.397,1.116,1.116,0,1,2458344.93866,0.00264,88.93384,,8.472,0.353,0.672,0.028,2355.07,0.235507,2.5192,0.00025192,9.17578,0.818608261218663,0.426641,0.038062360603087,,,,74.936,,,,,819,,,,,10.58,0.018,188.282,,,0,1,5546.8999,104,104,3.6600001,0.16,0.16,2.61744,0.633868,0.633868,9.44160256208478,2019-06-17 19:19:26,2019-07-31 10:32:40
979,934.01,934,220475245,220475245.01,1,,05h01m24.16s,75.350678,-56d08m29.09s,-56.141414,5.14,3.403,3.403,0,1,-21.1,3.403,3.403,0,1,2458625.083169,0.001014,3.781658,0.000217,2.380212,0.0991755,0.068014,0.002833916666667,19427.600631,1.9427600631,380.33862,0.038033862,11.679732,1.04199589615488,11.683331,1.04231697742885,,,,166.378892,,,,,915.997538,,,,,12.619,0.019,,,,0,1,4833,178,178,4.5171199,2.0034699,2.0034699,0.808842,0.808842,0.808842,0.609558352929699,2019-07-15 19:20:07,2019-07-31 10:32:40
980,935.01,935,260476837,260476837.01,1,,06h24m59.57s,96.2482,-59d48m16.49s,-59.804581,0.565,3.241,3.241,0,1,54.946,3.241,3.241,0,1,2458627.063627,0.001541,2.232659,0.000212,2.538335,0.105763958333333,0.094418,0.003934083333333,19244.414726,1.9244414726,687.1711,0.06871711,15.959056,1.42377161209742,17.639652,1.57370434472299,,,,328.213719,,,,,1085.572748,,,,,12.655,0.018,282.203,,,0,1,4814,178,178,4.5194602,2.00348,2.00348,0.804149,0.804149,0.804149,0.601337878618838,2019-07-15 19:20:08,2019-07-31 10:32:40
981,936.01,936,278198753,278198753.01,1,,07h24m08.68s,111.036161,-78d26m33.33s,-78.442593,-12.005,3.668,3.668,0,1,55.743,3.668,3.668,0,1,2458627.942006,0.002617,7.942733,0.001345,1.693639,0.070568291666667,0.189046,0.007876916666667,6803.095717,0.6803095717,603.14777,0.060314777,6.715009,0.599072977071996,0.886664,0.079102863770185,,,,33.081102,,,,,611.666566,,,,,12.459,0.018,154.51199,,,0,1,4320,173,173,4.57232,0.231441,0.231441,0.704304,0.0702,0.0702,0.441340410687538,2019-07-15 19:20:09,2019-07-31 10:32:40
