Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
Kepler-272d,5297,200.0,200.0,-0.16,0.5,0.5,0.838,,,0.929,0.497,0.497,4.426,0.3,0.3,1.474,0.819,0.819,,,,,,,,,,0.201,0.109,0.109,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,56,30.61,47,35,37.8,14.91,12.7,0.1285,0.04,2454969.98503,0.00372,10.937304,7.3e-05,2014ApJ...784...45R,0.89,0.0004943466250389263,15.569821222149798,14.310821222149798,13.900821222149798,12.800821222149798
Kepler-273b,5626,200.0,200.0,-0.48,0.5,0.5,0.79,,,0.815,0.464,0.464,4.514,0.3,0.3,2.059,0.903,0.903,,,,,,,,,,0.134,0.077,0.077,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,12.53,47,41,51.9,15.15,13.21,0.071,0.03,2454968.71482,0.00188,2.936532,9e-06,2014ApJ...784...45R,0.04,0.00028547314915559576,15.66501546101463,14.608015461014629,14.24701546101463,13.35001546101463
Kepler-273c,5626,200.0,200.0,-0.48,0.5,0.5,0.79,,,0.815,0.464,0.464,4.514,0.3,0.3,2.059,0.903,0.903,,,,,,,,,,0.177,0.103,0.103,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,12.53,47,41,51.9,15.15,13.21,0.1408,0.04,2454967.83202,0.00375,8.014927,5.2e-05,2014ApJ...784...45R,0.94,0.000498083553680979,15.66501546101463,14.608015461014629,14.24701546101463,13.35001546101463
Kepler-274b,6023,200.0,200.0,-0.19,0.5,0.5,1.017,,,1.007,0.541,0.541,4.44,0.3,0.3,1.405,0.514,0.514,,,,,,,,,,0.137,0.075,0.075,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,31,41.46,38,28,38.2,15.2,13.45,0.2309,0.02,2454973.49696,0.0072,11.634788,0.000134,2014ApJ...784...45R,0.2,0.00019545783315609057,15.584814020730837,14.720814020730838,14.412814020730838,13.692814020730838
Kepler-274c,6023,200.0,200.0,-0.19,0.5,0.5,1.017,,,1.007,0.541,0.541,4.44,0.3,0.3,1.405,0.514,0.514,,,,,,,,,,0.164,0.089,0.089,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,31,41.46,38,28,38.2,15.2,13.45,0.1893,0.03,2454975.10044,0.01769,33.197861,0.000894,2014ApJ...784...45R,0.14,0.000280091314431574,15.584814020730837,14.720814020730838,14.412814020730838,13.692814020730838
Kepler-275b,6165,100.0,100.0,-0.07,0.1,0.1,1.175,,,1.383,0.258,0.258,4.229,0.15,0.15,0.627,0.342,0.342,,,,,,,,,,0.209,0.04,0.04,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,55.13,38,30,53.7,15.4,13.95,0.207,0.03,2454975.73999,0.01185,10.300682,0.000254,2014ApJ...784...45R,0.57,0.00024116767618232303,15.755659339808513,14.925659339808513,14.626659339808514,13.935659339808513
Kepler-275c,6165,100.0,100.0,-0.07,0.1,0.1,1.175,,,1.383,0.258,0.258,4.229,0.15,0.15,0.627,0.342,0.342,,,,,,,,,,0.302,0.057,0.057,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,55.13,38,30,53.7,15.4,13.95,0.2453,0.06,2454972.49745,0.00519,16.088134,0.000164,2014ApJ...784...45R,0.06,0.0005035474631655087,15.755659339808513,14.925659339808513,14.626659339808514,13.935659339808513
Kepler-275d,6165,100.0,100.0,-0.07,0.1,0.1,1.175,,,1.383,0.258,0.258,4.229,0.15,0.15,0.627,0.342,0.342,,,,,,,,,,0.297,0.066,0.066,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,55.13,38,30,53.7,15.4,13.95,0.3181,0.05,2454978.00066,0.01103,35.676062,0.000641,2014ApJ...784...45R,0.73,0.0004870117338972671,15.755659339808513,14.925659339808513,14.626659339808514,13.935659339808513
Kepler-276b,6105,200.0,200.0,0.01,0.5,0.5,1.129,,,1.046,0.485,0.485,4.453,0.3,0.3,1.392,0.413,0.413,,,,,,,,,,0.256,0.12,0.12,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,16.36,39,2,10.8,15.52,13.83,0.1555,0.06,2454975.89515,0.00418,14.12841,0.000111,2014ApJ...784...45R,0.85,0.0006325392047471598,15.89325645924093,15.029256459240932,14.721256459240932,14.001256459240931
Kepler-276c,6105,200.0,200.0,0.01,0.5,0.5,1.129,,,1.046,0.485,0.485,4.453,0.3,0.3,1.392,0.413,0.413,,,,,,,,0.259,0.0,0.303,0.152,0.152,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,34,16.36,39,2,10.8,15.52,13.83,0.2215,0.09,2454993.20451,0.00533,31.884362,0.000323,2014ApJ...784...45R,,0.0008861204810887451,15.89325645924093,15.029256459240932,14.721256459240932,14.001256459240931
