Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
TOI-1064b,4374,67.0,67.0,0.05,0.08,0.08,0.748,0.032,0.032,0.726,0.007,0.007,4.6,0.06,0.06,1.95,0.1,0.1,0.047,0.038,0.03,0.06152,0.00086,0.00089,0.0425,0.0053,0.0057,0.2308,0.0038,0.0037,19.7,2.5,2.7,3.23,0.41,0.46,784.0,13.0,13.0,arXiv:2201.03570,arXiv:2201.03570,TEP,19,44,0.95,-47,33,41.8,10.95,8.47,0.0825,0.1,2459036.8534,0.00057,6.443868,2.5e-05,arXiv:2201.03570,0.728,0.0010672575953694706,11.997716951160188,10.192716951160188,9.617716951160187,8.028716951160186
TOI-1064c,4374,67.0,67.0,0.05,0.08,0.08,0.748,0.032,0.032,0.726,0.007,0.007,4.6,0.06,0.06,1.95,0.1,0.1,0.088,0.081,0.064,0.0943,0.0013,0.0014,0.0079,0.0057,0.0063,0.2365,0.0038,0.0037,3.5,2.4,2.8,0.58,0.37,0.46,634.0,10.0,10.0,arXiv:2201.03570,arXiv:2201.03570,TEP,19,44,0.95,-47,33,41.8,10.95,8.47,0.0987,0.1,2459043.51289,0.00068,12.226574,4.5e-05,arXiv:2201.03570,0.753,0.001120624041436088,11.997716951160188,10.192716951160188,9.617716951160187,8.028716951160186
TOI-1130b,4250,67.0,67.0,0.2,0.3,0.0,0.684,0.016,0.017,0.687,0.015,0.015,4.6,0.02,0.02,2.1,0.14,0.12,0.22,0.11,0.11,0.04394,0.00035,0.00038,,0.17,0.0,0.326,0.009,0.009,,,,,,,810.0,15.0,15.0,arXiv:2003.10852,arXiv:2003.10852,TEP,19,5,30.24,-41,26,15.5,11.37,8.35,0.096,0.3,2458658.74627,0.0007,4.066499,4.6e-05,arXiv:2003.10852,0.48,0.0023778946659677876,12.540716951160187,10.512716951160186,9.835716951160187,8.093716951160188
TOI-1130c,4250,67.0,67.0,0.2,0.3,0.0,0.684,0.016,0.017,0.687,0.015,0.015,4.6,0.02,0.02,2.1,0.14,0.12,0.047,0.04,0.027,0.07098,0.00056,0.0006,0.974,0.043,0.044,1.5,0.27,0.22,,,,0.29,0.18,0.11,647.0,12.0,12.0,arXiv:2003.10852,arXiv:2003.10852,TEP,19,5,30.24,-41,26,15.5,11.37,8.35,0.0842,1.6,2458657.90461,0.00022,8.350381,3.3e-05,arXiv:2003.10852,0.995,0.050343097203766826,12.540716951160187,10.512716951160186,9.835716951160187,8.093716951160188
TOI-1201,3476,51.0,51.0,0.05,0.16,0.16,0.512,0.02,0.02,0.508,0.016,0.016,4.8,0.04,0.04,3.88,0.41,0.35,0.0,,,0.0287,0.0012,0.0012,0.0198,0.0026,0.0028,0.215,0.008,0.008,10.5,1.8,1.6,1.85,0.36,0.32,703.0,15.0,14.0,arXiv:2109.09346,arXiv:2109.09346,TEP,2,48,59.27,-14,32,14.9,12.66,8.65,0.062,0.25,2459169.23222,0.0005,2.4919863,3.1e-06,arXiv:2109.09346,0.404,0.0018915611338643128,14.095716951160188,11.532716951160188,10.267716951160187,8.143716951160188
TOI-1227,3072,74.0,74.0,,,,0.17,0.015,0.015,0.56,0.03,0.03,,,,0.705,0.062,0.072,0.0,0.2,0.0,0.0886,0.0054,0.0057,,0.5,0.0,0.854,0.067,0.052,,,,,,,,,,arXiv:2110.09531,arXiv:2110.09531,TEP,12,27,4.32,-72,27,6.4,17.19,11.03,0.2013,2.5,2458617.4621,0.0016,27.36397,0.00011,arXiv:2110.09531,0.849,0.024558994058204605,18.67016649136571,15.605166491365708,13.877166491365708,11.310166491365708
TOI-1231,3562,101.0,101.0,0.05,0.08,0.08,0.485,0.024,0.024,0.476,0.015,0.014,4.767,0.033,0.035,4.47,0.48,0.45,0.087,0.12,0.061,0.1288,0.0021,0.0022,0.048,0.01,0.01,0.326,0.014,0.013,11.3,2.7,2.5,1.31,0.35,0.32,330.0,4.0,4.0,arXiv:2105.08077,arXiv:2105.08077,TEP,10,26,59.34,-52,28,4.2,12.32,8.07,0.135,0.5,2458563.88838,0.00058,24.245586,6.5e-05,arXiv:2105.08077,0.27,0.004953272048240552,13.733716951160188,11.232716951160189,10.060716951160188,7.993716951160188
TOI-1235,3997,51.0,51.0,0.33,0.16,0.16,0.63,0.024,0.024,0.619,0.019,0.019,4.64,0.04,0.04,2.65,0.22,0.22,0.0,,,0.03826,0.00048,0.00049,0.0186,0.0019,0.0019,0.1511,0.0071,0.0069,20.1,3.0,2.7,5.1,1.0,0.8,775.0,13.0,13.0,arXiv:2004.06218,arXiv:2004.06218,TEP,10,8,51.81,69,16,35.6,11.5,7.89,0.078,0.05,2458683.6155,0.0016,3.444717,4.1e-05,arXiv:2004.06218,0.25,0.0006292431801840003,12.793716951160187,10.556716951160189,9.749716951160188,7.869716951160187
TOI-1238b,4089,54.0,54.0,0.31,0.19,0.19,0.59,0.02,0.02,0.58,0.02,0.02,4.63,0.06,0.06,,,,0.0,0.25,0.0,0.0139,0.0008,0.0008,0.0118,0.0036,0.0034,0.108,0.009,0.01,,,,8.8,3.2,2.6,,,,arXiv:2111.14602,arXiv:2111.14602,TEP,13,25,31.76,68,50,9.8,12.8,9.18,0.0467,0.04,2458684.1022,0.0031,0.764596,1.5e-05,arXiv:2111.14602,0.32,0.00036615284295407087,14.053716951160188,11.887716951160188,11.133716951160189,9.29571695116019
TOI-1238c,4089,54.0,54.0,0.31,0.19,0.19,0.59,0.02,0.02,0.58,0.02,0.02,4.63,0.06,0.06,,,,0.0,0.15,0.0,0.037,0.002,0.002,0.0262,0.0028,0.0028,0.188,0.012,0.012,,,,3.7,1.9,1.4,,,,arXiv:2111.14602,arXiv:2111.14602,TEP,13,25,31.76,68,50,9.8,12.8,9.18,0.0733,0.11,2458707.3521,0.0019,3.294733,4.4e-05,arXiv:2111.14602,0.39,0.001109508408896492,14.053716951160188,11.887716951160188,11.133716951160189,9.29571695116019
TOI-1259,4775,100.0,100.0,-0.5,0.5,0.5,0.744,0.064,0.059,0.711,0.02,0.019,4.605,0.013,0.013,2.07,0.02,0.03,0.0,0.132,0.0,0.0407,0.0011,0.0011,0.441,0.049,0.047,1.022,0.03,0.027,10.5,1.0,0.9,0.387,0.038,0.036,963.0,21.0,21.0,arXiv:2101.02707,arXiv:2101.02707,TEP,18,48,24.07,79,15,21.8,12.08,9.72,0.10314,2.7,2458686.70053,0.0001,3.477978,1.8e-06,arXiv:2101.02707,0.065,0.021818931398106596,12.983716951160188,11.449716951160188,10.968716951160188,9.583716951160188
TOI-1260b,4227,85.0,85.0,-0.1,0.07,0.07,0.66,0.01,0.01,0.65,0.01,0.01,4.57,0.05,0.05,2.43,0.06,0.06,0.0,,,0.0366,0.0022,0.0036,0.0271,0.0043,0.0046,0.2083,0.009,0.0085,15.4,2.9,2.9,2.78,0.61,0.57,860.0,47.0,31.0,arXiv:2104.05653,arXiv:2104.05653,TEP,10,28,34.56,65,51,15.1,11.88,8.95,0.0818,0.1,2458684.0128,0.0019,3.12748,0.00042,arXiv:2104.05653,0.26,0.0010844829119380642,13.050716951160188,11.022716951160188,10.345716951160188,8.60371695116019
TOI-1260c,4227,85.0,85.0,-0.1,0.07,0.07,0.66,0.01,0.01,0.65,0.01,0.01,4.57,0.05,0.05,2.43,0.06,0.06,0.0,,,0.0656,0.0039,0.0065,0.0327,0.0106,0.0102,0.252,0.013,0.014,14.5,4.5,4.1,2.16,0.74,0.65,643.0,35.0,23.0,arXiv:2104.05653,arXiv:2104.05653,TEP,10,28,34.56,65,51,15.1,11.88,8.95,0.082,0.2,2458686.1179,0.0034,7.49325,0.00014,arXiv:2104.05653,0.714,0.0015872497046989405,13.050716951160188,11.022716951160188,10.345716951160188,8.60371695116019
TOI-1266b,3573,35.0,38.0,-0.08,0.13,0.12,0.437,0.021,0.021,0.4232,0.0077,0.0079,4.826,0.02,0.021,5.76,0.33,0.33,0.0,,,0.0745,0.0046,0.0069,,0.05,0.0,0.2193,0.0074,0.0066,,,,,,,287.0,15.0,11.0,arXiv:2006.11180,arXiv:2006.11180,TEP,13,11,59.18,65,50,1.3,12.94,8.84,0.0879,0.28,2458691.005,0.0011,10.894879,7e-06,arXiv:2006.11180,0.38,0.002835677465510114,14.353716951160187,11.852716951160188,10.680716951160187,8.613716951160187
TOI-1266c,3573,35.0,38.0,-0.08,0.13,0.12,0.437,0.021,0.021,0.4232,0.0077,0.0079,4.826,0.02,0.021,5.76,0.33,0.33,0.0,,,0.1037,0.0026,0.0025,,0.02,0.0,0.1492,0.0077,0.0095,,,,,,,243.0,6.0,6.0,arXiv:2006.11180,arXiv:2006.11180,TEP,13,11,59.18,65,50,1.3,12.94,8.84,0.0767,0.13,2458689.9589,0.0055,18.80152,6.1e-05,arXiv:2006.11180,0.61,0.0013125541059702474,14.353716951160187,11.852716951160188,10.680716951160187,8.613716951160187
TOI-1268,5257,40.0,40.0,0.17,0.06,0.06,0.9,0.13,0.13,0.86,0.02,0.02,4.52,0.07,0.07,1.4,0.23,0.23,0.12,0.24,0.12,0.0688,0.0017,0.0019,0.29,0.04,0.04,0.747,0.018,0.018,,,,,,,,,,arXiv:2201.12836,arXiv:2201.13341,TEP,13,13,33.41,62,18,19.6,10.92,9.41,0.18,1.0,2458703.5895,0.0003,8.157728,5e-07,arXiv:2201.12836,0.423,0.007967373702106283,11.649716951160189,10.390716951160188,9.980716951160188,8.880716951160188
TOI-1278,3799,42.0,42.0,-0.01,0.28,0.28,0.55,0.02,0.02,0.573,0.012,0.012,4.68,0.1,0.1,,,,0.013,0.004,0.004,0.095,0.001,0.001,18.5,0.5,0.5,1.09,0.24,0.2,,,,14.0,11.0,6.0,,,,arXiv:2106.04536,arXiv:2106.04536,TEP,21,21,54.95,35,38,55.7,13.51,9.74,0.08,1.0,2458711.9595,0.0013,14.47567,2.1e-05,arXiv:2106.04536,1.04,0.03821330833969316,14.836004708747955,12.492004708747956,11.557004708747955,9.615004708747955
TOI-1296,5603,47.0,47.0,0.44,0.04,0.04,1.17,0.14,0.14,1.664,0.041,0.041,4.05,0.1,0.1,,,,0.055,0.061,0.038,0.0497,0.0023,0.0028,0.298,0.039,0.039,1.231,0.031,0.031,,,,0.149,0.023,0.023,1562.0,43.0,31.0,arXiv:2109.09252,arXiv:2109.09252,TEP,17,7,5.02,70,14,18.6,11.37,9.74,0.19,0.7,2458930.75532,0.00019,3.9443715,5.8e-06,arXiv:2109.09252,0.13,0.005779367995610055,11.987716951160188,10.895716951160187,10.525716951160186,9.592716951160186
TOI-1298,5889,43.0,43.0,0.49,0.03,0.03,1.44,0.1,0.1,1.412,0.033,0.033,4.39,0.08,0.08,,,,0.032,0.034,0.023,0.059,0.0023,0.0023,0.356,0.032,0.032,0.841,0.021,0.021,,,,0.56,0.069,0.069,1388.0,24.0,24.0,arXiv:2109.09252,arXiv:2109.09252,TEP,16,5,17.61,70,11,23.5,11.89,10.01,0.16,0.4,2458929.58558,0.00031,4.537164,1.2e-05,arXiv:2109.09252,0.16,0.0037462217832388606,12.407716951160188,11.463716951160189,11.131716951160188,10.345716951160188
TOI-1338,5990,98.0,92.0,0.01,0.05,0.05,1.038,0.068,0.069,1.299,0.024,0.026,4.0,0.08,0.08,,,,0.0928,0.0043,0.0033,0.4491,0.0084,0.0088,0.095,0.064,0.062,0.599,0.017,0.017,,,,0.41,0.26,0.25,,,,arXiv:2004.07783,arXiv:2004.07783,CBP,6,8,31.97,-59,32,28.1,12.0,10.64,0.4,0.2,2458341.43,0.76,95.141,0.033,arXiv:2004.07783,0.42407564,0.0022454646855759606,12.465716951160188,11.601716951160189,11.293716951160189,10.573716951160188
TOI-1431,7690,400.0,250.0,0.43,0.2,0.28,1.9,0.1,0.08,1.92,0.07,0.07,4.15,0.04,0.04,0.27,0.04,0.04,0.01,0.0036,0.009,0.046,0.002,0.002,3.14,0.19,0.18,1.49,0.05,0.05,34.5,0.9,0.9,0.89,0.15,0.13,2390.0,100.0,100.0,arXiv:2104.12078,arXiv:2104.12078,TEP,21,4,48.89,55,35,16.9,8.05,7.44,0.1,0.6,2458739.17736,7e-05,2.65022,1e-05,arXiv:2104.12078,,0.006359763503106902,8.17371695116019,7.846716951160189,7.721716951160189,7.435716951160188
TOI-1442,3304,50.0,50.0,0.11,0.07,0.07,0.2843,0.0065,0.0065,0.3105,0.0089,0.0089,4.91,0.03,0.03,9.5,0.8,0.8,0.0,,,0.00697,0.00042,0.00048,,0.056,0.0,0.112,0.044,0.039,,,,,,,1359.0,49.0,42.0,arXiv:2201.13274,arXiv:2201.13274,TEP,19,9,10.11,74,10,27.6,15.39,10.09,0.0271,0.1,2458683.45192,0.00035,0.4090682,4e-07,arXiv:2201.13274,0.33,0.0013739904779686628,16.818209699879464,14.038209699879463,12.536209699879464,10.216209699879464
TOI-1444,5430,90.0,90.0,0.13,0.06,0.06,0.934,0.038,0.038,0.907,0.016,0.016,4.49,0.03,0.03,0.879,0.071,0.071,0.0,,,,,,0.0121,0.0022,0.0022,0.1246,0.0057,0.0057,,,,,,,,,,arXiv:2105.08844,arXiv:2105.08844,TEP,20,21,53.98,70,56,37.3,10.94,9.06,0.058,0.02,2458711.3676,0.0016,0.4702694,4.4e-06,arXiv:2105.08844,0.38,0.00019929316173951058,11.590716951160188,10.449716951160188,10.067716951160188,9.085716951160187
TOI-1518,7300,100.0,100.0,-0.1,0.12,0.12,1.79,0.26,0.26,1.95,0.048,0.048,4.1,0.2,0.2,,,,0.0,0.01,0.0,0.0389,0.0011,0.0011,,2.3,0.0,1.875,0.053,0.053,,,,,,,2492.0,38.0,38.0,arXiv:2108.11403,arXiv:2108.11403,TEP,23,29,4.22,67,2,5.4,8.95,8.33,0.114,0.8,2458787.049255,9.4e-05,1.902603,1.1e-05,arXiv:2108.11403,0.9036,0.009763470267983495,9.157716951160188,8.697716951160187,8.524716951160187,8.131716951160188
TOI-1634,3472,48.0,48.0,0.191,0.085,0.085,0.452,0.014,0.014,0.451,0.015,0.051,4.833,0.028,0.028,4.93,0.43,0.48,0.0,,,0.01491,0.0015,0.0015,0.0313,0.003,0.003,0.1582,0.0069,0.0069,,,,7.4,1.3,1.1,921.0,21.0,21.0,arXiv:2103.12760,arXiv:2103.12760,TEP,3,45,33.64,37,6,44.0,13.22,8.6,0.04,0.1,2458791.5144,0.0012,0.9893457,3.4e-06,arXiv:2103.12760,0.24,0.0012993637939925056,14.647461550095969,12.084461550095968,10.81946155009597,8.695461550095969
TOI-1670b,6170,61.0,61.0,0.09,0.07,0.07,1.21,0.02,0.02,1.316,0.019,0.019,4.29,0.11,0.11,0.54,0.026,0.026,0.59,0.17,0.26,0.103,0.002,0.002,,0.041,0.0,0.184,0.017,0.013,,,,,,,1062.0,14.0,13.0,arXiv:2203.04334,arXiv:2203.04334,TEP,17,16,4.16,72,9,40.2,9.89,8.72,0.117,0.02,2458721.9423,0.0067,10.98462,0.00049,arXiv:2203.04334,0.61,0.0002064404295872784,10.333716951160188,9.503716951160188,9.204716951160188,8.51371695116019
TOI-1670c,6170,61.0,61.0,0.09,0.07,0.07,1.21,0.02,0.02,1.316,0.019,0.019,4.29,0.11,0.11,0.54,0.026,0.026,0.09,0.05,0.04,0.249,0.005,0.005,0.63,0.09,0.08,0.987,0.025,0.025,,,,0.61,0.19,0.08,684.0,9.0,9.0,arXiv:2203.04334,arXiv:2203.04334,TEP,17,16,4.16,72,9,40.2,9.89,8.72,0.225,0.6,2458750.88286,0.00084,40.74976,0.00022,arXiv:2203.04334,0.76,0.005940095311041157,10.333716951160188,9.503716951160188,9.204716951160188,8.51371695116019
TOI-1685,3434,51.0,51.0,-0.13,0.16,0.16,0.495,0.019,0.019,0.492,0.015,0.051,4.85,0.04,0.04,4.108,0.043,0.045,0.0,,,,,,0.0119,0.002,0.002,0.152,0.006,0.006,12.8,2.5,2.3,3.17,0.69,0.64,1069.0,16.0,16.0,arXiv:2103.01016,arXiv:2103.01016,TEP,4,34,22.55,43,2,13.3,13.38,8.76,0.04,0.1,2458816.22615,0.0006,0.6691403,2.2e-06,arXiv:2103.01016,0.473,0.0010079241637935598,14.82395794938649,12.200957949386488,10.859957949386489,8.67995794938649
TOI-1696,3185,76.0,76.0,0.336,0.06,0.06,0.255,0.007,0.007,0.277,0.008,0.008,4.959,0.026,0.062,11.9,1.1,1.0,0.0,,,0.0229,0.0002,0.0002,,0.31,0.0,0.276,0.01,0.01,,,,,,,489.0,13.0,13.0,arXiv:2203.02694,arXiv:2203.02694,TEP,4,21,7.36,48,49,11.4,16.82,11.33,0.042,0.1,2458834.20115,0.00058,2.500311,4e-06,arXiv:2203.02694,0.59,0.010484060360521285,18.25437513306846,15.35237513306846,13.76237513306846,11.34337513306846
TOI-1728,3975,77.0,77.0,0.09,0.13,0.13,0.646,0.032,0.022,0.624,0.01,0.01,4.657,0.017,0.017,2.68,0.13,0.13,0.057,0.054,0.039,0.0391,0.0009,0.0009,0.084,0.017,0.016,0.451,0.014,0.015,10.37,0.29,0.3,0.86,0.2,0.18,767.0,8.0,8.0,arXiv:2006.14546,arXiv:2006.14546,TEP,8,2,26.55,64,47,48.9,12.4,8.8,0.0817,0.6,2458843.27427,0.00043,3.49151,6.2e-05,arXiv:2006.14546,0.39,0.005516387822161416,13.693716951160189,11.456716951160189,10.649716951160189,8.769716951160188
TOI-1749b,3985,55.0,55.0,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,,,,0.02,0.06,0.02,0.0291,0.0005,0.0005,0.06,0.07,0.04,0.124,0.019,0.017,,,,,,,831.0,18.0,18.0,arXiv:2107.05430,arXiv:2107.05430,TEP,18,50,56.93,64,25,10.1,13.86,10.27,0.04,0.05,2458684.3613,0.006,2.388821,6.5e-05,arXiv:2107.05430,,0.000536770794505455,15.122346427116153,12.885346427116154,12.078346427116154,10.198346427116153
TOI-1749c,3985,55.0,55.0,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,,,,0.007,0.007,0.005,0.0443,0.0008,0.0008,0.007,0.018,0.005,0.189,0.011,0.011,,,,,,,673.0,15.0,15.0,arXiv:2107.05430,arXiv:2107.05430,TEP,18,50,56.93,64,25,10.1,13.86,10.27,0.08,0.13,2458685.9386,0.0025,4.48901,5e-05,arXiv:2107.05430,,0.0012470076450656446,15.122346427116153,12.885346427116154,12.078346427116154,10.198346427116153
TOI-1749d,3985,55.0,55.0,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,,,,0.015,0.017,0.011,0.0707,0.0012,0.0012,0.014,0.02,0.011,0.225,0.013,0.013,,,,,,,533.0,12.0,12.0,arXiv:2107.05430,arXiv:2107.05430,TEP,18,50,56.93,64,25,10.1,13.86,10.27,0.07,0.17,2458688.7805,0.0028,9.04455,0.00012,arXiv:2107.05430,,0.0017673010842767078,15.122346427116153,12.885346427116154,12.078346427116154,10.198346427116153
TOI-1759,4065,51.0,51.0,0.05,0.16,0.16,0.606,0.02,0.02,0.597,0.015,0.051,4.65,0.04,0.04,2.8,0.23,0.23,0.0,,,0.1177,0.0038,0.0038,0.034,0.0047,0.0047,0.28,0.009,0.009,10.7,1.6,1.6,1.44,0.24,0.24,443.0,7.0,7.0,arXiv:2202.01240,arXiv:2202.01240,TEP,21,47,24.39,62,45,13.7,11.5,7.93,0.135,0.3,2458745.4654,0.0011,18.85019,0.00013,arXiv:2202.01240,0.5,0.002322941576225949,12.753716951160188,10.587716951160187,9.833716951160188,7.995716951160189
TOI-1789,5984,55.0,57.0,0.37,0.073,0.089,1.499,0.061,0.15,2.172,0.037,0.035,3.939,0.024,0.046,0.145,0.011,0.015,0.0,,,0.04873,0.00065,0.0016,0.7,0.16,0.16,1.4,0.22,0.13,8.5,3.2,2.9,0.23,0.1,0.11,1929.0,28.0,18.0,arXiv:2106.08660,arXiv:2106.08660,TEP,9,30,58.42,26,32,24.0,9.79,8.35,0.0957,0.3,2458873.65374,0.00072,3.208666,1.6e-05,arXiv:2106.08660,0.971,0.0043874008615485925,10.255716951160187,9.391716951160188,9.083716951160188,8.363716951160187
TOI-1807,4757,51.0,50.0,-0.029,0.061,0.043,0.75,0.025,0.024,0.68,0.015,0.015,4.648,0.021,0.02,2.38,0.16,0.15,,,,0.00812,0.00037,0.00038,,,,0.165,0.0038,0.0038,,,,,,,2100.0,39.0,40.0,2021AJ....162...54H,2021AJ....162..305H,TEP,13,25,8.0,38,55,20.9,10.11,7.57,0.1386,0.03,2457000.166,0.025,0.549372,7e-06,2021AJ....162...54H,0.546,0.0006217573811729931,11.013716951160188,9.479716951160187,8.998716951160187,7.613716951160187
TOI-1842,6230,50.0,50.0,0.22,0.05,0.05,1.46,0.03,0.03,2.02,0.05,0.05,4.1,0.1,0.1,0.18,0.02,0.02,0.0,0.25,0.0,0.1001,0.0007,0.0007,0.214,0.04,0.038,1.04,0.06,0.05,,,,,,,,,,arXiv:2112.00198,arXiv:2112.00198,TEP,13,27,51.04,9,1,50.3,9.81,8.45,0.18,0.3,2459402.4575,0.0025,9.5739,0.0002,arXiv:2112.00198,0.297230207,0.0027992057808807922,10.233716951160188,9.43371695116019,9.144716951160188,8.479716951160189
TOI-1899,3841,54.0,45.0,0.2,0.13,0.13,0.627,0.026,0.028,0.607,0.019,0.023,4.669,0.025,0.022,2.8,0.26,0.21,0.118,0.073,0.077,0.1587,0.0067,0.0075,0.66,0.07,0.07,1.37,0.05,0.06,8.8,1.1,1.1,0.24,0.04,0.05,362.0,7.0,7.0,arXiv:2007.07098,arXiv:2007.07098,TEP,19,57,42.44,40,8,36.1,14.29,10.51,0.201,4.0,2458711.9578,0.0012,29.02,0.3,arXiv:2007.07098,0.22,0.053794099116594274,15.587385985058663,13.243385985058662,12.308385985058662,10.366385985058663
TOI-2076b,5187,54.0,53.0,-0.09,0.04,0.04,0.824,0.035,0.037,0.77,0.006,0.006,4.605,0.018,0.019,1.93,0.12,0.11,0.0,,,0.0682,0.0013,0.0013,,,,0.2264,0.0032,0.0032,,,,,,,797.0,12.0,12.0,2021AJ....162...54H,arXiv:2203.03194,TEP,14,29,34.24,39,47,25.5,9.24,7.12,0.0405,0.02,2458940.4798,0.0011,10.35509,0.00067,arXiv:2203.03194,0.342,0.0009129400955880861,10.000716951160188,8.693716951160187,8.270716951160187,7.119716951160188
TOI-2076c,5187,54.0,53.0,-0.09,0.04,0.04,0.824,0.035,0.037,0.77,0.006,0.006,4.605,0.018,0.019,1.93,0.12,0.11,0.0,,,0.1093,0.0021,0.0021,,,,0.312,0.0038,0.0038,,,,,,,630.0,9.0,9.0,arXiv:2203.03194,arXiv:2203.03194,TEP,14,29,34.24,39,47,25.5,9.24,7.12,0.0405,0.02,2459274.084,0.0008,21.01538,0.00014,arXiv:2203.03194,0.07,0.0017337985058990364,10.000716951160188,8.693716951160187,8.270716951160187,7.119716951160188
TOI-2076d,5187,54.0,53.0,-0.09,0.04,0.04,0.824,0.035,0.037,0.77,0.006,0.006,4.605,0.018,0.019,1.93,0.12,0.11,0.0,,,0.1539,0.0029,0.0029,,,,0.2883,0.0056,0.0056,,,,,,,530.0,8.0,8.0,arXiv:2203.03194,arXiv:2203.03194,TEP,14,29,34.24,39,47,25.5,9.24,7.12,0.0405,0.02,2458938.2915,0.0014,35.12537,0.00074,arXiv:2203.03194,0.78,0.0014803987888002807,10.000716951160188,8.693716951160187,8.270716951160187,7.119716951160188
TOI-2109,6530,160.0,150.0,0.068,0.07,0.062,1.447,0.075,0.078,1.698,0.062,0.057,4.139,0.041,0.046,0.296,0.04,0.038,0.0,,,0.01791,0.00065,0.00065,5.02,0.75,0.75,1.347,0.047,0.047,69.0,12.0,10.0,,,,3646.0,88.0,88.0,arXiv:2111.12074,arXiv:2111.12074,TEP,16,52,44.72,16,34,47.8,10.22,9.07,0.08,0.6,2459378.45937,5.9e-05,0.67247414,2.8e-07,arXiv:2111.12074,,0.006645546578327213,10.57171695116019,9.881716951160188,9.627716951160188,9.054716951160188
TOI-2119,3553,67.0,67.0,0.1,0.1,0.1,0.53,0.02,0.02,0.51,0.01,0.01,4.74,0.04,0.04,4.0,0.3,0.3,0.3362,0.0005,0.0005,0.064,0.002,0.002,67.0,2.0,2.0,1.11,0.03,0.03,1439.0,27.0,26.0,45.0,4.0,4.0,,,,arXiv:2112.03959,arXiv:2112.03959,TEP,16,17,43.17,26,18,15.2,12.37,8.14,0.08496,5.0,2458958.67756,6e-05,7.200861,5e-06,arXiv:2112.03959,,0.050023778428698776,13.783716951160187,11.282716951160188,10.110716951160187,8.043716951160187
TOI-2136,3342,100.0,100.0,-0.01,0.08,0.08,0.3272,0.0082,0.0082,0.344,0.0099,0.0099,5.7,0.52,0.47,4.881,0.026,0.026,0.0,,,0.057,0.006,0.006,0.015,0.01,0.008,0.196,0.006,0.006,9.4,6.3,5.3,1.8,1.2,1.0,378.0,13.0,13.0,arXiv:2202.10024,arXiv:2202.10182,TEP,18,44,42.32,36,33,47.3,14.13,9.34,0.071,0.4,2459017.7043,0.0008,7.851928,1.7e-05,arXiv:2202.10024,0.458891758,0.0034281999499572923,15.546439945839092,12.92343994583909,11.582439945839091,9.402439945839092
TOI-2180,5695,58.0,60.0,0.25,0.06,0.06,1.111,0.047,0.046,1.636,0.033,0.029,4.057,0.015,0.016,0.254,0.011,0.011,0.3638,0.0073,0.0073,0.828,0.012,0.012,2.755,0.087,0.081,1.01,0.022,0.019,67.1,2.4,2.3,2.5,0.11,0.12,348.0,4.0,4.0,arXiv:2201.04146,arXiv:2201.04146,TEP,18,31,46.49,56,39,3.1,9.16,7.6,1.004,0.5,2458830.7652,0.001,260.79,0.59,arXiv:2201.04146,0.1,0.004024825311762899,9.747716951160188,8.699716951160188,8.340716951160188,7.452716951160188
TOI-2184,5966,136.0,136.0,0.14,0.08,0.08,1.53,0.12,0.12,2.9,0.14,0.14,3.7,0.05,0.05,0.063,0.01,0.01,0.08,0.07,0.07,,,,0.65,0.16,0.16,1.017,0.051,0.051,,,,0.57,0.15,0.15,,,,arXiv:2108.02294,arXiv:2108.02294,TEP,6,43,19.93,-66,56,51.5,12.01,10.41,0.283,0.15,2458332.126,0.002,6.90683,9e-05,arXiv:2108.02294,0.67,0.0012987237921334807,12.519716951160188,11.587716951160187,11.259716951160188,10.483716951160188
TOI-2202,5144,50.0,50.0,0.04,0.05,0.05,0.823,0.027,0.023,0.794,0.007,0.007,4.55,0.2,0.2,,,,0.042,0.026,0.008,0.0956,0.0016,0.0016,0.978,0.063,0.059,1.01,0.52,0.08,,,,,,,,,,arXiv:2108.05323,arXiv:2108.05323,TEP,3,24,54.87,-73,57,27.3,13.0,10.8,0.16,2.0,2458362.84356,0.00085,11.9101,0.0027,arXiv:2108.05323,0.723208261,0.01708726793462326,13.760716951160187,12.453716951160187,12.030716951160189,10.879716951160189
