# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun  7 06:36:29 2017
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
263,GJ 3470 b,1.25000,,,,,,,,,,0.07950,0.00351,-0.00351,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
264,GJ 3470 b,1.25500,,,,,,,,,,0.08140,0.00293,-0.00293,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
265,GJ 3470 b,1.26000,,,,,,,,,,0.07542,0.00301,-0.00301,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
266,GJ 3470 b,1.26400,,,,,,,,,,0.07561,0.00270,-0.00270,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
267,GJ 3470 b,1.26900,,,,,,,,,,0.07215,0.00312,-0.00312,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
268,GJ 3470 b,1.27400,,,,,,,,,,0.07912,0.00276,-0.00276,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
269,GJ 3470 b,1.27800,,,,,,,,,,0.08033,0.00279,-0.00279,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
270,GJ 3470 b,1.28300,,,,,,,,,,0.08141,0.00267,-0.00267,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
271,GJ 3470 b,1.28800,,,,,,,,,,0.07550,0.00235,-0.00235,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
272,GJ 3470 b,1.29200,,,,,,,,,,0.07464,0.00343,-0.00343,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
273,GJ 3470 b,1.29700,,,,,,,,,,0.08013,0.00327,-0.00327,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
274,GJ 3470 b,1.30100,,,,,,,,,,0.08059,0.00295,-0.00295,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
275,GJ 3470 b,1.30600,,,,,,,,,,0.08206,0.00294,-0.00294,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
276,GJ 3470 b,1.31100,,,,,,,,,,0.07435,0.00325,-0.00325,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
277,GJ 3470 b,1.31500,,,,,,,,,,0.07955,0.00316,-0.00316,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
278,GJ 3470 b,1.32000,,,,,,,,,,0.07844,0.00273,-0.00273,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
279,GJ 3470 b,1.32500,,,,,,,,,,0.08461,0.00234,-0.00234,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
280,GJ 3470 b,1.32900,,,,,,,,,,0.08012,0.00254,-0.00254,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
281,GJ 3470 b,1.33400,,,,,,,,,,0.07955,0.00248,-0.00248,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
282,GJ 3470 b,1.33900,,,,,,,,,,0.07273,0.00313,-0.00313,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
283,GJ 3470 b,1.34300,,,,,,,,,,0.08083,0.00260,-0.00260,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
284,GJ 3470 b,1.34800,,,,,,,,,,0.08193,0.00292,-0.00292,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
285,GJ 3470 b,1.35300,,,,,,,,,,0.08189,0.00263,-0.00263,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
286,GJ 3470 b,1.35700,,,,,,,,,,0.08571,0.00226,-0.00226,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
287,GJ 3470 b,1.36200,,,,,,,,,,0.08306,0.00254,-0.00254,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
288,GJ 3470 b,1.36600,,,,,,,,,,0.07876,0.00269,-0.00269,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
289,GJ 3470 b,1.37100,,,,,,,,,,0.07241,0.00288,-0.00288,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
290,GJ 3470 b,1.37600,,,,,,,,,,0.08271,0.00286,-0.00286,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
291,GJ 3470 b,1.38000,,,,,,,,,,0.07755,0.00253,-0.00253,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
292,GJ 3470 b,1.38500,,,,,,,,,,0.07185,0.00294,-0.00294,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
293,GJ 3470 b,1.39000,,,,,,,,,,0.07631,0.00280,-0.00280,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
294,GJ 3470 b,1.39400,,,,,,,,,,0.07902,0.00241,-0.00241,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
295,GJ 3470 b,1.39900,,,,,,,,,,0.07898,0.00255,-0.00255,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
296,GJ 3470 b,1.40400,,,,,,,,,,0.07616,0.00258,-0.00258,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
297,GJ 3470 b,1.40800,,,,,,,,,,0.08306,0.00289,-0.00289,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
298,GJ 3470 b,1.41300,,,,,,,,,,0.07857,0.00226,-0.00226,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
299,GJ 3470 b,1.41800,,,,,,,,,,0.06891,0.00329,-0.00329,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
300,GJ 3470 b,1.42200,,,,,,,,,,0.08018,0.00278,-0.00278,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
301,GJ 3470 b,1.42700,,,,,,,,,,0.07342,0.00328,-0.00328,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
302,GJ 3470 b,1.43200,,,,,,,,,,0.08046,0.00212,-0.00212,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
303,GJ 3470 b,1.43600,,,,,,,,,,0.07819,0.00281,-0.00281,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
304,GJ 3470 b,1.44100,,,,,,,,,,0.08028,0.00242,-0.00242,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
305,GJ 3470 b,1.44500,,,,,,,,,,0.08427,0.00233,-0.00233,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
306,GJ 3470 b,1.45000,,,,,,,,,,0.07419,0.00296,-0.00296,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
307,GJ 3470 b,1.45500,,,,,,,,,,0.07692,0.00272,-0.00272,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
308,GJ 3470 b,1.45900,,,,,,,,,,0.08261,0.00239,-0.00239,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
309,GJ 3470 b,1.46400,,,,,,,,,,0.08052,0.00239,-0.00239,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
310,GJ 3470 b,1.46900,,,,,,,,,,0.07318,0.00245,-0.00245,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
311,GJ 3470 b,1.47300,,,,,,,,,,0.07988,0.00235,-0.00235,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
312,GJ 3470 b,1.47800,,,,,,,,,,0.08339,0.00221,-0.00221,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
313,GJ 3470 b,1.48300,,,,,,,,,,0.07779,0.00239,-0.00239,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
314,GJ 3470 b,1.48700,,,,,,,,,,0.07916,0.00180,-0.00180,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
315,GJ 3470 b,1.49200,,,,,,,,,,0.07709,0.00220,-0.00220,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
316,GJ 3470 b,1.49700,,,,,,,,,,0.08431,0.00218,-0.00218,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
317,GJ 3470 b,1.50100,,,,,,,,,,0.07801,0.00211,-0.00211,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
318,GJ 3470 b,1.50600,,,,,,,,,,0.07541,0.00238,-0.00238,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
319,GJ 3470 b,1.51000,,,,,,,,,,0.07906,0.00239,-0.00239,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
320,GJ 3470 b,1.51500,,,,,,,,,,0.07506,0.00249,-0.00249,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
321,GJ 3470 b,1.52000,,,,,,,,,,0.07624,0.00196,-0.00196,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
322,GJ 3470 b,1.52400,,,,,,,,,,0.07865,0.00259,-0.00259,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
323,GJ 3470 b,1.52900,,,,,,,,,,0.07707,0.00254,-0.00254,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
324,GJ 3470 b,1.53400,,,,,,,,,,0.07780,0.00240,-0.00240,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
325,GJ 3470 b,1.53800,,,,,,,,,,0.07305,0.00255,-0.00255,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
326,GJ 3470 b,1.54300,,,,,,,,,,0.07378,0.00458,-0.00458,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
327,GJ 3470 b,1.54800,,,,,,,,,,0.07773,0.00277,-0.00277,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
328,GJ 3470 b,1.55200,,,,,,,,,,0.07739,0.00247,-0.00247,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
329,GJ 3470 b,1.55700,,,,,,,,,,0.08317,0.00223,-0.00223,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
330,GJ 3470 b,1.56200,,,,,,,,,,0.07987,0.00209,-0.00209,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
331,GJ 3470 b,1.56600,,,,,,,,,,0.07515,0.00213,-0.00213,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
332,GJ 3470 b,1.57100,,,,,,,,,,0.08324,0.00222,-0.00222,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
333,GJ 3470 b,1.57500,,,,,,,,,,0.08242,0.00232,-0.00232,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
334,GJ 3470 b,1.58000,,,,,,,,,,0.07739,0.00230,-0.00230,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
335,GJ 3470 b,1.58500,,,,,,,,,,0.07902,0.00204,-0.00204,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
336,GJ 3470 b,1.58900,,,,,,,,,,0.07823,0.00244,-0.00244,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
337,GJ 3470 b,1.59400,,,,,,,,,,0.07863,0.00253,-0.00253,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
338,GJ 3470 b,1.59900,,,,,,,,,,0.08002,0.00238,-0.00238,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
339,GJ 3470 b,1.60300,,,,,,,,,,0.07578,0.00261,-0.00261,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
340,GJ 3470 b,1.60800,,,,,,,,,,0.07894,0.00239,-0.00239,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
341,GJ 3470 b,1.61300,,,,,,,,,,0.08069,0.00255,-0.00255,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
342,GJ 3470 b,1.61700,,,,,,,,,,0.08044,0.00227,-0.00227,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
343,GJ 3470 b,1.62200,,,,,,,,,,0.07980,0.00244,-0.00244,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
344,GJ 3470 b,1.62700,,,,,,,,,,0.08002,0.00235,-0.00235,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
345,GJ 3470 b,1.63100,,,,,,,,,,0.07912,0.00264,-0.00264,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
346,GJ 3470 b,1.63600,,,,,,,,,,0.07878,0.00231,-0.00231,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
347,GJ 3470 b,1.64000,,,,,,,,,,0.08008,0.00221,-0.00221,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
348,GJ 3470 b,1.64500,,,,,,,,,,0.07879,0.00234,-0.00234,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
349,GJ 3470 b,1.21500,,,,,,,,,,0.07536,0.00079,-0.00079,0,2456247.299540,0.000190,-0.000190,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...770...95F target=ref>Fukui et al. 2013</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,ISLE
350,GJ 3470 b,0.78860,,,,,,,,,,0.07970,0.00140,-0.00140,0,2456247.299540,0.000190,-0.000190,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...770...95F target=ref>Fukui et al. 2013</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
351,GJ 3470 b,0.64690,,,,,,,,,,0.07700,0.00190,-0.00190,0,2456247.299540,0.000190,-0.000190,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...770...95F target=ref>Fukui et al. 2013</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
352,GJ 3470 b,0.48580,,,,,,,,,,0.08000,0.00300,-0.00300,0,2456247.299540,0.000190,-0.000190,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...770...95F target=ref>Fukui et al. 2013</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
